,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TPB,4,2022,6.1,1.2,,,0.215,0.02,,,,,3958,20381,0.04,0.241,0.008,1.35,0.038,0.098,0.2,0.449,0.1,,,0.034,,,,,,,,,10.2,,,,,,,,,,,0.44,0.415,0.538,0.49,0.826,0.652,0.004,0.48,9.2,0.012,,0.052,0.14
1,TPB,3,2022,6.5,1.3,,,0.219,0.021,,,,,3829,19369,0.043,0.272,0.009,1.422,0.036,0.097,0.196,0.345,0.1,,,0.11,,,,,,,,,10.4,,,,,,,,,,,0.524,0.455,0.545,0.492,0.96,0.568,0.004,0.469,9.4,0.013,,0.056,0.174
2,TPB,2,2022,7.9,1.5,,,0.221,0.02,,,,,3448,18339,0.044,0.336,0.009,1.615,0.034,0.093,0.192,0.385,0.1,,,0.093,,,,,,,,,10.7,,,,,,,,,,,0.491,0.378,0.538,0.486,0.966,0.556,0.004,0.475,9.7,0.024,,0.059,0.143
3,TPB,1,2022,12.7,2.3,,,0.22,0.019,,,,,3155,17310,0.044,0.217,0.011,1.257,0.034,0.09,0.183,0.342,0.1,,,0.033,,,,,,,,,11.1,,,,,,,,,,,0.527,0.359,0.541,0.495,0.983,0.55,0.006,0.478,10.1,0.023,,0.054,0.205
4,TPB,4,2021,13.4,2.5,,,0.226,0.019,,,,,3053,16429,0.043,0.222,0.008,1.526,0.033,0.089,0.184,0.39,0.1,,,0.049,,,,,,,,,11.3,,,,,,,,,,,0.488,0.364,0.525,0.482,1.012,0.519,0.004,0.494,10.3,0.023,,0.05,0.177
5,TPB,3,2021,10.6,2.0,,,0.229,0.02,,,,,2911,15652,0.044,0.361,0.01,1.154,0.037,0.095,0.186,0.256,0.1,,,0.074,,,,,,,,,10.5,,,,,,,,,,,0.595,0.302,0.566,0.511,1.011,0.559,0.005,0.45,9.5,0.026,,0.221,0.205
6,TPB,2,2021,10.0,2.1,,,0.247,0.02,,,,,2710,12820,0.044,0.264,0.011,1.448,0.039,0.084,0.153,0.36,0.1,,,0.117,,,,,,,,,11.9,,,,,,,,,,,0.511,0.369,0.599,0.546,1.001,0.598,0.006,0.417,10.9,0.013,,0.13,0.317
7,TPB,1,2021,8.5,1.8,,,0.241,0.02,,,,,2426,11348,0.043,0.191,0.012,1.34,0.041,0.083,0.144,0.352,0.1,,,0.094,,,,,,,,,12.0,,,,,,,,,,,0.519,0.407,0.632,0.575,1.036,0.61,0.007,0.385,11.0,0.012,,0.072,0.238
8,TPB,4,2020,8.9,1.9,,,0.235,0.019,,,,,2218,10585,0.043,0.362,0.012,1.342,0.043,0.081,0.14,0.4,0.1,,,-0.022,,,,,,,,,12.3,,,,,,,,,,,0.48,0.333,0.638,0.582,1.035,0.616,0.007,0.38,11.3,0.01,,0.085,0.255
9,TPB,3,2020,6.3,1.5,,,0.263,0.021,,,,,2269,9760,0.042,0.229,0.018,0.922,0.045,0.08,0.14,0.366,0.1,,,0.048,,,,,,,,,12.5,,,,,,,,,,,0.508,0.357,0.616,0.57,1.015,0.606,0.01,0.406,11.5,0.008,,0.067,0.187
10,TPB,2,2020,5.8,1.4,,,0.266,0.021,,,,,2165,9148,0.042,0.28,0.015,1.127,0.047,0.08,0.144,0.401,0.1,,,0.064,,,,,,,,,12.5,,,,,,,,,,,0.478,0.334,0.597,0.554,1.044,0.572,0.008,0.425,11.5,0.011,,0.044,0.129
11,TPB,1,2020,5.1,1.2,,,0.256,0.02,,,,,2036,8764,0.041,0.289,0.019,0.76,0.046,0.078,0.138,0.451,0.1,,,0.041,,,,,,,,,12.7,,,,,,,,,,,0.44,0.333,0.612,0.569,1.121,0.546,0.011,0.409,11.7,0.012,,0.06,0.186
12,TPB,4,2019,8.8,2.1,,,0.261,0.021,,,,,1956,8265,0.041,0.464,0.013,0.978,0.046,0.079,0.137,0.357,0.1,,,0.269,,,,,,,,,12.6,,,,,,,,,,,0.515,0.418,0.64,0.581,1.035,0.619,0.008,0.373,11.6,0.011,,0.098,0.239
13,TPB,3,2019,11.9,2.4,,,0.22,0.017,,,,,1540,7529,0.042,0.265,0.015,0.801,0.046,0.077,0.128,0.371,0.1,,,0.069,,,,,,,,,12.9,,,,,,,,,,,0.503,0.32,0.667,0.604,1.086,0.615,0.009,0.344,11.9,0.01,,0.056,0.259
14,TPB,2,2019,13.0,2.6,,,0.218,0.017,,,,,1441,7132,0.04,0.267,0.015,0.841,0.045,0.077,0.127,0.414,0.1,,,0.156,,,,,,,,,12.9,,,,,,,,,,,0.469,0.319,0.659,0.61,1.1,0.599,0.009,0.361,11.9,0.005,,-0.005,0.206
15,TPB,1,2019,13.9,2.4,,,0.212,0.015,,,,,1247,7170,0.039,0.326,0.014,0.888,0.044,0.081,0.134,0.471,0.1,,,-0.19,,,,,,,,,12.3,,,,,,,,,,,0.423,0.358,0.655,0.605,1.087,0.603,0.008,0.36,11.3,0.004,,-0.211,0.214
16,TPB,4,2018,10.6,1.8,,,0.208,0.014,,,,,1539,9082,0.037,0.207,0.011,1.033,0.042,0.078,0.138,0.545,0.1,,,0.17,,,,,,,,,12.8,,,,,,,,,,,0.363,0.323,0.629,0.567,1.014,0.62,0.006,0.377,11.8,0.004,,0.043,0.217
17,TPB,3,2018,12.7,1.9,,,0.185,0.013,,,,,1315,8707,0.036,0.193,0.012,0.991,0.044,0.08,0.138,0.525,0.1,,,0.181,,,,,,,,,12.4,,,,,,,,,,,0.379,0.339,0.636,0.582,1.052,0.605,0.007,0.375,11.4,0.002,,0.057,0.302
18,TPB,2,2018,15.8,2.1,,,0.166,0.011,,,,,1113,8241,0.034,0.271,0.012,0.991,0.041,0.076,0.131,0.439,0.1,,,0.116,,,,,,,,,13.1,,,,,,,,,,,0.335,0.21,0.626,0.583,0.981,0.638,0.007,0.389,12.1,0.004,,0.327,0.39
19,TPB,1,2018,,,,,0.178,0.01,,,,,998,6211,0.032,0.215,0.011,0.925,0.042,0.06,0.104,0.512,0.1,,,0.341,,,,,,,,,16.7,,,,,,,,,,,0.488,0.432,0.612,0.576,0.954,0.641,0.007,0.402,15.7,0.003,,0.09,0.614
20,TPB,4,2017,,,,,0.141,0.008,,,,,744,5698,0.029,0.132,0.011,0.971,0.039,0.054,0.105,0.625,0.1,,,0.031,,,,,,,,,18.6,,,,,,,,,,,0.237,0.226,0.559,0.511,0.902,0.619,0.006,0.439,17.6,0.004,,0.039,0.36
