,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TTE,4,2022,24.4,1.1,8.2,,0.047,0.012,-71,,18,0.7,501,10858,,,,,,0.232,,,0.3,0.5,0.5,-0.342,4590,0.733,0.657,0.406,2.3,0.5,5.7,0.1,4.3,-67,0.009,0.008,,,0.0,0.1,0.9,0.657,0.7,,,,,,,,,3.2,,-0.052,0.069,
1,TTE,3,2022,14.2,1.1,7.7,,0.078,0.019,-60,,16,,761,10161,,,,,,0.219,,,0.3,0.8,0.8,-0.102,4841,0.516,0.443,,2.5,0.6,4.9,0.0,4.6,-16,0.063,0.054,,,0.0,0.1,,0.443,-1.0,,,,,,,,,3.5,,0.046,-0.039,
2,TTE,2,2022,16.5,1.3,8.0,,0.083,0.022,-63,,22,1.3,847,10573,,,,,,0.227,,,0.3,0.8,0.8,0.002,4628,0.655,0.612,0.052,2.4,0.6,5.1,0.1,4.4,-15,0.045,0.043,,,0.0,0.1,0.7,0.612,0.1,,,,,,,,,3.3,,0.087,0.007,
3,TTE,1,2022,24.5,2.0,9.1,,0.084,0.024,-97,,23,1.3,846,10502,,,,,,0.273,,,0.4,0.7,0.7,-0.136,4256,0.654,0.615,0.114,2.5,0.7,5.7,0.1,3.7,-28,0.034,0.03,,,0.0,0.1,1.0,0.615,0.2,,,,,,,,,2.6,,-0.042,0.013,
4,TTE,4,2021,21.4,2.0,9.5,,0.099,0.027,-78,,9,1.8,980,10364,,,,,,0.269,,,0.4,1.1,1.1,3.262,4444,0.755,0.732,0.509,2.6,0.7,5.6,0.1,3.7,7,0.195,0.1,,,0.0,0.1,1.1,0.732,0.7,,,,,,,,,2.7,,0.068,0.101,
5,TTE,3,2021,40.4,1.0,9.0,,0.025,0.007,-133,,7,0.4,229,9410,,,,,,0.295,,,0.4,0.7,0.7,29.165,4162,0.367,0.311,,2.3,0.7,5.3,0.2,3.4,-36,0.027,0.016,,,-0.001,0.2,,0.311,-1.5,,,,,,,,,2.4,,0.016,-0.034,
6,TTE,2,2021,1182.0,0.9,8.0,,0.001,0.0,-128,,6,1.1,7,9740,,,,,,0.306,,,0.4,0.6,0.6,-1.011,4098,0.663,0.622,0.072,2.2,0.7,5.4,0.2,3.3,-36,0.028,0.024,,,-0.001,0.2,1.5,0.622,0.1,,,,,,,,,2.2,,0.089,0.007,
7,TTE,1,2021,-15.0,1.0,8.1,,-0.066,-0.02,-114,,5,1.6,-666,9672,,,,,,0.299,,,0.4,0.6,0.6,-0.343,3763,0.607,0.579,0.19,2.2,0.7,5.8,0.2,3.3,-46,0.061,0.064,,,-0.001,0.1,0.9,0.579,0.4,,,,,,,,,2.3,,0.102,0.015,
8,TTE,4,2020,-10.0,1.1,9.5,,-0.098,-0.03,-122,,10,1.5,-1014,9525,,,,,,0.286,,,0.4,0.5,0.5,0.077,3416,0.551,0.529,0.11,2.3,0.7,6.6,0.2,3.5,-68,0.064,0.063,,,-0.001,0.1,0.8,0.529,0.3,,,,,,,,,2.5,,-0.009,0.024,
9,TTE,3,2020,-12.0,1.2,9.3,,-0.093,-0.028,-157,35.0,14,0.1,-941,9306,,,,,,0.28,,,0.4,0.5,0.5,0.26,3448,0.098,0.052,,2.4,0.7,6.6,0.2,3.6,-68,0.004,0.004,-137.0,,0.001,0.1,,0.052,-14.6,,,,,,,,,2.5,,-0.067,-0.056,
10,TTE,2,2020,-18.5,1.4,9.4,,-0.071,-0.022,-155,,7,0.0,-747,9858,,,,,,0.293,,,0.4,0.5,0.5,-16.004,3696,0.094,0.019,,2.3,0.7,6.2,0.2,3.4,-64,0.012,0.01,,,0.0,0.1,,0.019,-50.4,,,,,,,,,2.4,,-0.187,-0.058,
11,TTE,1,2020,277.9,1.3,7.9,,0.005,0.001,-79,,14,0.9,49,10471,,,,,,0.311,,,0.5,0.5,0.5,-0.879,4548,0.478,0.444,,2.1,0.7,5.1,0.1,3.2,-39,0.037,0.028,,,0.001,0.2,,0.444,-0.1,,,,,,,,,2.2,,-0.098,-0.059,
12,TTE,4,2019,31.1,1.2,7.3,,0.038,0.012,47,,16,1.6,411,11131,,,,,,0.317,,,0.5,0.8,0.8,0.366,5044,0.566,0.541,0.148,2.0,0.6,4.7,0.1,3.2,-17,0.152,0.123,,7.8,0.0,0.2,1.1,0.541,0.3,,,,,,,,,2.1,,0.134,0.024,
13,TTE,3,2019,50.2,1.4,8.2,,0.028,0.008,27,35.0,36,0.4,301,10876,,,,,,0.31,,,0.5,0.5,0.3,-0.281,4448,0.323,0.272,-0.341,2.1,0.7,5.3,0.1,3.2,-43,0.018,0.014,26.0,13.4,-0.001,0.2,1.0,0.272,-1.3,,,,,,,,,2.2,,-0.035,-0.032,
