,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TV1,4,2022,27.3,1.1,7.6,,0.04,0.009,-18,178,67,2.5,446,11448,,,,,,0.256,,,0.3,0.9,0.6,-0.04,4175,0.276,0.093,0.031,1.7,0.4,5.6,1.2,3.9,-96,0.151,0.141,92,,-0.003,0.5,0.8,0.093,0.4,,,,,,,,,2.9,,-0.068,0.031,
1,TV1,3,2022,25.2,1.1,6.9,,0.042,0.009,0,201,43,1.7,465,11107,,,,,,0.233,,,0.3,0.9,0.6,-0.065,4478,0.217,0.104,0.014,1.9,0.5,5.7,1.1,4.3,-38,0.178,0.174,158,,-0.004,0.5,0.5,0.104,0.3,,,,,,,,,3.3,,-0.003,-0.006,
2,TV1,2,2022,20.1,0.9,7.4,,0.046,0.009,-8,243,46,1.2,497,11173,,,,,,0.227,,,0.3,0.9,0.6,0.109,4492,0.173,0.113,0.004,2.1,0.5,6.0,1.2,4.4,-47,0.144,0.141,190,,0.0,0.5,0.8,0.113,0.0,,,,,,,,,3.4,,-0.018,0.002,
3,TV1,1,2022,23.6,1.0,7.4,,0.041,0.008,21,261,44,1.2,448,11154,,,,,,0.222,,,0.3,1.0,0.6,0.01,4576,0.198,0.128,0.014,2.2,0.5,6.0,1.1,4.5,28,0.13,0.139,238,17.6,0.0,0.5,0.8,0.128,0.1,,,,,,,,,3.5,,-0.06,0.004,
4,TV1,4,2021,22.5,0.9,7.9,,0.041,0.008,18,273,48,2.1,444,11115,,,,,,0.208,,,0.3,1.0,0.6,-0.748,4867,0.238,0.106,0.028,2.4,0.5,6.0,1.2,4.8,32,0.13,0.137,243,20.3,0.001,0.4,0.5,0.106,0.5,,,,,,,,,3.8,,-0.24,0.028,
5,TV1,3,2021,3.9,0.6,6.0,,0.174,0.031,14,315,53,1.3,1761,10816,,,,,,0.197,,,0.2,1.1,0.5,0.197,6403,0.216,0.134,0.024,2.7,0.5,4.9,1.2,5.1,37,0.116,0.122,276,26.0,-0.001,0.4,0.8,0.134,0.2,,,,,,,,,4.1,,0.03,0.029,
6,TV1,2,2021,5.4,0.8,6.3,,0.147,0.025,7,325,53,1.0,1471,10513,,,,,,0.189,,,0.2,1.0,0.5,1.232,6219,0.192,0.121,,2.9,0.6,5.3,1.3,5.3,19,0.079,0.091,279,53.3,-0.002,0.4,,0.121,-0.1,,,,,,,,,4.3,,0.045,-0.003,
7,TV1,1,2021,13.5,0.8,6.0,,0.063,0.011,27,345,53,1.4,659,10542,,,,,,0.186,,,0.2,1.1,0.5,21.567,5953,0.291,0.195,0.013,2.9,0.5,5.5,1.1,5.4,46,0.081,0.138,320,13.4,-0.001,0.4,0.8,0.195,0.1,,,,,,,,,4.4,,0.125,0.006,
8,TV1,4,2020,366.4,1.0,7.8,,0.003,0.0,25,338,61,4.0,29,10478,,,,,,0.175,,,0.2,1.0,0.5,-1.16,5292,0.283,0.236,0.146,3.0,0.5,6.3,1.1,5.7,32,0.097,0.123,302,14.6,-0.002,0.4,0.9,0.236,0.7,,,,,,,,,4.7,,0.066,0.114,
9,TV1,3,2020,-52.0,1.0,8.8,,-0.019,-0.003,9,402,78,0.7,-182,9402,,,,,,0.157,,,0.2,1.0,0.5,-0.254,4964,0.139,0.078,,3.6,0.6,7.0,1.1,6.4,14,0.062,0.056,333,39.0,-0.003,0.3,,0.078,-0.4,,,,,,,,,5.4,,-0.009,-0.017,
10,TV1,2,2020,-41.6,1.1,8.7,,-0.025,-0.004,5,442,78,0.3,-245,9566,,,,,,0.157,,,0.2,1.0,0.4,-2.353,5008,0.187,0.084,,3.7,0.6,7.2,1.2,6.4,6,0.06,0.066,369,80.9,-0.003,0.3,,0.084,-3.0,,,,,,,,,5.4,,-0.01,-0.083,
11,TV1,1,2020,66.3,1.2,8.6,,0.017,0.003,29,418,69,0.1,181,10428,,,,,,0.169,,,0.2,1.1,0.5,3.058,5061,0.112,0.02,,3.4,0.6,7.1,1.0,5.9,50,0.062,0.072,379,12.5,-0.004,0.3,,0.02,-8.7,,,,,,,,,4.9,,0.014,-0.055,
12,TV1,4,2019,233.1,0.9,9.2,,0.004,0.001,194,399,62,3.0,44,11038,,,,,,0.174,,,0.2,1.1,0.5,-1.047,4991,0.241,0.304,0.188,3.2,0.6,7.1,1.0,5.7,54,0.115,0.117,532,1.9,-0.004,0.3,1.0,0.304,0.6,,,,,,,,,4.7,,0.285,0.146,
13,TV1,3,2019,-11.9,1.2,11.4,,-0.087,-0.015,192,367,56,0.7,-957,9634,,,,,,0.158,,,0.2,1.0,0.4,0.61,3885,0.18,0.097,-0.044,3.7,0.6,9.3,0.9,6.3,14,0.061,0.062,503,1.9,0.044,0.4,1.0,0.097,-0.4,,,,,,,,,5.3,,-0.103,-0.024,
14,TV1,2,2019,-20.7,1.2,10.7,,-0.054,-0.009,185,355,55,0.4,-594,9873,,,,,,0.161,,,0.2,1.0,0.4,0.616,4331,0.181,0.077,-0.1,3.7,0.6,8.7,1.0,6.2,7,0.061,0.058,485,2.0,0.042,0.4,1.0,0.077,-1.3,,,,,,,,,5.2,,-0.179,-0.039,
15,TV1,1,2019,-34.5,1.2,9.1,,-0.032,-0.006,173,357,59,0.0,-367,10275,,,,,,0.167,,,0.2,1.0,0.4,-4.334,5274,0.103,-0.001,-0.169,3.6,0.6,7.3,0.9,6.0,36,0.083,0.071,470,2.1,0.037,0.4,1.0,-0.001,213.8,,,,,,,,,5.0,,-0.108,-0.067,
16,TV1,4,2018,139.6,1.4,8.1,,0.009,0.002,173,373,55,9.2,110,11012,,,,,,0.181,,,0.2,1.0,0.4,-1.908,5911,0.272,0.168,0.048,3.2,0.6,6.3,0.8,5.5,-3,0.111,0.096,491,2.1,-0.006,0.4,2.6,0.168,0.7,,,,,,,,,4.5,,-0.016,-0.109,
17,TV1,3,2018,-127.6,1.3,8.4,,-0.01,-0.002,176,331,68,1.2,-121,12360,,,,,,0.194,,,0.2,1.1,0.5,-0.548,6008,0.234,0.143,0.022,3.0,0.6,6.3,0.7,5.2,57,0.09,0.074,439,2.1,-0.103,0.4,1.0,0.143,0.2,,,,,,,,,4.2,,-0.092,0.011,
18,TV1,2,2018,-58.4,1.3,7.8,,-0.022,-0.004,179,358,81,0.9,-268,12223,,,,,,0.19,,,0.2,1.1,0.5,0.467,6615,0.387,0.266,-0.039,3.1,0.6,6.0,0.8,5.3,51,0.06,0.044,456,2.0,-0.101,0.4,1.0,0.266,-0.1,,,,,,,,,4.3,,0.071,-0.015,
19,TV1,1,2018,-99.0,1.5,9.0,,-0.015,-0.003,163,332,43,0.7,-183,12412,,,,,,0.192,,,0.2,1.1,0.5,-2.503,6179,0.247,0.115,-0.046,3.2,0.6,6.6,0.8,5.2,43,0.076,0.057,452,2.2,-0.099,0.4,1.0,0.115,-0.4,,,,,,,,,4.2,,-0.065,-0.019,
20,TV1,4,2017,146.8,1.4,8.1,,0.01,0.002,193,365,52,1.4,121,12659,,,,,,0.188,,,0.2,1.1,0.6,-0.702,6611,0.313,0.122,0.017,3.0,0.6,6.1,0.8,5.3,101,0.115,0.092,505,1.9,-0.06,0.4,1.3,0.122,0.2,,,,,,,,,4.3,,-0.116,0.014,
21,TV1,3,2017,46.4,1.5,7.5,,0.034,0.006,168,371,67,1.0,409,12489,,,,,,0.18,,,0.2,1.1,0.5,-0.61,7478,0.366,0.279,-0.002,3.2,0.6,5.6,0.8,5.6,45,0.143,0.099,473,2.2,-0.003,0.4,0.2,0.279,0.0,,,,,,,,,4.6,,-0.042,-0.001,
22,TV1,2,2017,19.4,1.6,7.4,,0.085,0.015,162,373,65,0.9,1049,12499,,,,,,0.179,,,0.2,1.0,0.5,-0.242,7808,0.244,0.126,-0.016,3.2,0.6,5.6,0.9,5.6,21,0.102,0.069,469,2.3,-0.002,0.4,1.0,0.126,-0.1,,,,,,,,,4.6,,-0.047,-0.008,
23,TV1,1,2017,11.2,1.2,7.1,,0.112,0.02,189,436,23,1.1,1384,12603,,,,,,0.18,,,0.2,1.1,0.5,0.012,8193,0.294,0.219,0.014,3.3,0.6,5.5,0.9,5.6,70,0.081,0.056,602,1.9,-0.004,0.3,1.3,0.219,0.1,,,,,,,,,4.6,,0.003,0.028,
24,TV1,4,2016,11.6,1.3,6.9,,0.113,0.019,230,467,35,1.6,1367,12258,,,,,,0.166,,,0.2,1.1,0.5,0.09,8168,0.312,0.224,0.049,3.4,0.6,5.4,1.0,6.0,53,0.11,0.086,662,1.6,-0.006,0.3,1.3,0.224,0.3,,,,,,,,,5.0,,-0.005,0.039,
25,TV1,3,2016,12.4,1.3,7.2,,0.107,0.017,182,472,27,1.7,1253,11797,,,,,,0.162,,,0.2,1.0,0.4,0.224,8209,0.393,0.314,0.106,3.8,0.6,5.5,0.9,6.2,-12,0.034,0.026,627,2.0,-0.023,0.3,1.3,0.314,0.4,,,,,,,,,5.2,,0.047,-0.039,
26,TV1,2,2016,12.5,1.0,8.0,,0.081,0.014,201,495,31,1.3,1024,12274,,,,,,0.17,,,0.2,1.0,0.4,-0.103,7839,0.4,0.324,0.063,3.9,0.7,6.1,1.1,5.9,-28,0.047,0.036,665,1.8,-0.037,0.3,1.2,0.324,0.2,,,,,,,,,4.9,,-0.108,0.019,
27,TV1,1,2016,11.1,1.0,6.4,,0.093,0.016,192,446,29,1.1,1142,12042,,,,,,0.168,,,0.2,1.0,0.5,-0.001,8791,0.341,0.291,0.014,4.0,0.7,5.5,1.1,6.0,-3,0.093,0.089,609,1.9,-0.026,0.3,1.3,0.291,0.1,,,,,,,,,5.0,,0.077,0.003,
28,TV1,4,2015,10.6,1.0,7.2,,0.093,0.016,233,446,39,2.1,1143,12000,,,,,,0.166,,,0.2,1.1,0.5,-0.408,8160,0.337,0.231,0.037,3.9,0.6,5.7,0.8,6.0,45,0.092,0.082,641,1.6,-0.043,0.3,1.7,0.231,0.3,,,,,,,,,5.0,,-0.067,0.029,
29,TV1,3,2015,6.6,1.1,6.7,,0.168,0.028,214,477,37,1.6,1929,11657,,,,,,0.164,,,0.2,1.0,0.5,0.153,8749,0.424,0.342,0.091,4.0,0.7,5.3,0.9,6.1,-3,0.067,0.06,654,1.7,-0.035,0.3,1.3,0.342,0.3,,,,,,,,,5.1,,-0.037,-0.095,
