,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TVN,4,2022,-4.4,0.4,54.6,,-0.091,-0.033,-2,56,19,0.1,-1226,12679,,,,,,0.371,,,0.7,1.0,0.5,0.504,321,0.038,0.002,,0.8,0.3,38.1,3.6,2.7,-190,0.152,0.408,35,,-0.024,1.5,,0.002,-30.5,,,,,,,,,1.4,,-3.493,-0.043,
1,TVN,3,2022,-9.1,0.6,-137.2,,-0.059,-0.021,-1,55,19,-5.0,-815,13250,,,,,,0.35,,,0.7,1.0,0.5,-25.629,-129,,,,0.8,0.3,-97.1,3.7,2.9,-54,0.116,0.315,34,,-0.105,1.6,,,1.2,,,,,,,,,1.5,,-1.169,-0.06,
2,TVN,2,2022,247.2,0.6,26.1,,0.002,0.001,0,64,18,0.4,33,14097,,,,,,0.333,,,0.6,1.0,0.5,-0.964,762,0.023,0.003,,1.0,0.4,18.4,5.0,3.0,216,0.187,0.551,46,,-0.127,1.5,,0.003,-0.8,,,,,,,,,1.7,,-0.526,-0.013,
3,TVN,1,2022,17.1,1.1,12.0,,0.067,0.025,-4,50,22,2.6,927,14276,,,,,,0.356,,,0.7,1.0,0.5,-0.213,1607,0.035,0.014,0.013,0.7,0.3,6.9,3.6,2.8,-50,0.16,0.326,24,,-0.152,1.7,0.7,0.014,1.3,,,,,,,,,1.5,,-0.131,0.005,
4,TVN,4,2021,14.1,1.2,12.8,,0.087,0.032,-6,51,19,-4.5,1178,14211,,,,,,0.351,,,0.7,1.0,0.5,-0.303,1850,0.017,,,0.8,0.3,6.2,3.8,2.9,-220,0.197,0.256,26,,-0.122,1.6,,,0.3,,,,,,,,,1.5,,-0.275,-0.01,
5,TVN,3,2021,10.0,1.2,9.8,,0.125,0.048,-7,47,17,1.6,1691,14359,,,,,,0.365,,,0.7,1.0,0.5,0.028,2550,0.039,0.013,0.004,0.8,0.3,4.3,3.8,2.7,-285,0.217,0.257,24,,-0.029,1.6,0.7,0.013,0.5,,,,,,,,,1.4,,-0.016,0.006,
6,TVN,2,2021,8.9,1.0,11.7,,0.122,0.046,-8,54,20,13.1,1644,14275,,,,,,0.37,,,0.7,1.0,0.5,0.449,2592,0.092,0.054,0.05,0.8,0.3,4.4,3.3,2.7,-316,0.203,0.171,26,,-0.029,1.5,0.8,0.054,1.2,,,,,,,,,1.4,,0.295,0.059,
7,TVN,1,2021,12.5,1.1,10.7,,0.088,0.033,-13,51,28,5.2,1135,13482,,,,,,0.386,,,0.8,0.9,0.5,0.712,2003,0.067,0.035,0.035,0.7,0.3,5.4,2.5,2.6,-837,0.195,0.246,11,,-0.017,1.4,0.7,0.035,1.4,,,,,,,,,1.3,,0.124,0.036,
8,TVN,4,2020,12.3,0.6,13.4,,0.052,0.025,2,41,14,3.1,662,13016,,,,,,0.397,,,0.8,0.9,0.5,0.672,1782,0.057,0.019,0.026,0.7,0.3,4.0,2.3,2.5,-1020,0.148,0.149,29,240.7,-0.03,1.7,0.8,0.019,1.7,,,,,,,,,1.2,,0.222,0.023,
9,TVN,3,2020,16.7,0.5,13.7,,0.032,0.012,-17,49,22,2.5,396,12724,,,,,,0.404,,,0.9,0.9,0.5,-0.174,1459,0.054,0.02,0.001,0.6,0.3,7.1,2.0,2.5,-1103,0.134,0.176,10,,-0.035,1.3,0.2,0.02,0.3,,,,,,,,,1.2,,-0.041,0.001,
10,TVN,2,2020,12.3,0.5,11.3,,0.038,0.017,0,44,14,2.7,480,12712,,,,,,0.389,,,0.8,0.9,0.4,-0.259,1520,0.048,0.024,0.025,0.7,0.3,5.5,2.4,2.6,-1216,0.11,0.24,30,2098.8,-0.011,1.8,0.8,0.024,1.4,,,,,,,,,1.3,,0.03,0.029,
11,TVN,1,2020,9.6,0.5,11.9,,0.053,0.023,-3,47,22,2.1,647,12353,,,,,,0.356,,,0.7,0.9,0.4,-0.083,1475,0.058,0.025,0.002,0.8,0.3,5.7,2.3,2.8,-1473,0.058,0.158,23,,-0.024,1.7,0.3,0.025,0.3,,,,,,,,,1.5,,0.023,-0.011,
12,TVN,4,2019,9.5,0.5,7.6,,0.057,0.033,13,36,7,-0.3,706,12484,,,,,,0.587,,,1.7,1.3,0.7,0.642,1443,0.026,-0.004,0.007,0.3,0.2,3.3,98.8,1.7,1281,0.101,0.221,42,27.7,-0.019,2.4,1.5,-0.004,-2.7,,,,,,,,,0.6,,-0.103,0.004,
13,TVN,3,2019,18.4,0.6,7.1,,0.035,0.015,22,41,14,2.2,430,12441,,,,,,0.373,,,0.7,0.8,0.4,-0.133,1608,0.043,0.017,0.005,0.8,0.3,5.3,2.3,2.7,-1604,0.086,0.188,49,16.5,-0.026,1.8,1.6,0.017,0.5,,,,,,,,,1.4,,0.182,-0.006,
14,TVN,2,2019,15.9,0.6,9.4,,0.04,0.022,23,44,12,3.2,496,12519,,,,,,0.545,,,1.4,1.2,0.6,0.36,1360,0.059,0.033,0.054,0.5,0.3,4.0,113.1,1.8,1248,0.076,0.153,55,15.8,-0.035,1.8,1.2,0.033,1.9,,,,,,,,,0.7,,0.011,0.028,
15,TVN,1,2019,24.7,0.7,8.9,,0.031,0.017,22,38,12,2.2,364,12183,,,,,,0.549,,,1.4,1.2,0.6,-0.553,1345,0.046,0.022,0.006,0.4,0.2,3.9,87.0,1.8,1007,0.082,0.156,48,17.0,-0.02,1.9,1.8,0.022,0.5,,,,,,,,,0.7,,-0.003,-0.011,
16,TVN,4,2018,11.1,0.7,9.7,,0.069,0.038,16,48,11,1.7,816,12317,,,,,,0.575,,,1.6,1.2,0.5,-0.426,1349,0.044,0.014,-0.023,0.4,0.2,3.7,86.9,1.7,983,0.077,0.129,53,22.5,-0.021,1.7,0.6,0.014,-1.0,,,,,,,,,0.6,,-0.065,-0.015,
17,TVN,3,2018,6.8,0.8,10.0,,0.121,0.066,25,43,15,1.3,1421,12506,,,,,,0.548,,,1.4,1.1,0.6,-0.167,1442,0.043,0.009,0.018,0.4,0.2,3.5,73.5,1.8,858,0.085,0.123,53,14.5,-0.025,1.6,1.4,0.009,2.8,,,,,,,,,0.7,,-0.142,0.015,
18,TVN,2,2018,5.7,0.8,11.8,,0.149,0.079,29,40,17,4.0,1707,12317,,,,,,0.576,,,1.6,1.2,0.7,0.239,1680,0.047,0.026,0.033,0.3,0.2,3.3,57.3,1.7,751,0.096,0.136,53,12.5,-0.035,1.5,1.3,0.026,1.6,,,,,,,,,0.6,,0.126,0.056,
19,TVN,1,2018,7.5,0.9,8.9,,0.124,0.063,26,50,15,4.1,1378,11660,,,,,,0.543,,,1.4,1.0,0.6,0.197,1492,0.073,0.039,0.07,0.4,0.2,4.0,96.1,1.8,270,0.114,0.146,61,14.1,-0.042,1.4,1.2,0.039,2.1,,,,,,,,,0.7,,-0.006,0.042,
20,TVN,4,2017,6.7,0.7,8.0,,0.107,0.054,27,49,18,3.4,1151,11186,,,,,,0.53,,,1.3,1.0,0.6,0.152,1501,0.072,0.036,0.057,0.4,0.2,3.9,89.4,1.9,263,0.159,0.195,58,13.7,-0.048,1.3,1.3,0.036,2.1,,,,,,,,,0.8,,0.091,0.011,
21,TVN,3,2017,7.8,0.7,10.1,,0.094,0.048,30,35,11,4.4,999,11066,,,,,,0.545,,,1.4,1.0,0.7,0.247,1377,0.074,0.036,0.054,0.4,0.2,4.2,69.2,1.8,95,0.194,0.195,54,12.3,-0.046,1.4,1.2,0.036,1.9,,,,,,,,,0.7,,0.049,0.038,
22,TVN,2,2017,9.5,0.7,9.1,,0.078,0.038,34,43,17,0.9,800,10655,,,,,,0.491,,,1.1,1.0,0.6,-0.443,1313,0.049,0.012,0.001,0.6,0.3,5.1,103.4,2.0,-114,0.21,0.306,60,10.6,-0.038,1.3,3.4,0.012,0.4,,,,,,,,,0.9,,-0.2,0.005,
23,TVN,1,2017,5.6,0.8,7.4,,0.145,0.067,31,44,15,3.7,1437,10603,,,,,,0.476,,,1.0,0.9,0.5,0.277,1641,0.087,0.048,0.047,0.6,0.3,4.1,121.9,2.1,-500,0.189,0.285,60,11.7,-0.037,1.2,1.3,0.048,1.3,,,,,,,,,1.0,,0.034,0.026,
