,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,TVW,4,2022,28.3,0.8,23.5,,0.028,0.015,-149,62,64,5.5,328,11705,,,,,,0.545,,,1.2,0.4,0.2,0.922,639,0.328,0.132,0.082,0.5,0.3,9.6,0.6,1.8,-54,0.039,0.049,-151,,-0.031,0.4,0.8,0.132,0.8,,,,,,,,,0.8,,0.593,0.018,
1,TVW,3,2022,56.4,0.8,39.2,,0.015,0.008,-146,67,46,1.1,171,11493,,,,,,0.546,,,1.2,0.4,0.2,-0.415,401,0.223,0.031,0.002,0.5,0.3,14.9,0.4,1.8,-44,0.011,0.013,-124,,-0.032,0.4,0.8,0.031,0.1,,,,,,,,,0.8,,-0.245,0.0,
2,TVW,2,2022,35.6,0.9,32.8,,0.025,0.014,-171,76,40,4.2,292,11489,,,,,,0.545,,,1.2,0.4,0.2,-5.35,532,0.278,0.112,0.07,0.6,0.3,11.9,0.5,1.8,-49,0.011,0.011,-135,,-0.031,0.3,0.8,0.112,0.8,,,,,,,,,0.8,,-0.315,-0.033,
3,TVW,1,2022,-142.2,0.8,24.2,,-0.006,-0.003,-137,87,56,0.3,-67,11876,,,,,,0.554,,,1.2,0.4,0.2,-1.375,776,0.224,0.007,,0.5,0.3,8.2,0.4,1.8,-39,0.007,0.007,-106,,-0.027,0.3,,0.007,-2.1,,,,,,,,,0.8,,-0.264,-0.002,
4,TVW,4,2021,76.5,1.2,18.5,,0.015,0.008,-163,87,41,2.6,179,11904,,,,,,0.552,,,1.2,0.4,0.2,0.008,1055,0.304,0.057,0.029,0.5,0.3,6.0,0.5,1.8,-46,0.007,0.006,-117,,-0.029,0.3,0.8,0.057,0.6,,,,,,,,,0.8,,0.008,0.005,
5,TVW,3,2021,34.2,0.5,25.0,,0.015,0.008,-174,88,18,5.9,177,11850,,,,,,0.56,,,1.3,0.4,0.2,-0.551,1047,0.337,0.12,0.08,0.5,0.3,5.8,0.4,1.8,-44,0.011,0.006,-105,,-0.028,0.3,0.8,0.12,0.8,,,,,,,,,0.8,,0.675,0.011,
6,TVW,2,2021,11.0,0.4,28.3,,0.035,0.019,-182,90,26,15.0,396,11716,,,,,,0.549,,,1.2,0.4,0.1,-0.556,625,0.398,0.242,,0.5,0.3,10.2,0.5,1.8,-50,0.011,0.011,-119,,-0.004,0.3,,0.242,0.9,,,,,,,,,0.8,,0.175,-0.057,
7,TVW,1,2021,4.9,0.4,23.7,,0.074,0.041,-147,89,37,13.9,892,12427,,,,,,0.576,,,1.4,0.4,0.2,-0.097,532,0.391,0.17,0.127,0.5,0.3,12.3,0.4,1.7,-40,0.007,0.014,-95,,-0.006,0.3,0.8,0.17,0.9,,,,,,,,,0.7,,-0.18,0.024,
8,TVW,4,2020,4.4,0.4,17.2,,0.084,0.046,-149,81,24,3.2,988,12132,,,,,,0.574,,,1.3,0.3,0.1,-0.105,648,0.382,0.054,0.03,0.5,0.3,10.3,0.4,1.7,-45,0.014,0.035,-92,,-0.004,0.3,0.8,0.054,0.7,,,,,,,,,0.7,,-0.43,0.048,
9,TVW,3,2020,4.0,0.4,9.8,,0.097,0.051,-186,89,49,16.3,1105,11580,,,,,,0.544,,,1.2,0.3,0.1,0.199,1137,0.401,0.24,0.193,0.5,0.3,5.5,0.5,1.8,-53,0.01,0.025,-146,,-0.004,0.3,0.8,0.24,1.0,,,,,,,,,0.8,,-0.262,0.032,
