,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VC3,4,2022,35.1,2.4,32.9,,0.082,0.031,683,1451,34,8.7,803,11835,,,,,,0.326,,,0.5,1.4,0.4,0.601,1274.0,0.322,0.251,0.17,0.2,0.1,3.7,151.5,3.1,1024,0.269,0.115,2100,0.5,-0.92,0.2,0.8,0.251,0.9,,,,,,,,,2.0,,0.961,0.55,
1,VC3,3,2022,78.1,5.1,88.6,,0.068,0.02,1925,3987,36,-0.5,501,7637,,,,,,0.215,,,0.3,1.3,0.4,-0.019,650.0,0.141,,0.02,1.3,0.3,18.0,7.3,4.7,788,0.482,0.119,5876,0.2,-0.839,0.1,0.7,,-7.4,,,,,,,,,3.5,,0.041,0.001,
2,VC3,2,2022,63.7,4.3,108.6,,0.069,0.02,2234,4697,39,-0.8,511,7626,,,,,,0.21,,,0.3,1.3,0.5,-0.05,625.0,0.429,,0.217,1.5,0.3,20.0,8.3,4.8,787,0.808,0.167,6892,0.2,-0.189,0.1,0.6,,-0.2,,,,,,,,,3.6,,-0.107,0.001,
3,VC3,1,2022,72.8,5.1,78.2,,0.073,0.031,1847,1425,42,-1.9,538,7618,,,,,,0.393,,,0.7,1.9,1.3,-0.195,700.0,0.245,,0.506,0.9,0.4,11.4,4.6,2.5,899,0.532,0.13,3230,0.2,-0.027,0.1,0.8,,-0.2,,,,,,,,,1.5,,-0.05,-0.007,
4,VC3,4,2021,63.5,5.5,79.4,,0.091,0.047,1537,1136,84,37.8,669,7669,,,,,,0.504,,,1.1,2.5,1.8,1.927,736.0,0.394,0.378,0.356,0.7,0.4,7.9,3.4,2.0,901,0.495,0.122,2590,0.2,-0.025,0.1,0.7,0.378,1.3,,,,,,,,,0.9,,-10.803,0.066,
5,VC3,3,2021,86.3,2.7,-927.2,,0.032,0.016,3307,1890,89,-1.9,228,7194,,,,,,0.468,,,0.9,5.6,3.9,0.046,-75.0,0.275,,0.111,0.7,0.3,-69.7,0.1,2.1,1222,0.015,0.003,5109,0.1,-0.356,0.1,0.8,,-1.0,,,,,,,,,1.1,,3.743,0.003,
6,VC3,2,2021,62.4,1.9,-2329.8,,0.031,0.016,3062,1579,100,-1.1,218,7173,,,,,,0.484,,,1.0,4.8,3.6,-0.168,-16.0,0.32,,0.096,0.6,0.3,-326.0,0.1,2.1,1138,0.015,0.006,4541,0.1,-0.341,0.1,0.8,,-1.4,,,,,,,,,1.0,,-1.045,0.005,
7,VC3,1,2021,43.5,1.6,68.9,,0.038,0.019,2424,1461,93,-4.0,262,7138,,,,,,0.468,,,0.9,3.3,2.5,1.069,355.0,0.416,,2.729,0.5,0.2,10.6,0.1,2.1,1025,0.004,0.003,3791,0.2,-0.526,0.1,1.0,,-5.0,,,,,,,,,1.1,,-0.256,0.021,
8,VC3,4,2020,88.9,1.6,62.5,,0.023,0.011,1495,1315,114,-3.3,127,6988,,,,,,0.516,,,1.2,3.0,2.1,-0.566,477.0,0.271,,0.083,0.3,0.1,7.8,0.3,1.9,729,0.22,0.126,2697,0.2,-0.168,0.1,0.7,,-0.9,,,,,,,,,0.9,,-0.589,0.005,
9,VC3,3,2020,38.8,1.6,22.0,,0.054,0.026,967,879,101,24.0,292,6954,,,,,,0.525,,,1.1,2.4,1.7,-0.423,1159.0,0.432,0.099,0.052,0.2,0.1,2.9,1.2,1.9,614,0.025,0.017,1745,0.4,-0.075,0.2,0.7,0.099,0.7,,,,,,,,,0.9,,-0.371,0.001,
