,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VC5,1,2016,-0.3,1.5,,,-1.325,-0.08,399,617,234.0,0.2,-9489,1911,,,,,,0.017,,,0.0,0.9,0.3,-0.038,-1475.0,0.131,0.044,-0.23,35.2,0.6,-47.3,3.9,58.4,-24,0.354,,781.0,0.9,0.0,0.3,1.0,0.044,-5.2,,,,,,,,,57.4,,0.01,-0.508,
1,VC5,4,2015,-0.3,0.7,-46.4,,-0.933,-0.08,547,586,183.0,0.8,-9866,3888,,,,,,0.034,,,0.0,1.2,0.5,0.131,-1460.0,0.183,0.158,0.012,17.5,0.6,-48.1,4.0,29.8,85,0.09,0.318,950.0,0.7,0.0,0.3,1.0,0.158,0.1,,,,,,,,,28.8,,-4.91,0.037,
2,VC5,3,2015,-0.2,0.6,193.9,,-0.885,-0.071,328,432,99.0,0.0,-8724,3748,,,,,,0.033,,,0.0,1.1,0.3,0.063,373.0,0.026,0.006,-0.17,18.5,0.6,193.5,4.0,30.5,38,0.109,0.117,660.0,1.1,0.008,0.4,1.0,0.006,-26.6,,,,,,,,,29.5,,-0.487,-0.273,
3,VC5,2,2015,-0.4,0.6,99.5,,-0.747,-0.065,283,428,79.0,-1.6,-8210,5156,,,,,,0.044,,,0.0,1.0,0.2,4.779,727.0,-0.441,-0.502,-0.805,13.7,0.6,102.6,4.1,22.7,-15,0.168,0.361,632.0,1.3,0.003,0.4,1.0,-0.502,1.6,,,,,,,,,21.7,,-0.884,-0.584,
4,VC5,1,2015,-3.1,0.4,11.8,,-0.093,-0.011,430,422,118.0,0.1,-1420,12408,,,,,,0.099,,,0.1,1.2,0.6,-27.504,6246.0,0.095,0.02,-0.242,5.8,0.6,12.0,4.2,10.1,109,0.166,0.624,734.0,0.8,-0.001,0.4,1.0,0.02,-12.0,,,,,,,,,9.1,,-0.199,-0.281,
5,VC5,4,2014,,,10.1,,0.003,0.0,418,371,122.0,1.6,53,17255,,,,,,0.13,,,0.1,1.1,0.6,-1.049,7796.0,0.176,0.133,0.047,4.2,0.5,9.1,455.7,7.7,63,0.056,0.206,667.0,0.9,-0.001,0.4,1.0,0.133,0.4,,,,,,,,,6.7,,0.137,0.08,
6,VC5,3,2014,,,12.0,,-0.063,-0.009,338,360,99.0,0.3,-1086,15973,,,,,,0.123,,,0.1,1.1,0.6,-21.013,6854.0,0.088,0.04,-0.108,4.7,0.6,10.7,202.4,8.2,57,0.045,0.119,598.0,1.1,-0.008,0.5,1.0,0.04,-2.7,,,,,,,,,7.2,,-0.036,-0.051,
7,VC5,2,2014,,,11.5,,0.003,0.0,341,351,102.0,0.6,54,16827,,,,,,0.126,,,0.1,1.1,0.7,-0.918,7106.0,0.134,0.084,-0.041,4.7,0.6,10.8,211.2,7.9,60,0.126,0.299,589.0,1.1,-0.003,0.5,1.1,0.084,-0.5,,,,,,,,,6.9,,-0.156,-0.08,
8,VC5,1,2014,,,9.0,,0.036,0.005,304,309,125.0,1.1,658,18289,,,,,,0.138,,,0.2,1.1,0.7,-0.059,8422.0,0.183,0.137,0.011,4.2,0.6,9.0,97.6,7.3,67,0.163,0.398,489.0,1.2,0.0,0.5,1.3,0.137,0.1,,,,,,,,,6.3,,0.019,-0.008,
9,VC5,4,2013,,,9.4,,0.037,0.005,265,267,106.0,1.1,699,18437,,,,,,0.141,,,0.2,1.1,0.7,-0.373,8268.0,0.104,0.066,0.005,3.8,0.5,8.5,87.6,7.1,66,0.052,0.148,425.0,1.4,-0.025,0.6,1.3,0.066,0.1,,,,,,,,,6.1,,0.144,0.008,
