,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VCR,4,2022,915.0,2.6,1926.6,,0.003,0.001,2838.0,47.0,505.0,,25,9006,,,,,,0.264,,,0.4,0.3,0.3,-4.914,18,0.163,0.082,0.087,1.2,0.3,617.3,0.2,3.8,-852,0.041,0.016,2380.0,0.1,-82.663,0.0,1.0,0.082,1.1,,,,,,,,,2.8,,-2.222,0.005,
1,VCR,3,2022,-4642.5,3.4,,,-0.001,0.0,5303.0,,86.0,,-6,8957,,,,,,0.275,,,0.4,0.3,0.3,-0.876,-15,0.123,0.051,0.065,1.2,0.3,-738.4,0.2,3.6,-602,0.045,,,0.1,-270.425,0.0,1.0,0.051,1.3,,,,,,,,,2.6,,-0.766,0.002,
2,VCR,2,2022,-585.9,3.5,,,-0.006,-0.002,-1890.0,,214.0,-11.1,-52,8936,,,,,,0.277,,,0.4,0.3,0.3,0.252,-62,,,,1.2,0.3,-198.8,0.2,3.6,-593,0.015,,,,-306.984,0.0,,,1.0,,,,,,,,,2.6,,0.172,-0.003,
3,VCR,1,2022,-1190.4,5.6,,,-0.005,-0.002,5763.0,,213.0,,-42,8963,,,,,,0.276,,,0.4,0.4,0.4,0.249,-53,,,,1.2,0.3,-228.9,0.1,3.6,-358,0.034,,,0.1,-301.418,0.0,,,0.9,,,,,,,,,2.6,,0.014,-0.002,
4,VCR,4,2021,-1489.9,5.6,-699.7,,-0.004,-0.001,13126.0,,229.0,,-33,8980,,,,,,0.278,,,0.4,7.8,7.8,-0.591,-52,0.119,0.036,0.043,1.2,0.3,-184.5,0.1,3.6,3749,0.023,0.009,,0.0,-296.815,0.0,1.0,0.036,1.2,,,,,,,,,2.6,,-0.645,0.002,
5,VCR,3,2021,-331.7,3.1,,,-0.017,-0.005,,,,,-82,8964,,,,,,0.28,,,0.4,14.4,14.4,0.176,-147,,,,1.2,0.3,-71.0,0.0,3.6,4898,0.024,,,0.0,-125.824,0.0,,,1.0,,,,,,,,,2.6,,0.042,0.186,
6,VCR,2,2021,-317.8,3.0,,,-0.017,-0.004,,,,,-70,7560,,,,,,0.236,,,0.3,0.4,0.4,0.09,-141,,,,1.6,0.4,-94.0,0.0,4.2,-223,0.043,,,,-84.966,0.0,,,0.9,,,,,,,,,3.2,,0.094,-0.002,
7,VCR,1,2021,-355.2,3.0,,,-0.015,-0.005,,,,,-64,7577,,,,,,0.358,,,0.6,8.8,8.8,-0.068,-129,,,,1.5,0.5,-99.6,0.0,2.8,2847,0.015,,,0.0,-81.444,0.0,,,0.4,,,,,,,,,1.8,,0.091,-0.001,
8,VCR,4,2020,-323.1,2.9,-932.1,,-0.017,-0.007,,,,,-69,7585,,,,,,0.462,,,0.9,6.7,6.7,0.167,-118,,,,0.9,0.4,-70.6,0.0,2.2,1920,0.633,0.104,,0.0,-82.979,0.0,,,1.4,,,,,,,,,1.2,,-0.389,8.961,
9,VCR,3,2020,-371.1,28.9,,,-0.055,-0.013,-2447.0,,614.0,,-59,761,,,,,,0.174,,,0.2,0.2,0.2,0.289,-193,,,,2.3,0.4,-54.2,0.2,5.7,-263,0.022,,,,37.32,0.0,,,1.0,,,,,,,,,4.7,,-0.011,-0.016,
10,VCR,2,2020,-214.3,12.7,,,-0.043,-0.01,-3307.0,,603.0,,-46,774,,,,,,0.179,,,0.2,0.2,0.2,0.036,-195,,,,2.2,0.4,-41.4,0.2,5.6,-264,0.011,,,,-0.125,0.0,,,1.0,,,,,,,,,4.6,,0.059,-0.014,
11,VCR,1,2020,-159.7,9.0,,,-0.041,-0.011,-3225.0,,594.0,,-44,785,,,,,,0.184,,,0.2,0.2,0.2,0.124,-184,,,,2.2,0.4,-33.4,0.2,5.4,-256,0.044,,,,-3.547,0.0,,,1.0,,,,,,,,,4.4,,0.188,-0.016,
12,VCR,4,2019,-303.3,15.0,-707.3,,-0.037,-0.009,23.0,,603.0,,-39,797,,,,,,0.189,,,0.2,0.2,0.2,2.644,-155,0.156,0.02,-0.128,2.1,0.4,-39.7,0.2,5.3,-253,0.094,0.004,,15.7,-1.62,0.0,1.0,0.02,-6.3,,,,,,,,,4.3,,3.798,-0.427,
13,VCR,3,2019,-1842.5,14.4,,,-0.008,-0.002,48.0,,3991.0,,-10,1391,,,,,,0.275,,,0.4,0.3,0.3,-0.657,-32,,,,1.3,0.4,-202.1,0.1,3.6,-237,0.174,,,7.7,-38.248,0.0,1.0,,-0.1,,,,,,,,,2.6,,3.634,0.032,
14,VCR,2,2019,-956.7,22.5,,,-0.023,-0.007,48.0,,3959.0,,-31,1349,,,,,,0.277,,,0.4,0.3,0.3,-0.238,-7,,,,0.8,0.2,-604.9,2.9,3.6,-412,0.541,,,7.7,-1.804,0.0,1.0,,1.0,,,,,,,,,2.6,,-4.049,-0.007,
