,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VCS,4,2022,7.0,1.7,5.5,,0.236,0.17,254,213,13.0,16.6,7179,30429,,,,,,0.739,,,2.8,3.4,1.8,-0.185,9694.0,0.298,0.225,0.169,0.3,0.2,1.0,14.4,1.4,3913,0.226,0.137,453.0,1.4,-0.061,0.8,0.8,0.225,0.9,,,,,,,,,0.4,,-0.153,-0.054,
1,VCS,3,2022,7.0,1.9,5.0,,0.286,0.202,231,195,11.0,23.4,8809,32164,,,,,,0.729,,,2.7,3.3,1.8,-0.168,11446.0,0.314,0.242,0.184,0.3,0.2,0.9,13.5,1.4,4188,0.201,0.12,415.0,1.6,-0.035,0.9,0.9,0.242,0.9,,,,,,,,,0.4,,-0.154,0.041,
2,VCS,2,2022,6.6,2.3,4.0,,0.369,0.253,188,172,19.0,39.4,10584,30907,,,,,,0.718,,,2.5,3.2,1.9,-0.044,13522.0,0.307,0.26,0.214,0.3,0.2,0.7,11.2,1.4,3980,0.197,0.12,341.0,1.9,-0.043,1.1,0.8,0.26,1.0,,,,,,,,,0.4,,-0.039,-0.054,
3,VCS,1,2022,9.7,3.3,5.3,,0.375,0.267,194,166,14.0,38.9,11076,32658,,,,,,0.745,,,2.9,3.6,2.2,0.0,14072.0,0.312,0.268,0.23,0.3,0.2,0.7,10.4,1.3,4311,0.245,0.11,346.0,1.9,-0.051,1.1,0.8,0.268,1.0,,,,,,,,,0.3,,-0.009,0.072,
4,VCS,4,2021,9.7,3.5,7.4,,0.406,0.274,177,159,22.0,42.0,11075,30463,,,,,,0.707,,,2.4,3.1,2.1,0.002,14194.0,0.351,0.298,0.251,0.3,0.2,0.7,10.1,1.4,3957,0.227,0.067,313.0,2.1,-0.04,1.1,0.8,0.298,1.0,,,,,,,,,0.4,,0.007,0.031,
5,VCS,3,2021,11.1,4.2,7.9,,0.42,0.275,175,162,17.0,41.8,11057,29540,,,,,,0.687,,,2.2,2.9,2.0,0.049,14094.0,0.365,0.32,0.261,0.4,0.2,0.8,9.6,1.5,3794,0.257,0.07,320.0,2.1,-0.045,1.1,0.8,0.32,1.0,,,,,,,,,0.5,,0.053,0.114,
6,VCS,2,2021,9.8,3.9,9.8,,0.447,0.277,160,182,23.0,37.2,10541,26508,,,,,,0.651,,,1.9,2.6,1.6,0.128,13381.0,0.338,0.3,0.25,0.4,0.3,0.8,8.9,1.5,3293,0.203,0.043,318.0,2.3,-0.041,1.1,0.8,0.3,1.0,,,,,,,,,0.5,,0.119,0.005,
7,VCS,1,2021,9.7,3.4,10.5,,0.392,0.253,182,185,19.0,30.4,9343,26372,,,,,,0.673,,,2.1,2.8,1.7,0.047,11957.0,0.337,0.292,0.239,0.4,0.3,0.9,8.2,1.5,3269,0.143,0.032,349.0,2.0,-0.088,1.0,0.9,0.292,1.0,,,,,,,,,0.5,,0.034,0.094,
8,VCS,4,2020,9.1,3.4,8.6,,0.391,0.245,177,194,32.0,31.2,8927,24111,,,,,,0.637,,,1.8,2.5,1.4,0.056,11568.0,0.371,0.328,0.28,0.4,0.3,0.9,7.7,1.6,2903,0.205,0.054,339.0,2.1,-0.085,1.0,0.9,0.328,1.0,,,,,,,,,0.6,,0.041,0.042,
9,VCS,3,2020,7.9,2.9,7.3,,0.398,0.245,165,193,18.0,25.0,8455,23146,,,,,,0.621,,,1.6,2.4,1.4,0.04,11116.0,0.358,0.322,0.268,0.5,0.3,1.0,6.9,1.6,2787,0.155,0.049,340.0,2.2,-0.083,1.0,0.9,0.322,1.0,,,,,,,,,0.6,,0.032,0.122,
10,VCS,2,2020,6.9,2.7,7.3,,0.408,0.241,153,202,24.0,15.5,8130,20629,,,,,,0.583,,,1.4,2.1,1.1,-0.106,10775.0,0.319,0.276,0.228,0.6,0.3,1.0,7.1,1.7,2400,0.121,0.036,331.0,2.4,-0.09,1.0,0.8,0.276,1.0,,,,,,,,,0.7,,-0.076,-0.033,
11,VCS,1,2020,5.3,2.3,6.0,,0.457,0.298,155,183,13.0,19.6,9091,21331,,,,,,0.614,,,1.6,2.3,1.3,0.032,11667.0,0.328,0.287,0.222,0.5,0.3,0.8,6.3,1.6,2555,0.111,0.039,325.0,2.4,-0.071,1.2,0.9,0.287,0.9,,,,,,,,,0.6,,0.052,-0.01,
12,VCS,4,2019,7.4,3.0,6.6,,0.456,0.282,102,195,35.0,21.2,8813,21554,,,,,,0.618,,,1.6,2.4,1.4,0.041,11095.0,0.34,0.302,0.249,0.5,0.3,0.8,5.6,1.6,2574,0.136,0.046,262.0,3.6,-0.063,1.1,1.2,0.302,1.0,,,,,,,,,0.6,,0.052,0.113,
13,VCS,3,2019,11.3,4.9,7.2,,0.458,0.292,92,194,20.0,24.5,8464,19364,,,,,,0.611,,,1.6,2.4,1.3,0.064,10549.0,0.333,0.293,0.238,0.5,0.3,0.8,4.5,1.6,2256,0.104,0.03,267.0,3.9,-0.073,1.1,1.2,0.293,1.0,,,,,,,,,0.6,,0.055,0.009,
14,VCS,2,2019,6.9,2.9,9.7,,0.441,0.269,103,220,39.0,42.9,7956,19190,,,,,,0.596,,,1.5,2.3,1.2,0.093,10003.0,0.383,0.347,0.294,0.5,0.3,0.8,4.0,1.7,2243,0.053,0.012,285.0,3.5,-0.087,1.0,1.2,0.347,1.0,,,,,,,,,0.7,,-0.185,0.038,
15,VCS,1,2019,7.7,3.0,9.5,,0.434,0.294,84,209,20.0,35.0,7279,18496,,,,,,0.703,,,2.4,2.9,1.4,0.037,12275.0,0.315,0.273,0.229,0.4,0.2,0.7,,1.4,2367,0.108,0.024,273.0,4.4,-0.286,1.2,1.2,0.273,1.0,,,,,,,,,0.4,,0.037,0.084,
16,VCS,4,2018,8.5,3.5,7.6,,0.438,0.274,86,211,40.0,51.0,7022,17065,,,,,,0.62,,,1.6,2.3,1.1,0.053,11835.0,0.345,0.317,0.255,0.4,0.3,0.7,,1.6,2121,0.157,0.042,257.0,4.3,-0.294,1.1,1.2,0.317,1.0,,,,,,,,,0.6,,0.068,-0.03,
