,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VE1,4,2022,-3.7,0.6,-5.6,,-0.142,-0.136,2608,64,68,,-784,5125,,,,,,0.963,,,26.1,24.9,24.4,0.118,-472.0,0.012,,,0.0,0.0,0.0,,1.0,28,0.064,0.114,2604,0.1,0.0,0.1,,,0.3,,,,,,,,,0.0,,0.613,-0.011,
1,VE1,3,2022,-5.4,0.7,-8.0,,-0.127,-0.122,832,53,10,,-702,5181,,,,,,0.986,,,68.8,63.5,61.1,2.389,-293.0,0.028,,,0.0,0.0,0.0,,1.0,28,0.044,0.089,875,0.4,0.0,0.4,,,5.1,,,,,,,,,0.0,,-0.035,-0.083,
2,VE1,2,2022,-19.3,0.7,-5.5,,-0.036,-0.035,865,50,10,,-207,5648,,,,,,0.978,,,44.8,42.0,40.4,-1.839,-303.0,0.1,,,0.0,0.0,0.0,,1.0,31,0.339,0.532,905,0.4,0.0,0.4,,,2.2,,,,,,,,,0.0,,0.036,-0.044,
3,VE1,1,2022,29.1,1.2,-12.2,,0.043,0.042,829,26,11,,247,5911,,,,,,1.011,,,-92.6,-83.8,-82.3,0.264,-293.0,0.219,,0.009,0.0,0.0,0.0,,1.0,32,0.016,0.025,843,0.4,0.0,0.4,1.0,,0.0,,,,,,,,,0.0,,-0.075,0.0,
4,VE1,4,2021,39.9,1.3,-18.0,,0.034,0.032,790,24,24,,195,5910,,,,,,0.954,,,20.9,20.1,19.6,1.414,-317.0,0.052,,0.015,0.0,0.0,0.0,,1.0,32,0.002,0.002,790,0.5,0.0,0.4,1.0,,-1.0,,,,,,,,,0.0,,-0.162,0.005,
5,VE1,3,2021,63.0,0.9,-15.1,,0.014,0.013,1696,119,31,,80,5884,,,,,,0.942,,,16.2,15.9,14.8,0.233,-378.0,0.166,,0.126,0.0,0.0,0.0,,1.1,32,0.057,0.055,1784,0.2,0.0,0.2,1.0,,-0.3,,,,,,,,,0.1,,-0.011,0.005,
6,VE1,2,2021,67.0,0.8,-16.0,,0.011,0.011,1545,94,22,,65,5856,,,,,,0.968,,,30.3,28.4,26.6,-1.061,-382.0,0.209,,0.894,0.0,0.0,0.0,,1.0,31,0.447,0.403,1617,0.2,0.0,0.2,1.0,,-1.7,,,,,,,,,0.0,,-0.146,0.034,
7,VE1,1,2021,-5.3,1.0,-8.3,,-0.173,-0.166,1846,54,24,,-1073,5665,,,,,,0.973,,,36.4,34.3,33.0,0.108,-447.0,0.139,,,0.0,0.0,0.0,,1.0,31,0.008,0.012,1876,0.2,0.0,0.2,,,0.5,,,,,,,,,0.0,,0.259,-0.009,
8,VE1,4,2020,-4.7,0.8,-14.0,,-0.156,-0.146,1740,36,23,,-968,5715,,,,,,0.952,,,19.6,18.8,18.2,1.91,-355.0,0.043,,,0.0,0.0,0.0,,1.1,31,0.009,0.008,1752,0.2,0.0,0.2,,,1.0,,,,,,,,,0.1,,0.297,-0.015,
9,VE1,3,2020,-22.8,1.3,-13.1,,-0.056,-0.051,1568,56,48,,-332,5803,,,,,,0.953,,,20.4,19.5,18.7,0.029,-274.0,,,0.04,0.0,0.0,0.0,,1.0,31,0.131,0.173,1575,0.2,0.0,0.2,1.0,,-0.1,,,,,,,,,0.0,,0.987,0.002,
