,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VET,4,2022,16.6,2.3,9.3,,0.141,0.067,135,324,49,414.5,3316,23829.0,,,,,,0.437,,,0.8,1.6,0.5,0.005,6789,0.371,0.154,0.149,0.5,0.2,1.9,0.0,2.3,185,0.065,0.028,410,2.7,-0.146,0.6,0.8,0.154,1.2,,,,,,,,,1.3,,-0.176,0.118,
1,VET,3,2022,19.4,3.0,8.3,,0.15,0.06,95,325,44,,3299,21311.0,,,,,,0.388,,,0.6,1.4,0.5,-0.146,8240,0.495,0.066,0.039,0.6,0.2,1.5,0.0,2.6,139,0.201,0.071,376,3.8,-0.16,0.6,0.8,0.066,0.7,,,,,,,,,1.6,,-0.044,-0.022,
2,VET,2,2022,20.1,3.6,7.1,,0.175,0.071,84,265,38,,3865,21794.0,,,,,,0.39,,,0.6,1.4,0.5,-0.105,8623,0.416,0.11,0.118,0.6,0.2,1.5,0.0,2.6,140,0.219,0.09,311,4.3,-0.107,0.6,0.8,0.11,1.3,,,,,,,,,1.6,,-0.08,0.021,
3,VET,1,2022,17.4,3.5,7.8,,0.204,0.077,65,236,52,,4321,21354.0,,,,,,0.38,,,0.6,1.4,0.7,0.002,9372,0.395,0.136,0.117,0.6,0.2,1.3,0.0,2.6,133,0.285,0.091,250,5.6,-0.028,0.7,0.8,0.136,1.1,,,,,,,,,1.6,,0.001,-0.078,
4,VET,4,2021,18.1,3.4,9.9,,0.183,0.09,84,139,36,,4313,23151.0,,,,,,0.512,,,1.1,2.0,1.0,0.139,9362,0.375,0.186,0.113,0.5,0.3,1.3,0.0,2.0,156,0.068,0.019,187,4.3,-0.055,0.8,0.8,0.186,0.8,,,,,,,,,1.0,,0.205,0.024,
5,VET,3,2021,16.7,2.8,11.1,,0.168,0.068,76,210,30,,3788,22619.0,,,,,,0.41,,,0.7,1.4,0.7,-0.056,7770,0.306,0.118,0.096,0.6,0.2,1.6,0.0,2.4,132,0.15,0.044,255,4.8,-0.027,0.6,0.8,0.118,1.0,,,,,,,,,1.4,,-0.047,,
6,VET,2,2021,19.9,,9.7,,0.183,0.072,63,241,46,,4013,,,,,,,,,,0.7,1.4,0.7,-0.087,8154,0.389,0.15,0.129,0.6,0.2,1.5,0.0,,119,0.1,0.033,258,5.8,-0.064,0.6,0.8,0.15,1.1,,,,,,,,,1.4,,-0.069,,
7,VET,1,2021,19.5,4.1,8.9,,0.21,0.079,41,226,51,,4397,21077.0,,,,,,0.376,,,0.6,1.2,0.5,-0.056,8754,0.432,0.144,0.114,0.6,0.2,1.4,0.0,2.7,84,0.217,0.065,217,8.9,-0.059,0.6,0.8,0.144,1.0,,,,,,,,,1.7,,-0.014,-0.118,
8,VET,4,2020,13.7,2.7,11.1,,0.199,0.082,63,166,78,,4656,23896.0,,,,,,0.469,,,0.9,1.5,1.0,0.109,8882,0.378,0.135,0.105,0.5,0.2,1.4,0.0,2.1,125,0.245,0.065,151,5.8,-0.136,0.7,0.8,0.135,1.0,,,,,,,,,1.1,,-0.035,0.064,
9,VET,3,2020,12.3,2.3,12.3,,0.183,0.071,55,178,41,,4200,22467.0,,,,,,0.399,,,0.7,1.3,0.8,0.087,9199,0.445,0.192,0.14,0.6,0.2,1.4,0.0,2.5,95,0.178,0.038,192,6.7,-0.287,0.7,0.8,0.192,0.9,,,,,,,,,1.5,,0.097,0.047,
10,VET,2,2020,13.4,2.4,6.7,,0.18,0.062,35,162,40,,3864,21452.0,,,,,,0.361,,,0.6,1.2,0.6,-0.248,8388,0.424,0.167,0.139,0.6,0.2,1.5,0.0,2.8,65,0.159,0.072,156,10.5,-0.31,0.7,0.8,0.167,1.0,,,,,,,,,1.8,,-0.126,0.03,
11,VET,1,2020,10.7,2.6,5.8,,0.246,0.084,30,202,84,,5142,20837.0,,,,,,0.376,,,0.6,1.1,0.7,-0.068,9602,0.34,0.107,0.098,0.6,0.2,1.3,0.0,2.7,43,0.257,0.111,148,12.1,-0.34,0.7,0.8,0.107,1.1,,,,,,,,,1.7,,-0.039,-0.093,
12,VET,4,2019,11.0,2.6,6.8,,0.243,0.083,61,134,52,,5518,22972.0,,,,,,0.364,,,0.6,1.2,0.7,-0.355,9995,0.334,0.101,0.056,0.5,0.2,1.3,0.0,2.7,87,0.442,0.167,143,6.0,-0.278,0.8,1.3,0.101,0.7,,,,,,,,,1.7,,0.256,-0.015,
13,VET,3,2019,6.9,2.5,8.4,,0.383,0.127,83,154,44,,8549,23313.0,,,,,,0.373,,,0.6,1.2,0.7,-0.031,7958,0.396,0.085,0.063,0.5,0.2,1.6,0.0,2.7,100,0.232,0.09,193,4.4,-0.188,0.8,1.2,0.085,0.9,,,,,,,,,1.7,,-0.034,0.087,
14,VET,2,2019,6.6,2.7,7.2,,0.421,0.136,71,113,33,,8820,21446.0,,,,,,0.326,,,0.5,1.1,0.8,0.174,8235,1.157,0.417,0.355,0.6,0.2,1.5,0.0,3.1,71,0.521,0.194,151,5.2,-0.162,0.9,1.3,0.417,1.1,,,,,,,,,2.1,,0.264,0.023,
15,VET,1,2019,10.4,3.7,9.6,,0.381,0.114,67,108,53,,7515,20961.0,,,,,,0.312,,,0.5,1.1,0.8,0.012,6514,0.136,0.053,0.047,0.6,0.2,1.9,0.0,3.2,64,0.791,0.25,122,5.5,-0.133,0.8,1.3,0.053,1.1,,,,,,,,,2.2,,0.075,-0.068,
16,VET,4,2018,11.8,3.9,16.0,,0.359,0.108,61,138,64,,7425,22499.0,,,,,,0.325,,,0.5,1.1,0.8,0.376,6061,0.353,0.018,0.282,0.6,0.2,2.1,0.0,3.1,72,0.648,0.145,136,6.0,-0.099,0.8,1.3,0.018,19.7,,,,,,,,,2.1,,-0.101,0.054,
17,VET,3,2018,10.2,2.6,13.0,,0.277,0.082,64,148,48,,5397,21356.0,,,,,,0.295,,,0.4,1.1,0.7,0.191,6745,0.397,0.104,0.086,0.6,0.2,1.9,0.0,3.4,56,0.639,0.154,164,5.7,-0.065,0.8,1.2,0.104,1.0,,,,,,,,,2.4,,0.143,0.046,
18,VET,4,2017,5.7,1.0,11.5,,0.196,0.051,92,457,169,,3365,18878.0,,,,,,0.277,,,0.4,1.6,1.0,0.003,3802,0.265,0.141,0.196,0.7,0.2,2.9,0.0,3.6,217,0.694,0.305,380,4.0,-0.012,0.4,1.3,0.141,1.7,,,,,,,,,2.6,,-0.276,0.071,
