,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VFR,4,2022,4.6,0.5,7.7,,0.119,0.069,-34,0.0,21.0,-2.1,1505,13300,,,,,,0.612,,,1.6,1.0,1.0,-0.226,1115.0,0.085,,,0.3,0.2,3.7,,1.6,-5,0.239,0.465,-55.0,,-0.003,0.3,,,0.4,,,,,,,,,0.6,,0.044,-0.013,
1,VFR,3,2022,3.5,0.5,8.4,,0.155,0.084,-55,0.0,17.0,-4.0,1944,13471,,,,,,0.574,,,1.4,0.9,0.9,0.262,1068.0,,,0.376,0.4,0.2,4.9,,1.7,-8,0.236,0.446,-71.0,,-0.002,0.3,1.0,,-2.8,,,,,,,,,0.7,,0.107,0.048,
2,VFR,2,2022,4.4,0.5,10.4,,0.127,0.068,-64,0.0,26.0,-4.0,1541,12853,,,,,,0.555,,,1.3,0.9,0.9,-0.182,965.0,0.001,,0.078,0.4,0.2,5.4,,1.8,-15,0.173,0.304,-90.0,,-0.009,0.4,0.8,,-0.9,,,,,,,,,0.8,,0.137,0.013,
3,VFR,1,2022,4.8,0.7,10.5,,0.16,0.084,-41,0.0,22.0,-5.1,1884,12683,,,,,,0.557,,,1.3,0.9,0.9,1.842,849.0,,,0.396,0.4,0.2,6.1,,1.8,-10,0.286,0.471,-62.0,,-0.001,0.4,1.0,,-3.0,,,,,,,,,0.8,,0.196,0.064,
4,VFR,4,2021,14.5,0.8,14.7,,0.056,0.03,-58,3.0,19.0,-6.1,663,11916,,,,,,0.55,,,1.3,0.9,0.9,-0.194,710.0,,,0.185,0.4,0.2,7.3,,1.8,-16,0.285,0.395,-74.0,,-0.008,0.4,0.9,,-1.0,,,,,,,,,0.8,,-0.186,0.032,
5,VFR,3,2021,18.8,1.3,12.6,,0.073,0.036,-74,3.0,16.0,-4.3,822,11551,,,,,,0.508,,,1.1,0.8,0.8,1.91,872.0,,,0.102,0.5,0.2,7.0,,2.0,-27,0.345,0.439,-88.0,,-0.013,0.5,0.9,,-0.9,,,,,,,,,0.9,,0.001,0.019,
6,VFR,2,2021,18.0,0.4,15.9,,0.025,0.012,-83,3.0,23.0,-4.9,282,11336,,,,,,0.505,,,1.0,0.8,0.8,-1.462,872.0,,,0.207,0.5,0.3,7.0,,2.0,-29,0.255,0.269,-103.0,,-0.008,0.5,0.9,,-1.7,,,,,,,,,1.0,,0.218,0.048,
7,VFR,1,2021,-8.7,0.5,10.9,,-0.054,-0.027,-70,2.0,19.0,-6.3,-611,10822,,,,,,0.495,,,1.0,0.9,0.9,-0.469,716.0,,,,0.5,0.3,9.2,,2.0,-18,0.368,0.678,-86.0,,-0.013,0.5,,,1.0,,,,,,,,,1.0,,1.373,-0.07,
8,VFR,4,2020,-3.0,0.3,25.1,,-0.092,-0.048,-71,7.0,21.0,-1.4,-1151,11637,,,,,,0.523,,,1.1,0.8,0.8,-0.371,302.0,0.032,,0.164,0.5,0.3,21.6,,1.9,-29,0.309,0.743,-85.0,,-0.007,0.5,1.0,,-2.6,,,,,,,,,0.9,,-10.941,0.047,
9,VFR,3,2020,-1.6,0.3,-216.9,,-0.149,-0.077,-79,5.0,22.0,-1.7,-1830,11113,,,,,,0.494,,,1.0,0.8,0.8,-0.087,-30.0,,,,0.6,0.3,-228.1,,2.0,-37,0.355,1.024,-96.0,,-0.001,0.5,,,0.9,,,,,,,,,1.0,,-0.164,-0.028,
