,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VHE,4,2022,74.1,0.3,11.5,,0.004,0.004,368,436,4,1.1,43,10031,,,,,,0.873,,,6.9,7.2,0.4,-0.425,408,0.022,0.01,0.001,0.1,0.1,4.2,10.0,1.1,274,0.0,0.001,800,1.0,-0.001,0.7,0.8,0.01,0.1,,,,,,,,,0.1,,-0.248,0.0,
1,VHE,3,2022,66.6,0.5,11.4,,0.01,0.008,292,406,7,2.0,75,10030,,,,,,0.871,,,6.7,7.1,0.4,-0.013,542,0.047,0.032,0.01,0.1,0.1,4.2,9.9,1.1,273,0.003,0.008,691,1.3,0.0,0.8,0.7,0.032,0.4,,,,,,,,,0.1,,-0.024,0.023,
2,VHE,2,2022,65.7,0.5,13.4,,0.01,0.008,288,429,13,1.3,76,9802,,,,,,0.861,,,6.2,6.5,0.2,0.028,556,0.057,0.029,0.005,0.1,0.1,4.0,9.5,1.2,264,0.011,0.027,704,1.3,-0.001,0.7,0.8,0.029,0.2,,,,,,,,,0.2,,-0.014,0.001,
3,VHE,1,2022,127.0,1.0,17.1,,0.01,0.008,294,441,2,1.4,73,9795,,,,,,0.793,,,3.8,4.3,0.3,0.158,563,0.079,0.048,0.012,0.2,0.2,5.1,13.5,1.3,262,0.014,0.028,733,1.2,-0.004,0.7,0.8,0.048,0.3,,,,,,,,,0.3,,0.027,0.001,
4,VHE,4,2021,181.5,1.2,20.3,,0.009,0.007,283,407,2,-0.8,63,9781,,,,,,0.816,,,4.4,4.8,0.3,1.129,549,0.253,0.034,0.013,0.2,0.2,5.1,13.7,1.2,260,0.032,0.051,687,1.3,-0.005,0.7,0.8,0.034,0.5,,,,,,,,,0.2,,-0.479,0.963,
5,VHE,3,2021,273.2,1.6,25.5,,0.007,0.005,172,252,11,1.6,30,4982,,,,,,0.678,,,2.1,2.4,0.3,0.903,1053,0.064,0.035,0.011,0.4,0.3,4.8,10.5,1.5,102,0.002,0.002,413,2.1,0.162,0.8,0.8,0.035,0.4,,,,,,,,,0.5,,0.073,0.004,
6,VHE,2,2021,742.0,2.4,18.6,,0.004,0.002,197,323,18,1.2,15,4963,,,,,,0.671,,,2.0,2.3,0.1,0.317,982,0.099,0.038,0.004,0.4,0.2,4.9,9.5,1.5,100,0.001,0.001,502,1.9,-0.107,0.7,0.8,0.038,0.1,,,,,,,,,0.5,,0.049,0.001,
7,VHE,1,2021,626.6,1.5,13.6,,0.003,0.002,189,336,5,1.2,11,4957,,,,,,0.693,,,2.3,2.5,0.3,0.104,936,0.072,0.035,0.003,0.4,0.3,5.3,8.2,1.4,100,0.024,0.042,520,1.9,-0.156,0.7,0.7,0.035,0.1,,,,,,,,,0.4,,0.556,0.004,
8,VHE,4,2020,368.9,0.8,27.7,,0.003,0.002,218,372,7,-0.3,10,4940,,,,,,0.702,,,2.4,2.6,0.4,-0.095,602,0.133,0.058,0.003,0.4,0.3,7.9,7.5,1.4,98,0.064,0.071,584,1.7,-0.154,0.6,1.9,0.058,0.0,,,,,,,,,0.4,,-0.251,0.474,
9,VHE,3,2020,313.1,1.1,18.3,,0.004,0.002,155,240,17,1.2,11,3350,,,,,,0.625,,,1.7,1.9,1.0,0.067,803,0.087,0.044,0.005,0.5,0.3,8.1,8.8,1.6,55,0.007,0.011,378,2.3,-0.336,0.7,0.8,0.044,0.1,,,,,,,,,0.6,,0.133,0.001,
10,VHE,2,2020,400.8,1.3,16.3,,0.003,0.002,150,243,13,1.1,11,3345,,,,,,0.633,,,1.7,1.9,0.8,-0.953,709,0.074,0.033,0.001,0.5,0.3,9.2,10.4,1.6,52,0.029,0.068,381,2.4,-0.059,0.6,0.4,0.033,0.1,,,,,,,,,0.6,,-0.593,0.001,
11,VHE,1,2020,14.4,1.0,5.7,,0.073,0.047,112,240,4,-2.2,236,3344,,,,,,0.652,,,1.9,1.8,0.3,-0.181,1744,0.0,,0.004,0.5,0.3,3.4,,1.5,46,0.024,0.073,348,3.2,-0.003,0.8,0.8,,0.0,,,,,,,,,0.5,,-0.247,-0.045,
12,VHE,4,2019,16.4,1.4,4.6,,0.086,0.055,34,256,4,1.1,288,3502,,,,,,0.627,,,1.7,1.8,0.2,-0.13,2314,0.222,0.062,0.005,0.5,0.3,2.5,15.0,1.6,48,0.017,0.047,286,10.8,-0.005,0.9,1.3,0.062,0.1,,,,,,,,,0.6,,-0.058,0.001,
