,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VHF,4,2022,45.4,1.4,-33.3,,0.031,0.022,142,20,16,0.2,330,10702,,,,,,0.69,,,2.2,3.0,2.8,0.141,-490,0.054,0.001,0.017,0.2,0.2,-5.3,,1.4,194,0.052,0.037,146,2.6,-0.04,1.5,1.0,0.001,18.3,,,,,,,,,0.4,,-0.262,0.009,
1,VHF,3,2022,32.9,0.9,-24.6,,0.027,0.02,124,7,10,0.0,289,10604,,,,,,0.738,,,2.8,3.2,3.1,-0.022,-665,0.047,,0.01,0.1,0.1,-2.3,,1.4,167,0.019,0.013,122,2.9,-0.089,1.7,1.0,,-387.1,,,,,,,,,0.4,,-0.182,0.007,
2,VHF,2,2022,32.2,0.9,-14.7,,0.028,0.02,153,29,15,-7.9,295,10527,,,,,,0.683,,,2.2,2.9,2.5,-0.195,-813,0.025,,0.006,0.3,0.2,-2.7,,1.5,182,0.022,0.024,167,2.4,-0.078,1.3,1.0,,-0.2,,,,,,,,,0.5,,0.153,-0.023,
3,VHF,1,2022,33.1,1.1,-18.4,,0.034,0.025,145,20,13,-11.1,367,10780,,,,,,0.693,,,2.3,2.7,2.4,0.211,-705,0.03,,0.029,0.3,0.2,-3.0,,1.4,157,0.026,0.028,152,2.5,-0.06,1.3,1.0,,-0.4,,,,,,,,,0.4,,0.199,0.011,
4,VHF,4,2021,40.0,1.1,-16.9,,0.029,0.022,163,17,9,-6.5,303,10661,,,,,,0.726,,,2.6,3.5,3.1,-0.039,-588,0.026,,0.008,0.2,0.2,-2.6,,1.4,192,0.038,0.047,172,2.2,-0.053,1.5,1.0,,-0.3,,,,,,,,,0.4,,0.31,0.005,
5,VHF,3,2021,39.7,1.2,-30.8,,0.03,0.023,169,24,13,-8.6,315,10603,,,,,,0.747,,,3.0,3.7,3.5,-0.21,-449,0.042,,0.027,0.1,0.1,-2.5,,1.3,189,0.018,0.016,180,2.2,-0.015,1.4,1.0,,-0.5,,,,,,,,,0.3,,-0.285,0.008,
6,VHF,2,2021,31.4,1.2,-22.2,,0.038,0.027,143,40,28,-6.0,399,10519,,,,,,0.732,,,2.7,3.3,2.9,0.22,-628,0.04,,0.02,0.2,0.1,-2.8,,1.4,174,0.024,0.021,154,2.5,-0.293,1.4,1.0,,-1.0,,,,,,,,,0.4,,0.055,-0.016,
7,VHF,1,2021,38.3,1.2,-22.4,,0.031,0.023,144,30,18,-54.7,327,10686,,,,,,0.786,,,3.7,4.2,3.9,0.088,-595,0.031,,0.013,0.1,0.1,-3.1,,1.3,177,0.025,0.021,157,2.5,-0.296,1.5,1.0,,-0.2,,,,,,,,,0.3,,0.341,0.004,
8,VHF,4,2020,41.7,1.2,-30.2,,0.028,0.023,135,14,9,-9.1,301,10644,,,,,,0.861,,,6.2,7.3,7.0,0.74,-444,0.049,,0.012,0.1,0.0,-2.2,,1.2,188,0.028,0.023,140,2.7,-0.292,1.8,1.0,,-1.2,,,,,,,,,0.2,,0.102,0.007,
9,VHF,3,2020,119.8,2.0,-33.2,,0.016,0.011,117,58,13,-11.9,172,10574,,,,,,0.786,,,3.7,4.5,3.8,0.271,-403,0.014,,0.03,0.1,0.1,-8.2,,1.3,188,0.014,0.012,162,3.1,-0.288,1.7,1.0,,-0.5,,,,,,,,,0.3,,0.194,0.016,
