,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VID,4,2022,7.9,0.5,7.1,,0.065,0.025,21,74,69,1.8,730,11587,,,,,,0.389,,,0.9,1.2,0.8,-0.194,1944.0,0.067,0.025,0.005,0.6,0.3,4.4,231.2,2.6,107,0.152,0.382,26,17.4,-0.009,1.2,1.1,0.025,0.2,,,,,,,,,1.1,,-0.052,0.005,
1,VID,3,2022,7.6,0.6,6.8,,0.082,0.03,26,99,93,5.4,906,11525,,,,,,0.373,,,0.9,1.2,0.6,-0.11,2050.0,0.095,0.055,0.025,0.4,0.2,3.6,22.8,2.7,111,0.126,0.306,32,13.8,-0.006,1.0,0.5,0.055,1.0,,,,,,,,,1.2,,-0.039,0.018,
2,VID,2,2022,7.5,0.7,8.3,,0.094,0.035,18,100,93,6.3,1018,11317,,,,,,0.374,,,0.9,1.1,0.6,0.016,2134.0,0.106,0.058,0.025,0.5,0.2,3.5,,2.7,80,0.139,0.283,25,20.7,-0.016,1.0,0.4,0.058,1.0,,,,,,,,,1.2,,-0.054,0.018,
3,VID,1,2022,9.5,0.9,7.6,,0.094,0.039,16,77,62,6.6,1002,11114,,,,,,0.417,,,1.1,1.1,0.6,0.132,2256.0,0.144,0.085,0.044,0.4,0.2,3.3,,2.4,66,0.123,0.227,31,23.5,-0.01,1.0,0.5,0.085,1.1,,,,,,,,,0.9,,0.023,0.018,
4,VID,4,2021,11.6,0.9,9.2,,0.085,0.034,10,63,57,2.5,885,10919,,,,,,0.381,,,0.9,1.1,0.7,0.123,2206.0,0.1,0.043,0.027,0.6,0.3,4.0,,2.6,53,0.195,0.302,17,35.3,-0.01,1.0,0.5,0.043,1.4,,,,,,,,,1.1,,0.021,0.024,
5,VID,3,2021,9.9,0.7,10.3,,0.077,0.03,30,78,68,2.0,788,10660,,,,,,0.355,,,0.8,1.1,0.7,0.336,2160.0,0.093,0.045,0.061,0.6,0.3,4.4,9.9,2.8,75,0.205,0.293,39,12.4,0.01,1.0,0.7,0.045,1.8,,,,,,,,,1.2,,-0.135,0.03,
6,VID,2,2021,16.1,0.9,8.6,,0.059,0.023,14,69,78,7.8,590,10351,,,,,,0.381,,,0.9,1.1,0.7,0.79,2498.0,0.165,0.111,0.035,0.4,0.2,3.5,10.2,2.6,31,0.118,0.173,5,26.6,0.009,1.1,0.3,0.111,1.0,,,,,,,,,1.1,,0.499,0.004,
7,VID,1,2021,26.5,0.8,13.3,,0.033,0.014,17,36,44,6.1,329,10314,,,,,,0.42,,,1.1,1.0,0.8,-0.13,1666.0,0.114,0.069,0.02,0.5,0.3,5.9,19.3,2.4,22,0.119,0.18,8,21.9,0.0,1.2,0.3,0.069,0.9,,,,,,,,,0.9,,0.35,0.028,
8,VID,4,2020,17.3,0.7,20.4,,0.039,0.017,14,35,34,2.1,379,10032,,,,,,0.435,,,1.2,1.0,0.8,2.619,1234.0,0.073,0.03,0.015,0.6,0.3,8.3,33.4,2.3,8,0.1,0.129,15,26.6,0.0,1.2,0.4,0.03,1.4,,,,,,,,,0.8,,0.386,0.01,
9,VID,3,2020,69.2,0.7,24.4,,0.011,0.005,40,56,55,3.1,104,9933,,,,,,0.425,,,1.1,1.2,0.9,-0.221,890.0,0.115,0.063,0.021,0.6,0.3,10.3,14.7,2.4,101,0.073,0.138,41,9.2,-0.019,1.2,0.3,0.063,1.0,,,,,,,,,0.9,,0.217,0.012,
