,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VIE,2,2022,9.1,1.2,8.5,,0.145,0.097,201,147,91,,394,2925,,,,,,0.706,,,2.4,3.0,1.9,-0.009,1150,0.235,,,0.0,0.0,0.3,,1.4,12,0.08,0.056,257,1.8,0.0,1.0,,,1.0,,,,,,,,,0.4,,0.011,-0.015,
1,VIE,1,2022,26.1,3.5,0.0,,0.144,0.096,181,107,89,-420.9,398,2969,,,,,,0.732,,,2.7,3.3,2.3,0.067,1137,0.214,,,0.0,0.0,0.0,,1.4,12,0.045,,199,2.0,0.0,1.1,,,1.0,,,,,,,,,0.4,,0.06,-0.032,
2,VIE,4,2021,27.3,3.3,7.7,,0.129,0.073,195,111,141,,373,3068,,,,,,0.657,,,1.9,2.6,1.9,11.651,1072,0.333,0.332,0.284,0.0,0.0,0.1,,1.5,13,0.179,0.153,164,1.9,0.0,0.9,0.9,0.332,1.0,,,,,,,,,0.5,,17.27,0.162,
3,VIE,3,2021,183.1,2.0,203.3,,0.011,0.006,160,97,122,,29,2640,,,,,,0.649,,,1.8,2.5,1.8,-1.361,59,0.211,0.087,0.087,0.0,0.0,2.6,,1.5,11,0.058,0.031,136,2.3,0.0,1.0,1.0,0.087,1.0,,,,,,,,,0.5,,-1.275,0.041,
4,VIE,2,2021,-96.7,3.1,-28.1,,-0.032,-0.016,153,118,162,,-81,2535,,,,,,0.635,,,1.7,2.4,1.6,-0.112,-213,0.1,,,0.1,0.1,-4.9,,1.6,10,0.025,0.029,109,2.4,0.0,0.9,,,0.8,,,,,,,,,0.6,,0.093,-0.016,
5,VIE,1,2021,-45.7,1.6,-29.5,,-0.035,-0.021,140,76,72,,-91,2576,,,,,,0.603,,,1.5,2.2,1.6,-5.079,-195,0.061,,,0.0,0.0,-3.4,,1.7,10,0.12,0.117,145,2.6,0.0,1.2,,,1.0,,,,,,,,,0.7,,-2.72,-0.048,
6,VIE,4,2020,186.2,1.6,58.4,,0.01,0.005,109,78,145,,22,2707,,,,,,0.486,,,0.9,1.7,1.4,-0.73,113,0.157,0.048,0.046,0.0,0.0,0.0,,2.1,11,0.203,0.221,42,3.3,0.0,1.1,1.0,0.048,1.0,,,,,,,,,1.1,,-1.726,0.032,
7,VIE,3,2020,71.9,2.3,-28.6,,0.04,0.022,98,85,95,,83,2623,,,,,,0.515,,,1.1,1.8,1.4,-0.635,-156,0.134,,,0.0,0.0,0.0,,1.9,10,0.044,0.068,88,3.7,0.0,1.4,,,1.2,,,,,,,,,0.9,,-1.654,-0.001,
8,VIE,2,2020,26.7,2.3,22.3,,0.113,0.051,66,75,83,-3.3,228,2626,,,,,,0.414,,,0.7,1.5,1.1,0.972,238,0.085,,,0.2,0.1,3.2,,2.4,10,0.414,0.445,59,5.5,0.0,1.7,,,1.2,,,,,,,,,1.4,,-2.808,-0.019,
9,VIE,1,2020,52.6,2.3,-62.0,,0.054,0.033,87,63,53,-0.4,115,2676,,,,,,0.621,,,1.6,2.3,1.6,0.163,-132,0.283,,,0.2,0.1,-5.8,,1.6,10,0.038,0.041,98,4.2,0.0,1.8,,,2.3,,,,,,,,,0.6,,-0.683,-0.364,
10,VIE,4,2019,100.3,2.4,-17.3,,0.024,0.012,95,61,81,,99,4207,,,,,,0.445,,,0.8,1.5,1.0,-3.393,-416,0.112,-0.004,0.07,0.0,0.0,0.0,,2.2,5,0.081,0.056,75,3.8,0.0,1.8,1.1,-0.004,-19.2,,,,,,,,,1.2,,0.539,0.093,
11,VIE,3,2019,-240.1,2.6,-30.2,,-0.011,-0.006,48,82,62,,-41,3849,,,,,,0.595,,,1.5,1.9,0.9,-0.847,-270,0.115,0.039,0.039,0.0,0.0,0.0,,1.7,5,0.165,0.093,68,7.5,0.0,2.0,1.0,0.039,1.0,,,,,,,,,0.7,,-0.529,0.099,
12,VIE,2,2019,-36.7,2.9,-16.8,,-0.075,-0.038,88,182,112,,-272,3501,,,,,,0.536,,,1.2,1.7,0.7,-2.665,-574,0.279,-0.726,-0.681,0.0,0.0,0.0,,1.9,4,0.075,0.035,158,4.2,0.0,1.0,1.0,-0.726,0.9,,,,,,,,,0.9,,0.688,-0.103,
13,VIE,1,2019,61.1,2.6,-26.5,,0.041,0.017,108,147,140,,163,3901,,,,,,0.583,,,1.4,1.9,1.1,-0.598,-340,0.303,-0.157,-0.155,0.0,0.0,0.0,,1.7,5,0.193,0.099,115,3.4,0.0,0.8,1.0,-0.157,1.0,,,,,,,,,0.7,,19.871,-0.045,
14,VIE,4,2018,41.8,4.2,-523.3,,0.09,0.046,182,159,255,,406,4086,,,,,,0.527,,,1.1,1.7,1.2,0.507,-16,0.238,0.028,0.068,0.0,0.0,0.0,,1.9,6,0.063,0.034,86,2.0,0.0,0.8,1.0,0.028,2.4,,,,,,,,,0.9,,-1.056,0.056,
15,VIE,3,2018,37.0,2.6,65.3,,0.062,0.034,124,199,199,,270,3871,,,,,,0.507,,,1.0,1.7,1.0,0.626,291,0.268,0.048,0.052,0.0,0.0,0.0,,2.0,5,0.288,0.072,125,2.9,0.0,0.8,1.0,0.048,1.1,,,,,,,,,1.0,,1.198,0.031,
16,VIE,2,2018,69.9,3.1,70.4,,0.039,0.02,143,244,222,,166,3753,,,,,,0.469,,,0.9,1.6,1.0,-0.639,133,0.378,-0.34,0.05,0.0,0.0,0.0,,2.1,5,0.472,0.211,164,2.6,0.0,0.7,1.0,-0.34,-0.1,,,,,,,,,1.1,,-0.663,-0.067,
17,VIE,1,2018,18.7,2.1,20.2,,0.107,0.043,154,234,271,,460,4023,,,,,,0.309,,,0.4,1.3,1.1,2.529,394,0.577,0.058,0.059,0.0,0.0,0.1,,3.2,5,0.087,0.055,118,2.4,0.0,0.5,1.0,0.058,1.0,,,,,,,,,2.2,,-5.957,-0.181,
18,VIE,4,2017,84.4,2.2,-92.7,,0.025,0.013,234,219,352,,130,4912,,,,,,0.498,,,1.0,1.4,1.0,-1.886,-79,0.349,0.108,0.026,0.0,0.0,-0.2,,2.0,4,0.245,0.201,100,1.6,0.0,0.6,1.0,0.108,0.2,,,,,,,,,1.0,,-0.933,0.006,
19,VIE,3,2017,-46.9,1.4,-6.4,,-0.028,-0.017,139,197,226,,-147,4885,,,,,,0.579,,,1.4,1.6,0.9,-0.741,-1188,0.322,-0.008,0.01,0.0,0.0,0.0,,1.7,4,0.084,0.066,110,2.6,0.0,0.7,1.0,-0.008,-1.2,,,,,,,,,0.7,,-0.308,0.003,
20,VIE,2,2017,-8.4,1.0,-3.9,,-0.105,-0.053,208,185,226,,-569,4871,,,,,,0.58,,,1.4,1.6,0.9,-0.578,-1717,0.513,-0.063,0.406,0.0,0.0,0.0,,1.7,4,0.026,0.024,167,1.8,0.0,0.6,1.0,-0.063,-6.4,,,,,,,,,0.7,,-0.189,0.073,
21,VIE,1,2017,-3.3,1.0,-2.0,,-0.242,-0.129,128,134,134,,-1349,4541,,,,,,0.534,,,1.1,1.5,0.9,0.178,-2118,0.314,-0.755,-0.687,0.0,0.0,0.0,,1.9,4,0.094,0.12,128,2.9,0.0,0.8,1.0,-0.755,0.9,,,,,,,,,0.9,,0.164,-0.151,
22,VIE,4,2016,-3.4,0.7,-1.9,,-0.163,-0.09,199,113,145,,-1145,5347,,,,,,0.546,,,1.2,1.6,1.1,0.38,-1819,0.07,-0.158,-0.061,0.0,0.0,0.0,,1.8,6,0.064,0.119,167,1.8,0.0,0.7,1.0,-0.158,0.4,,,,,,,,,0.8,,0.703,-0.036,
23,VIE,3,2016,-1.7,0.3,-3.2,,-0.137,-0.059,104,128,114,,-829,5546,,,,,,0.595,,,1.5,1.7,1.0,1.031,-1068,0.145,-0.284,-0.282,0.0,0.0,-0.1,,1.7,6,0.115,0.2,118,3.5,0.0,0.8,1.0,-0.284,1.0,,,,,,,,,0.7,,1.069,-0.069,
24,VIE,2,2016,-3.4,0.2,0.8,,-0.065,-0.03,150,128,133,,-408,5954,,,,,,0.454,,,0.8,1.4,1.1,-2.603,-516,0.229,-0.102,-0.13,0.0,0.0,-0.1,,2.2,6,0.221,1.335,145,2.4,0.0,0.8,1.0,-0.102,1.3,,,,,,,,,1.2,,-5.091,-0.1,
