,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VIG,4,2022,58.9,0.7,38.6,,0.015,0.014,1222.0,,28.0,,84,6760.0,,,,,,0.963,,,25.7,26.0,26.0,-0.532,150.0,0.688,0.014,0.022,0.0,0.0,0.5,,1.0,296,0.368,0.497,,0.3,0.0,0.3,1.0,0.014,1.5,,,,,,,,,0.0,,-0.437,0.559,
1,VIG,3,2022,36.4,1.5,28.2,,0.043,0.039,1126.0,,33.0,,181,4337.0,,,,,,0.915,,,10.8,11.3,11.3,0.264,266.0,0.632,0.077,0.064,0.0,0.0,0.6,,1.1,187,0.012,0.01,,0.3,0.0,0.3,1.0,0.077,0.8,,,,,,,,,0.1,,0.265,0.001,
2,VIG,2,2022,41.8,1.4,19.0,,0.034,0.03,1168.0,,29.0,,143,4331.0,,,,,,0.874,,,6.9,7.6,7.6,1.628,210.0,0.925,0.091,0.058,0.1,0.1,1.4,,1.1,186,0.175,0.218,,0.3,-0.451,0.3,1.0,0.091,0.6,,,,,,,,,0.1,,3.046,0.014,
3,VIG,1,2022,245.6,3.1,128.9,,0.013,0.011,4506.0,,64.0,,54,4273.0,,,,,,0.876,,,7.1,7.7,7.7,0.689,52.0,0.536,0.099,0.117,0.1,0.0,4.7,,1.1,184,0.038,0.033,,0.1,0.0,0.1,1.0,0.099,1.2,,,,,,,,,0.1,,1.234,0.003,
4,VIG,4,2021,538.7,4.1,337.0,,0.008,0.007,3966.0,,69.0,,32,4261.0,,,,,,0.893,,,8.3,9.0,9.0,-1.292,23.0,0.489,0.882,0.932,0.0,0.0,7.4,,1.1,185,0.041,0.03,,0.1,0.0,0.1,1.0,0.882,1.1,,,,,,,,,0.1,,-1.182,0.025,
5,VIG,3,2021,-82.2,2.2,-104.9,,-0.026,-0.024,8245.0,,37.0,,-110,4156.0,,,,,,0.892,,,8.3,9.0,9.0,0.069,-128.0,0.065,,,0.0,0.0,-1.3,,1.1,180,0.006,0.002,,0.0,0.0,0.0,,,0.9,,,,,,,,,0.1,,0.104,-0.008,
6,VIG,2,2021,-52.2,1.3,-88.8,,-0.024,-0.022,9190.0,,40.0,,-103,4188.0,,,,,,0.895,,,8.5,9.2,9.2,0.334,-116.0,0.287,,,0.0,0.0,-1.5,,1.1,181,0.011,0.006,,0.0,0.0,0.0,,,1.1,,,,,,,,,0.1,,0.429,-0.007,
7,VIG,1,2021,-73.4,1.4,-57.3,,-0.018,-0.017,13173.0,,87.0,,-77,4219.0,,,,,,0.901,,,9.1,9.8,9.8,-0.313,-81.0,0.478,,,0.0,0.0,-2.1,,1.1,182,0.002,0.003,,0.0,0.0,0.0,,,0.9,,,,,,,,,0.1,,-0.093,-0.244,
8,VIG,4,2020,-21.2,0.4,-63.2,,-0.02,-0.018,7640.0,,61.0,,-112,5581.0,,,,,,0.898,,,8.8,4.4,4.4,1.655,-90.0,,,,0.0,0.0,-1.9,,1.1,73,0.006,0.006,,0.0,0.0,0.0,,,1.0,,,,,,,,,0.1,,3.674,-0.009,
9,VIG,3,2020,-25.8,0.2,-222.7,,-0.007,-0.007,8674.0,,12.0,,-42,5632.0,,,,,,0.918,,,11.2,11.7,11.7,-0.235,-19.0,0.322,,,0.0,0.0,-9.0,,1.1,184,0.001,0.001,,0.0,0.0,0.0,,,1.0,,,,,,,,,0.1,,-0.379,-0.006,
