,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VIT,4,2022,18.2,1.5,8.1,,0.082,0.026,-22,94,43,2.2,1017,12447,,,,,,0.282,,,0.4,0.8,0.2,0.172,5139,0.095,0.08,0.039,1.9,0.5,3.9,1.0,3.5,-215,0.073,0.049,29,,-0.485,1.0,0.9,0.08,0.5,,,,,,,,,2.5,,0.157,0.039,
1,VIT,3,2022,22.3,1.6,9.2,,0.073,0.024,34,113,39,2.1,868,11974,,,,,,0.283,,,0.4,0.9,0.3,0.335,4441,0.108,0.079,0.033,2.0,0.6,4.4,1.3,3.5,-145,0.058,0.039,108,10.7,-0.852,1.0,0.8,0.079,0.5,,,,,,,,,2.5,,-0.138,-0.032,
2,VIT,2,2022,30.8,1.6,10.9,,0.072,0.02,-18,128,51,2.2,650,12372,,,,,,0.318,,,0.5,0.9,0.3,0.086,5154,0.112,0.077,0.037,1.6,0.5,4.4,1.4,3.1,-62,0.101,0.063,60,,-0.985,0.9,0.9,0.077,0.5,,,,,,,,,2.1,,0.139,0.031,
3,VIT,1,2022,33.6,1.7,11.8,,0.066,0.022,-10,117,40,0.0,599,12005,,,,,,0.339,,,0.5,0.9,0.4,-0.351,4527,0.049,0.001,,1.6,0.5,4.8,1.3,2.9,-50,0.076,0.048,67,,-0.953,1.0,,0.001,-30.9,,,,,,,,,1.9,,-0.053,-0.024,
4,VIT,4,2021,25.8,1.9,9.1,,0.1,0.035,-10,112,44,3.3,923,12298,,,,,,0.37,,,0.6,1.0,0.4,0.054,4779,0.101,0.066,0.039,1.3,0.5,4.0,1.0,2.7,-29,0.106,0.067,58,,-1.762,1.0,0.8,0.066,0.7,,,,,,,,,1.7,,0.003,0.027,
5,VIT,3,2021,15.3,1.1,11.4,,0.098,0.034,68,137,40,2.1,876,11975,,,,,,0.396,,,0.7,1.8,1.1,-0.22,4763,0.116,0.065,0.033,1.3,0.5,4.1,1.5,2.5,485,0.378,0.168,165,5.4,-0.798,1.0,0.8,0.065,0.6,,,,,,,,,1.5,,-0.49,1.081,
6,VIT,2,2021,12.0,2.3,5.6,,0.187,0.047,-18,123,49,2.9,1123,5755,,,,,,0.212,,,0.3,0.9,0.5,-0.068,9333,0.121,0.088,0.047,1.9,0.4,3.0,7.4,4.7,-83,1.21,0.435,56,,-0.163,1.1,0.8,0.088,0.7,,,,,,,,,3.7,,-0.004,-0.082,
7,VIT,1,2021,9.4,1.8,6.5,,0.199,0.059,-10,114,44,1.6,1205,6271,,,,,,0.315,,,0.5,1.0,0.4,0.015,9370,0.103,0.07,0.022,1.7,0.5,3.1,3.4,3.2,-21,0.173,0.077,60,,-0.167,1.2,0.8,0.07,0.4,,,,,,,,,2.2,,-0.015,0.016,
8,VIT,4,2020,8.4,1.6,5.2,,0.197,0.061,-14,102,41,2.5,1187,6170,,,,,,0.321,,,0.5,0.9,0.3,-0.053,9511,0.111,0.07,0.036,1.6,0.5,2.7,3.1,3.1,-40,0.351,0.266,47,,-0.02,1.3,0.8,0.07,0.6,,,,,,,,,2.1,,-0.059,0.047,
9,VIT,3,2020,6.7,1.4,4.5,,0.219,0.059,-25,117,42,2.8,1253,5894,,,,,,0.279,,,0.4,0.9,0.3,-0.008,10108,0.152,0.103,0.064,2.0,0.6,2.9,2.6,3.6,-32,0.111,0.098,49,,-0.025,1.3,1.0,0.103,0.6,,,,,,,,,2.6,,-0.028,-0.056,
