,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VIW,4,2022,-108.0,1.1,13.6,,-0.011,-0.003,106,196,187,1.1,-109,10305,,,,,,0.269,,,0.5,1.2,0.8,-8.397,1474,0.091,0.036,,0.6,0.2,5.6,1.9,3.7,318,0.27,0.287,115,3.5,-0.004,0.5,,0.036,-0.2,,,,,,,,,2.1,,0.099,-0.008,
1,VIW,3,2022,1334.0,1.9,13.9,,0.001,0.0,122,238,170,2.2,14,10383,,,,,,0.271,,,0.5,1.3,0.8,-0.223,1341,0.12,0.057,0.011,0.7,0.2,6.4,1.8,3.7,335,0.22,0.269,190,3.0,-0.002,0.5,0.4,0.057,0.4,,,,,,,,,2.0,,0.027,-0.002,
2,VIW,2,2022,921.2,1.7,18.7,,0.002,0.0,123,244,171,1.0,18,10403,,,,,,0.267,,,0.5,1.3,0.8,-1.298,1305,0.118,0.042,,0.7,0.2,6.7,1.7,3.7,339,0.246,0.183,197,3.0,0.015,0.4,,0.042,0.2,,,,,,,,,2.1,,0.232,-0.001,
3,VIW,1,2022,-268.1,1.6,22.9,,-0.006,-0.002,128,230,186,1.5,-63,10416,,,,,,0.285,,,0.5,1.3,0.8,-0.436,1059,0.142,0.061,,0.7,0.2,8.1,1.6,3.5,338,0.323,0.234,173,2.8,0.017,0.4,,0.061,0.3,,,,,,,,,1.9,,0.052,0.035,
4,VIW,4,2021,-164.6,1.8,23.4,,-0.011,-0.003,132,264,264,2.5,-113,10060,,,,,,0.263,,,0.5,1.3,0.8,35.704,1007,0.111,0.031,0.009,0.7,0.2,8.6,1.4,3.8,336,0.342,0.254,132,2.8,-0.015,0.4,0.4,0.031,0.7,,,,,,,,,2.0,,-0.174,-0.014,
5,VIW,3,2021,-4504.3,1.4,19.2,,0.0,0.0,123,241,240,1.2,-3,10201,,,,,,0.269,,,0.5,1.3,0.9,-0.93,1219,0.112,0.047,0.015,0.6,0.2,7.3,1.3,3.7,343,0.344,0.256,124,3.0,-0.039,0.4,0.3,0.047,1.0,,,,,,,,,2.0,,-0.08,0.019,
6,VIW,2,2021,-237.5,1.0,17.2,,-0.004,-0.001,118,237,250,-0.5,-44,10009,,,,,,0.26,,,0.5,1.2,0.8,-0.388,1325,0.081,,,0.7,0.2,7.3,1.4,3.8,300,0.237,0.205,104,3.1,-0.062,0.4,,,1.5,,,,,,,,,2.1,,-0.121,-0.043,
7,VIW,1,2021,-152.4,1.1,12.5,,-0.007,-0.002,126,232,270,0.9,-72,10454,,,,,,0.267,,,0.5,1.2,0.9,0.528,1508,0.182,0.064,,0.7,0.2,6.2,1.3,3.7,296,0.262,0.292,87,2.9,-0.076,0.4,,0.064,-0.1,,,,,,,,,2.1,,-0.094,-0.008,
8,VIW,4,2020,-158.7,0.7,12.2,,-0.004,-0.001,112,247,333,1.3,-47,10534,,,,,,0.259,,,0.5,1.2,0.8,-0.573,1665,0.104,0.052,0.023,0.7,0.2,5.8,1.6,3.9,270,0.251,0.309,25,3.3,-0.043,0.4,0.6,0.052,0.7,,,,,,,,,2.2,,-0.029,0.028,
9,VIW,3,2020,-60.5,0.7,11.1,,-0.011,-0.003,104,254,294,1.6,-110,10248,,,,,,0.258,,,0.5,1.2,0.8,-0.132,1714,0.171,0.093,0.004,0.8,0.2,6.2,1.8,3.9,271,0.155,0.215,64,3.5,-0.02,0.4,0.2,0.093,0.2,,,,,,,,,2.2,,-0.119,0.001,
10,VIW,2,2020,-76.8,1.0,9.8,,-0.012,-0.003,82,232,303,0.5,-127,10233,,,,,,0.258,,,0.5,1.2,0.8,0.54,1945,0.165,0.04,,0.8,0.3,5.5,1.9,3.9,283,0.088,0.15,11,4.4,-0.123,0.5,,0.04,-1.4,,,,,,,,,2.2,,-0.056,-0.036,
11,VIW,1,2020,-187.0,1.5,10.3,,-0.008,-0.002,88,200,253,1.5,-82,10613,,,,,,0.271,,,0.5,1.2,0.9,-2.255,2061,0.181,0.088,,0.8,0.3,5.1,1.8,3.7,311,0.093,0.123,35,4.1,-0.076,0.6,,0.088,0.1,,,,,,,,,2.0,,-0.014,-0.013,
