,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VKC,4,2022,-0.1,4.1,-1.8,,-1.931,-0.437,146,69,32,-0.7,-12327,313,,,,,,0.015,,,0.0,1.4,1.3,0.15,-4881,0.094,,,58.7,0.9,-3.9,0.8,67.8,86,0.273,0.066,182,2.5,-0.037,0.5,,,3.5,,,,,,,,,66.8,,0.19,-0.832,
1,VKC,3,2022,-0.3,1.8,-2.2,,-1.483,-0.374,37,52,47,-0.6,-10721,1866,,,,,,0.083,,,0.1,1.5,1.4,0.089,-4103,0.043,,,9.9,0.8,-4.2,0.8,12.0,102,0.073,0.091,42,9.9,-0.03,0.8,,,2.7,,,,,,,,,11.0,,0.159,-0.317,
2,VKC,2,2022,-0.5,1.8,-5.9,,-1.286,-0.341,-2,57,30,-5.7,-9841,2732,,,,,,0.112,,,0.1,0.8,0.7,-141.069,-3540,,,,7.2,0.8,-5.0,367.7,8.9,-87,0.055,0.068,25,,-0.02,1.2,,,2.3,,,,,,,,,7.9,,-4.841,-0.784,
3,VKC,1,2022,153.7,0.9,28.0,,0.006,0.002,80,67,18,0.2,70,12652,,,,,,0.338,,,0.5,2.1,1.5,-0.436,922,0.039,0.005,0.001,1.8,0.6,20.1,1.2,3.0,296,0.021,0.062,129,4.6,-0.014,1.3,0.8,0.005,0.1,,,,,,,,,2.0,,-0.162,0.016,
4,VKC,4,2021,103.6,1.0,20.2,,0.01,0.004,42,43,20,1.2,124,12457,,,,,,0.354,,,0.5,1.4,1.2,-0.146,1100,0.079,0.035,0.006,1.7,0.6,16.0,2.4,2.8,124,0.108,0.204,64,8.7,0.0,1.4,0.7,0.035,0.2,,,,,,,,,1.8,,0.097,-0.011,
5,VKC,3,2021,125.4,1.5,24.8,,0.012,0.004,8,45,45,0.9,145,12592,,,,,,0.36,,,0.6,1.0,0.8,-0.108,1003,0.034,0.024,0.001,1.4,0.5,14.8,843.6,2.8,-10,0.09,0.12,7,48.5,0.0,1.5,0.8,0.024,0.1,,,,,,,,,1.8,,0.016,0.001,
6,VKC,2,2021,48.9,0.6,28.2,,0.013,0.005,22,53,39,0.8,163,12578,,,,,,0.377,,,0.6,1.2,0.8,-0.075,986,0.052,0.022,,1.3,0.5,14.1,655.5,2.7,81,0.075,0.073,36,16.5,0.19,1.6,,0.022,0.0,,,,,,,,,1.7,,0.07,-0.001,
7,VKC,1,2021,45.8,0.6,,,0.014,0.006,23,49,33,1.0,176,12589,,,,,,0.398,,,0.7,1.2,0.8,0.306,922,0.054,0.02,0.005,1.2,0.5,14.0,403.2,2.5,76,0.042,,38,16.2,0.0,1.7,0.8,0.02,0.3,,,,,,,,,1.5,,0.036,-0.001,
8,VKC,4,2020,45.8,0.5,35.2,,0.011,0.004,26,45,27,0.8,135,12607,,,,,,0.393,,,0.6,1.2,0.9,0.61,890,0.048,0.017,0.005,1.2,0.5,14.6,291.4,2.5,78,0.154,0.116,44,13.9,0.0,1.7,1.4,0.017,0.2,,,,,,,,,1.5,,0.059,0.006,
9,VKC,3,2020,54.7,0.4,20.8,,0.007,0.003,25,56,43,1.1,84,12528,,,,,,0.37,,,0.6,1.1,0.8,-0.426,841,0.045,0.018,0.002,1.1,0.4,14.4,195.2,2.7,51,0.052,0.118,38,14.6,0.0,1.6,0.8,0.018,0.2,,,,,,,,,1.7,,-0.075,0.002,
