,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VMC,4,2022,71.3,0.6,8.8,,0.008,0.002,68,119,97.0,1.1,124,16161,,,,,,0.215,,,0.3,1.1,0.8,-0.397,2602.0,0.043,0.023,0.005,1.6,0.3,7.5,9.0,4.7,144,0.198,0.362,90.0,5.3,-0.174,0.7,0.7,0.023,0.3,,,,,,,,,3.6,,0.09,0.004,
1,VMC,3,2022,59.9,0.8,9.9,,0.013,0.004,86,151,116.0,1.1,207,16099,,,,,,0.244,,,0.3,1.1,0.8,-0.023,2386.0,0.102,0.045,,1.3,0.3,7.0,5.7,4.1,138,0.447,0.754,120.0,4.2,-0.546,0.6,,0.045,0.1,,,,,,,,,3.1,,0.132,0.003,
2,VMC,2,2022,57.7,0.8,13.2,,0.013,0.004,89,130,128.0,0.9,211,16052,,,,,,0.281,,,0.4,1.2,0.9,1.14,2108.0,0.027,0.022,0.003,1.1,0.3,7.9,6.5,3.6,166,0.018,0.032,91.0,4.1,-0.422,0.6,26.4,0.022,0.0,,,,,,,,,2.5,,0.047,-0.003,
3,VMC,1,2022,223.4,1.4,13.8,,0.006,0.002,96,120,118.0,0.9,99,16098,,,,,,0.302,,,0.4,1.2,0.9,-0.563,2014.0,0.192,0.048,0.0,0.9,0.3,7.3,8.7,3.3,175,0.219,0.253,99.0,3.8,-0.565,0.6,0.0,0.048,0.1,,,,,,,,,2.3,,-0.087,-0.002,
4,VMC,4,2021,114.1,1.6,13.1,,0.014,0.005,100,86,116.0,1.8,226,16135,,,,,,0.342,,,0.5,1.3,1.0,0.57,2205.0,0.04,0.04,0.02,0.8,0.3,5.7,16.6,2.9,200,0.053,0.053,70.0,3.7,-0.134,0.7,0.8,0.04,0.6,,,,,,,,,1.9,,0.052,0.011,
5,VMC,3,2021,70.7,0.6,15.1,,0.009,0.003,106,108,128.0,0.8,144,15952,,,,,,0.335,,,0.5,1.3,0.9,-0.126,2096.0,0.06,0.017,,0.7,0.2,5.5,13.8,3.0,194,0.085,0.073,87.0,3.4,-0.13,0.7,,0.017,0.0,,,,,,,,,2.0,,-0.071,0.0,
6,VMC,2,2021,56.9,0.6,10.7,,0.01,0.003,118,116,149.0,0.6,165,15956,,,,,,0.317,,,0.5,1.3,0.9,-0.379,2256.0,,0.012,,0.8,0.2,5.2,13.8,3.2,189,0.089,0.125,85.0,3.1,-0.123,0.6,,0.012,-0.2,,,,,,,,,2.1,,-0.015,-0.011,
7,VMC,1,2021,38.4,0.6,8.6,,0.016,0.005,117,118,151.0,1.6,265,16126,,,,,,0.322,,,0.5,1.3,1.0,0.499,2291.0,0.132,0.051,0.021,0.8,0.2,5.7,14.6,3.1,207,0.181,0.329,84.0,3.1,-0.074,0.6,0.8,0.051,0.5,,,,,,,,,2.1,,0.019,-0.021,
8,VMC,4,2020,53.0,0.6,9.4,,0.011,0.003,129,100,200.0,0.3,177,16476,,,,,,0.332,,,0.5,1.3,1.1,-0.646,2248.0,0.134,0.007,0.014,0.7,0.2,5.8,15.3,3.0,220,0.11,0.165,28.0,2.8,-0.039,0.5,0.6,0.007,3.4,,,,,,,,,2.0,,-0.047,0.012,
9,VMC,3,2020,18.1,0.6,8.1,,0.03,0.009,98,95,170.0,0.7,500,16287,,,,,,0.327,,,0.5,1.3,1.1,0.034,2359.0,0.071,0.02,0.003,0.6,0.2,5.6,11.7,3.1,223,0.078,0.138,23.0,3.7,-0.035,0.7,1.9,0.02,0.1,,,,,,,,,2.1,,0.308,0.001,
10,VMC,2,2020,16.0,0.5,10.2,,0.029,0.008,80,72,141.0,0.4,484,16277,,,,,,0.316,,,0.5,1.3,1.1,-0.01,1803.0,0.031,0.006,0.002,0.6,0.2,8.4,9.0,3.2,217,0.105,0.185,11.0,4.6,-0.027,0.8,,0.006,-0.1,,,,,,,,,2.2,,-0.183,-0.048,
11,VMC,1,2020,16.0,0.5,8.6,,0.029,0.008,76,84,141.0,0.9,488,17091,,,,,,0.318,,,0.5,1.3,1.1,-0.37,2207.0,0.14,0.042,0.009,0.7,0.2,6.6,2.9,3.1,226,0.072,0.142,18.0,4.8,-0.028,0.8,0.8,0.042,0.3,,,,,,,,,2.1,,-0.132,-0.084,
