,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VNC,4,2022,10.1,1.3,4.0,,0.137,0.099,64,3,5.0,50.5,3439,26100,,,,,,0.765,,,3.4,2.5,2.4,0.088,6474.0,0.198,0.064,0.049,0.0,0.0,0.1,,1.3,120,0.363,0.276,62.0,5.7,-0.1,1.7,0.7,0.064,1.0,,,,,,,,,0.3,,0.03,0.033,
1,VNC,3,2022,12.1,1.5,4.2,,0.129,0.092,65,3,5.0,59.3,3161,25263,,,,,,0.72,,,2.7,2.3,2.2,0.043,6285.0,0.174,0.073,0.058,0.0,0.0,0.2,0.3,1.4,119,0.382,0.278,62.0,5.6,-0.143,1.7,0.8,0.073,1.0,,,,,,,,,0.4,,0.049,0.036,
2,VNC,2,2022,15.3,1.9,4.5,,0.128,0.091,62,2,7.0,50.3,3031,24397,,,,,,0.726,,,2.8,2.2,2.2,0.003,5991.0,0.214,0.07,0.055,0.0,0.0,0.2,0.3,1.4,108,0.326,0.236,58.0,5.9,-0.141,1.7,0.8,0.07,1.0,,,,,,,,,0.4,,-0.011,-0.025,
3,VNC,1,2022,16.2,2.0,4.3,,0.125,0.096,66,2,6.0,58.7,3022,25031,,,,,,0.794,,,4.0,2.9,2.8,0.012,6057.0,0.238,0.095,0.072,0.0,0.0,0.2,0.3,1.3,111,0.25,0.202,62.0,5.5,-0.227,1.8,0.8,0.095,1.0,,,,,,,,,0.2,,0.03,0.033,
4,VNC,4,2021,11.5,1.4,9.4,,0.128,0.087,60,2,7.0,37.5,2987,24224,,,,,,0.691,,,2.3,2.0,2.0,-0.117,5882.0,0.203,0.053,0.034,0.0,0.0,0.2,0.3,1.4,101,0.404,0.16,56.0,6.0,-0.243,1.6,0.7,0.053,0.9,,,,,,,,,0.4,,-0.073,0.026,
5,VNC,3,2021,9.7,1.4,4.2,,0.15,0.101,57,2,6.0,34.6,3381,23600,,,,,,0.695,,,2.4,2.0,2.0,0.0,6347.0,0.147,0.065,0.057,0.0,0.0,0.2,0.4,1.4,101,0.342,0.243,54.0,6.4,-0.195,1.7,0.8,0.065,1.1,,,,,,,,,0.4,,-0.016,0.028,
6,VNC,2,2021,10.1,1.5,4.7,,0.153,0.104,54,2,8.0,48.1,3381,22949,,,,,,0.69,,,2.3,2.0,2.0,-0.03,6450.0,0.228,0.079,0.058,0.1,0.0,0.2,0.4,1.4,96,0.283,0.185,48.0,6.8,-0.211,1.8,0.8,0.079,1.0,,,,,,,,,0.4,,-0.009,-0.02,
7,VNC,1,2021,10.0,1.5,4.4,,0.154,0.112,59,2,6.0,41.1,3487,23412,,,,,,0.739,,,2.9,2.4,2.3,0.041,6508.0,0.199,0.083,0.067,0.1,0.0,0.2,0.4,1.4,103,0.237,0.169,55.0,6.2,-0.18,1.8,0.8,0.083,1.0,,,,,,,,,0.3,,0.029,0.037,
8,VNC,4,2020,8.8,1.3,4.6,,0.154,0.1,54,3,10.0,52.2,3350,22567,,,,,,0.672,,,2.1,1.9,1.9,0.142,6327.0,0.223,0.088,0.06,0.1,0.0,0.2,0.4,1.5,94,0.372,0.236,48.0,6.7,-0.173,1.6,0.7,0.088,1.0,,,,,,,,,0.5,,0.124,0.046,
9,VNC,3,2020,12.9,1.7,4.8,,0.14,0.09,55,3,7.0,28.6,2933,21565,,,,,,0.66,,,2.0,1.8,1.8,-0.123,5628.0,0.151,0.067,0.052,0.1,0.0,0.3,0.3,1.5,84,0.388,0.251,50.0,6.7,-0.259,1.7,0.8,0.067,0.9,,,,,,,,,0.5,,-0.041,0.008,
