,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VNS,4,2022,6.4,0.9,3.4,,0.142,0.108,158,4,7,9.2,2708,20331,,,,,,0.751,,,3.1,4.1,4.0,3.561,5041,0.266,0.136,0.17,0.2,0.1,0.6,0.5,1.3,542,0.142,0.167,155,2.3,-0.375,0.6,1.0,0.136,1.3,,,,,,,,,0.3,,0.343,0.038,
1,VNS,3,2022,30.4,0.9,4.8,,0.031,0.024,165,6,9,31.7,593,19588,,,,,,0.786,,,3.7,4.6,4.6,-1.367,3755,0.255,0.142,0.169,0.1,0.1,0.7,0.6,1.3,534,0.124,0.134,162,2.2,-0.218,0.5,1.0,0.142,1.2,,,,,,,,,0.3,,0.895,0.047,
2,VNS,2,2022,-8.0,0.7,9.3,,-0.083,-0.066,286,7,10,45.0,-1618,18706,,,,,,0.844,,,5.5,4.8,4.7,-0.526,1982,0.339,0.202,0.228,0.0,0.0,1.1,3.7,1.2,536,0.136,0.127,283,1.3,-0.005,0.3,1.0,0.202,1.2,,,,,,,,,0.2,,2.793,0.045,
3,VNS,1,2022,-3.2,0.6,23.5,,-0.174,-0.136,309,7,13,1.4,-3417,17898,,,,,,0.826,,,4.8,4.0,3.9,-0.152,523,0.219,0.024,0.075,0.1,0.1,5.2,2.1,1.2,442,0.082,0.118,303,1.2,-0.023,0.2,1.0,0.024,3.2,,,,,,,,,0.2,,1.251,0.01,
4,VNS,4,2021,-2.8,0.6,49.1,,-0.204,-0.151,218,7,10,-14.5,-4031,17714,,,,,,0.765,,,3.3,2.8,2.7,0.304,232,,,,0.2,0.1,16.8,2.3,1.3,402,0.273,0.382,215,1.7,-0.029,0.3,,,1.8,,,,,,,,,0.3,,-0.661,-0.068,
5,VNS,3,2021,-3.4,0.6,15.2,,-0.15,-0.11,84,6,7,-22.5,-3092,19016,,,,,,0.76,,,3.2,2.2,2.2,0.194,685,,,,0.2,0.1,6.5,1.7,1.3,237,0.232,0.379,84,4.3,-0.02,0.3,,,1.0,,,,,,,,,0.3,,-0.493,-0.065,
6,VNS,2,2021,-3.7,0.5,6.9,,-0.12,-0.085,72,5,6,-14.5,-2590,20348,,,,,,0.754,,,3.1,2.4,2.3,-0.202,1351,,,,0.2,0.1,3.8,1.5,1.3,284,0.25,0.478,72,5.1,-0.018,0.4,,,0.9,,,,,,,,,0.3,,0.069,-0.046,
7,VNS,1,2021,-3.2,0.5,7.0,,-0.141,-0.1,81,6,6,-7.8,-3245,21319,,,,,,0.741,,,2.9,2.2,2.2,0.064,1263,0.035,,,0.2,0.1,4.6,1.2,1.3,279,0.227,0.524,80,4.5,0.059,0.4,,,0.7,,,,,,,,,0.3,,-0.336,-0.02,
8,VNS,4,2020,-3.6,0.5,7.2,,-0.131,-0.088,30,5,11,-6.4,-3050,21755,,,,,,0.717,,,2.6,1.7,1.6,0.234,1904,0.021,,,0.2,0.2,3.5,1.0,1.4,179,0.163,0.356,24,12.3,-0.013,0.4,,,0.6,,,,,,,,,0.4,,-0.319,-0.016,
9,VNS,3,2020,-4.5,0.5,5.2,,-0.104,-0.073,31,5,7,-8.7,-2472,22118,,,,,,0.706,,,2.4,1.2,1.2,1.133,2795,,,,0.3,0.2,2.2,0.9,1.4,65,0.101,0.208,29,11.8,-0.206,0.5,,,0.8,,,,,,,,,0.4,,-0.347,-0.036,
