,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VRE,4,2022,22.3,1.8,12.8,,0.086,0.068,241,91,55,9.6,1203,14677,,,,,,0.782,,,3.6,1.8,1.6,0.324,2006,0.505,0.425,0.379,0.1,0.1,0.7,0.5,1.3,4663,0.21,0.115,277,1.5,-5.925,0.2,0.8,0.425,1.2,,,,,,,,,0.3,,0.176,0.024,
1,VRE,3,2022,30.8,2.0,17.1,,0.066,0.053,174,62,48,10.5,909,14329,,,,,,0.815,,,4.4,1.8,1.6,0.593,1705,0.518,0.47,0.396,0.1,0.1,0.8,0.5,1.2,3229,0.127,0.06,188,2.1,-5.691,0.2,0.8,0.47,1.0,,,,,,,,,0.2,,0.292,0.025,
2,VRE,2,2022,50.0,2.0,15.9,,0.042,0.034,214,50,58,10.5,570,13979,,,,,,0.821,,,4.6,2.1,1.9,0.423,1320,0.574,0.499,0.418,0.1,0.1,1.0,0.5,1.2,3638,0.154,0.097,206,1.7,-0.939,0.1,0.8,0.499,1.0,,,,,,,,,0.2,,0.152,0.025,
3,VRE,1,2022,83.4,2.5,23.7,,0.03,0.024,193,48,57,5.2,400,13639,,,,,,0.821,,,4.6,3.0,2.7,-0.307,1146,0.446,0.342,0.276,0.1,0.1,1.7,0.0,1.2,4658,0.125,0.061,184,1.9,-3.721,0.1,0.8,0.342,1.1,,,,,,,,,0.2,,-0.176,0.012,
4,VRE,4,2021,52.0,2.2,21.6,,0.044,0.034,267,58,65,2.2,578,13473,,,,,,0.808,,,4.2,2.7,2.5,-0.393,1391,0.339,0.147,0.089,0.1,0.1,1.4,0.0,1.2,5007,0.108,0.048,259,1.4,-3.526,0.2,0.7,0.147,0.9,,,,,,,,,0.2,,-0.246,0.004,
5,VRE,3,2021,30.5,2.2,18.2,,0.074,0.056,189,63,62,0.5,953,13419,,,,,,0.808,,,4.2,2.1,2.0,-0.202,1844,0.166,0.059,0.031,0.1,0.1,1.0,0.0,1.2,3053,0.088,0.035,190,1.9,-3.727,0.2,0.5,0.059,1.0,,,,,,,,,0.2,,-0.137,0.001,
6,VRE,2,2021,26.6,2.4,14.3,,0.093,0.071,104,52,104,3.3,1194,13409,,,,,,0.804,,,4.1,1.9,1.8,0.017,2137,0.417,0.329,0.257,0.1,0.1,0.7,0.0,1.2,2668,0.076,0.033,52,3.5,-9.525,0.2,0.8,0.329,1.0,,,,,,,,,0.2,,0.0,0.013,
7,VRE,1,2021,27.8,2.5,13.0,,0.093,0.07,13,49,125,6.6,1175,13238,,,,,,0.756,,,3.1,1.1,1.1,0.121,2138,0.525,0.455,0.351,0.2,0.1,0.9,0.8,1.3,670,0.1,0.049,-63,28.9,-9.398,0.2,0.8,0.455,1.0,,,,,,,,,0.3,,0.09,0.027,
8,VRE,4,2020,30.0,2.4,16.0,,0.085,0.063,70,61,126,7.8,1048,12894,,,,,,0.737,,,2.8,2.0,1.9,0.041,1962,0.483,0.385,0.3,0.2,0.1,0.9,0.0,1.4,3608,0.104,0.044,5,5.2,-9.263,0.2,0.8,0.385,1.0,,,,,,,,,0.4,,0.022,0.034,
9,VRE,3,2020,27.4,2.2,17.1,,0.081,0.059,115,91,127,5.8,1006,12466,,,,,,0.707,,,2.4,2.0,1.8,-0.059,1920,0.48,0.41,0.325,0.2,0.1,1.0,0.0,1.4,4989,0.078,0.031,79,3.2,-14.401,0.2,0.8,0.41,1.0,,,,,,,,,0.4,,-0.028,0.021,
10,VRE,2,2020,23.2,2.0,12.5,,0.088,0.064,25,77,170,5.2,1070,12214,,,,,,0.716,,,2.5,1.4,1.2,-0.109,1976,0.396,0.313,0.21,0.1,0.1,0.7,0.0,1.4,2296,0.148,0.071,-68,14.7,-7.218,0.2,0.8,0.313,0.9,,,,,,,,,0.4,,-0.06,0.013,
11,VRE,1,2020,16.0,1.6,13.1,,0.097,0.072,1,73,193,7.7,1200,12063,,,,,,0.743,,,2.9,1.0,0.8,-0.042,2102,0.45,0.361,0.292,0.1,0.1,0.6,0.0,1.3,-57,0.075,0.032,-119,367.5,-5.389,0.2,0.8,0.361,1.0,,,,,,,,,0.3,,-0.027,0.018,
12,VRE,4,2019,27.1,2.9,10.9,,0.103,0.077,17,71,181,14.3,1253,11845,,,,,,0.751,,,3.0,0.9,0.7,0.071,2161,0.501,0.406,0.316,0.1,0.1,0.6,0.0,1.3,-399,0.052,0.026,-93,21.1,-10.087,0.3,1.3,0.406,1.0,,,,,,,,,0.3,,-0.029,-0.038,
13,VRE,3,2019,28.3,2.7,15.3,,0.095,0.071,20,78,171,12.2,1169,12318,,,,,,0.745,,,2.9,1.0,0.8,0.065,2225,0.488,0.41,0.325,0.1,0.1,0.6,0.0,1.3,-19,0.049,0.02,-73,18.4,-15.972,0.3,1.3,0.41,1.0,,,,,,,,,0.3,,0.054,0.026,
14,VRE,2,2019,30.8,2.8,17.4,,0.092,0.068,15,93,146,10.8,1098,12002,,,,,,0.733,,,2.8,0.8,0.7,0.008,2111,0.484,0.395,0.322,0.1,0.1,0.6,0.0,1.4,-1165,0.026,0.009,-37,23.9,-16.964,0.3,1.2,0.395,1.0,,,,,,,,,0.4,,0.049,-0.062,
15,VRE,1,2019,30.8,2.6,20.0,,0.089,0.065,19,86,138,10.5,1089,12793,,,,,,0.753,,,3.1,1.0,0.9,0.029,2013,0.426,0.335,0.268,0.1,0.1,1.0,0.0,1.3,104,0.038,0.013,-33,19.5,-19.993,0.3,1.3,0.335,1.0,,,,,,,,,0.3,,0.052,0.021,
