,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VTB,4,2022,7.1,0.7,5.2,,0.097,0.073,147,93,4,84.6,1682,16927,,,,,,0.785,,,4.1,4.8,3.5,0.879,1960.0,0.272,0.211,0.132,0.0,0.0,0.2,,1.3,102,0.075,0.109,236,2.5,0.0,1.0,0.6,0.211,1.0,,,,,,,,,0.2,,2.044,-0.019,
1,VTB,3,2022,13.3,0.7,20.8,,0.051,0.035,145,127,2,,895,17258,,,,,,0.684,,,2.4,2.5,1.7,-0.074,644.0,0.346,0.029,0.043,0.0,0.0,0.0,,1.5,100,0.069,0.08,270,2.5,0.0,0.9,0.8,0.029,1.9,,,,,,,,,0.4,,-0.158,-0.017,
2,VTB,2,2022,10.6,0.6,12.0,,0.054,0.038,138,131,10,,966,17554,,,,,,0.703,,,2.7,2.5,1.8,0.298,765.0,0.258,0.032,0.037,0.0,0.0,0.2,,1.4,92,0.135,0.205,259,2.6,0.0,0.9,0.7,0.032,1.5,,,,,,,,,0.4,,0.056,-0.018,
3,VTB,1,2022,14.7,0.6,12.5,,0.041,0.029,117,127,8,,745,17881,,,,,,0.711,,,2.8,2.5,1.6,0.735,724.0,0.36,0.053,0.055,0.0,0.0,0.3,,1.4,87,0.151,0.229,237,3.1,-0.037,1.0,0.8,0.053,1.4,,,,,,,,,0.4,,0.073,0.005,
4,VTB,4,2021,27.0,0.7,15.4,,0.024,0.016,111,121,14,35.8,429,17791,,,,,,0.72,,,2.9,2.7,1.8,-0.448,675.0,0.263,0.02,0.03,0.0,0.0,0.4,,1.4,97,0.139,0.188,218,3.3,-0.049,1.2,0.8,0.02,1.8,,,,,,,,,0.3,,-0.537,-0.009,
5,VTB,3,2021,15.4,0.7,6.5,,0.042,0.027,101,124,19,,777,17954,,,,,,0.701,,,2.7,2.4,1.5,-0.347,1457.0,0.322,0.052,0.053,0.0,0.0,1.0,,1.4,93,0.142,0.213,206,3.6,-0.058,1.3,0.9,0.052,1.2,,,,,,,,,0.4,,-0.355,-0.023,
6,VTB,2,2021,9.5,0.6,4.8,,0.065,0.044,83,111,11,49.0,1191,18369,,,,,,0.698,,,2.6,2.4,1.2,-0.158,2258.0,0.199,0.015,,0.0,0.0,0.4,,1.4,96,0.071,0.109,183,4.4,0.028,1.6,,0.015,1.2,,,,,,,,,0.4,,-0.068,-0.011,
7,VTB,1,2021,8.4,0.6,4.1,,0.076,0.049,96,139,17,61.4,1415,18579,,,,,,0.691,,,2.6,2.5,1.1,-0.223,2424.0,0.242,0.014,,0.0,0.0,0.9,0.5,1.4,101,0.071,0.122,218,3.8,-0.071,1.4,,0.014,1.0,,,,,,,,,0.4,,-0.171,0.026,
8,VTB,4,2020,5.8,0.6,4.9,,0.1,0.062,94,139,20,198.4,1820,18102,,,,,,0.649,,,2.1,2.2,0.9,0.21,2925.0,0.293,0.077,0.043,0.0,0.0,0.8,0.0,1.5,103,0.087,0.129,213,3.9,-0.07,1.4,0.6,0.077,1.0,,,,,,,,,0.5,,0.213,-0.039,
9,VTB,3,2020,5.4,0.4,6.0,,0.081,0.05,119,169,18,391.6,1505,18829,,,,,,0.587,,,1.7,2.2,0.9,0.499,2411.0,0.288,0.094,0.056,0.2,0.1,1.0,1.2,1.7,124,0.059,0.092,271,3.1,-0.066,1.2,0.6,0.094,1.0,,,,,,,,,0.6,,0.431,0.038,
