,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VTE,4,2022,70.0,0.6,19.2,,0.009,0.005,138,138,45,3.1,94,10927,,,,,,0.573,,,1.3,2.2,1.2,0.499,618,0.127,0.031,0.002,0.5,0.3,10.0,,1.7,159,0.164,0.272,230,2.7,0.0,1.3,0.2,0.031,0.3,,,,,,,,,0.7,,0.047,0.001,
1,VTE,3,2022,106.7,0.6,18.8,,0.006,0.003,118,127,50,0.9,62,10914,,,,,,0.516,,,1.1,2.0,1.1,14.566,591,0.093,0.014,0.002,0.5,0.3,10.8,,1.9,158,0.05,0.095,196,3.1,0.0,1.5,0.8,0.014,0.2,,,,,,,,,0.9,,0.121,0.001,
2,VTE,2,2022,2069.3,0.8,22.2,,0.0,0.0,124,131,69,2.2,4,10901,,,,,,0.487,,,1.0,1.9,1.0,-0.937,527,0.089,0.023,0.006,0.5,0.2,13.1,,2.1,157,0.066,0.102,185,3.0,0.0,1.3,0.8,0.023,0.4,,,,,,,,,1.1,,-0.078,-0.009,
3,VTE,1,2022,124.1,0.7,22.8,,0.006,0.003,124,138,78,1.2,64,11000,,,,,,0.512,,,1.1,2.0,1.1,-0.646,572,0.088,0.023,0.003,0.6,0.3,13.1,,2.0,159,0.101,0.147,184,3.0,-0.193,1.2,0.8,0.023,0.1,,,,,,,,,1.0,,-0.231,-0.001,
4,VTE,4,2021,42.3,0.7,18.4,,0.016,0.008,104,107,48,1.7,181,11009,,,,,,0.504,,,1.0,1.9,1.0,-0.554,744,0.066,0.017,,0.6,0.3,8.8,,2.0,158,0.119,0.175,162,3.5,-0.246,1.5,,0.017,0.1,,,,,,,,,1.0,,-0.197,-0.002,
5,VTE,3,2021,20.1,0.7,15.4,,0.037,0.018,85,96,33,0.4,407,11026,,,,,,0.506,,,1.0,1.9,0.9,-0.29,927,0.089,0.006,,0.6,0.3,7.1,,2.0,158,0.063,0.086,148,4.3,-0.239,1.9,,0.006,-1.5,,,,,,,,,1.0,,-0.185,-0.003,
6,VTE,2,2021,12.9,0.7,10.9,,0.052,0.024,78,85,35,1.7,573,11061,,,,,,0.445,,,0.8,1.7,1.0,0.067,1137,0.09,0.026,0.013,0.8,0.3,6.7,,2.2,157,0.413,0.531,128,4.7,-0.218,2.0,0.8,0.026,0.6,,,,,,,,,1.2,,0.028,-0.032,
7,VTE,1,2021,15.5,0.7,12.5,,0.047,0.02,80,92,45,3.1,537,11424,,,,,,0.386,,,0.6,1.6,0.9,0.097,1106,0.069,0.027,0.012,0.7,0.3,7.1,,2.6,164,0.117,0.2,127,4.6,-0.052,1.8,0.8,0.027,0.6,,,,,,,,,1.6,,0.071,0.01,
8,VTE,4,2020,8.7,0.4,13.2,,0.043,0.02,88,93,48,2.7,490,11308,,,,,,0.44,,,0.8,1.7,1.0,0.359,1033,0.051,0.02,0.011,0.5,0.2,6.5,,2.3,163,0.219,0.381,133,4.2,-0.008,1.7,0.8,0.02,0.7,,,,,,,,,1.3,,0.119,0.019,
9,VTE,3,2020,11.5,0.4,10.7,,0.032,0.014,97,109,65,2.8,360,11100,,,,,,0.459,,,0.8,1.8,1.0,0.144,924,0.08,0.03,0.015,0.6,0.3,7.3,,2.2,158,0.185,0.363,142,3.8,-0.013,1.5,0.8,0.03,0.6,,,,,,,,,1.2,,-0.214,0.011,
10,VTE,2,2020,29.5,0.8,9.3,,0.028,0.013,86,96,45,1.7,315,10976,,,,,,0.491,,,1.0,1.9,1.0,-0.266,1175,0.073,0.021,0.008,0.6,0.3,6.5,,2.0,154,0.101,0.217,137,4.3,-0.014,1.7,0.8,0.021,0.5,,,,,,,,,1.0,,-0.171,-0.028,
11,VTE,1,2020,23.1,0.9,7.5,,0.038,0.018,75,90,36,1.9,429,11290,,,,,,0.49,,,1.0,1.9,1.0,-0.128,1418,0.085,0.034,0.013,0.6,0.3,5.7,,2.0,157,0.172,0.404,129,4.9,-0.056,2.0,0.8,0.034,0.5,,,,,,,,,1.0,,-0.101,-0.016,
12,VTE,2,2019,7.4,0.5,,,0.07,0.032,68,98,46,2.3,766,11316,,,,,,0.431,,,0.8,1.7,1.0,0.747,1501,0.066,0.029,0.012,0.7,0.3,5.2,,2.3,153,0.232,,119,5.4,-0.04,1.7,1.2,0.029,0.5,,,,,,,,,1.3,,0.379,0.017,
