,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,VTV,4,2022,7.9,0.4,12.8,,0.046,0.016,18,26,21.0,0.9,619,13655,,,,,,0.291,,,0.4,1.2,0.9,-0.315,1726.0,0.091,0.009,0.0,1.6,0.5,8.6,,3.4,237,0.028,0.077,24.0,19.8,-0.012,3.7,0.1,0.009,0.2,,,,,,,,,2.4,,-0.071,0.0,
1,VTV,3,2022,6.9,0.5,12.0,,0.068,0.025,19,23,17.0,1.8,903,13651,,,,,,0.295,,,0.4,1.2,0.9,0.148,1857.0,0.083,0.008,0.004,1.4,0.4,7.3,,3.4,233,0.152,0.407,25.0,19.3,-0.023,3.7,0.8,0.008,0.6,,,,,,,,,2.4,,0.141,0.013,
2,VTV,2,2022,6.5,0.4,8.1,,0.06,0.027,24,22,13.0,2.4,787,13482,,,,,,0.445,,,0.8,1.5,1.2,0.588,1628.0,0.108,0.012,0.009,0.7,0.3,5.8,,2.2,226,0.158,0.362,34.0,15.1,-0.005,3.4,0.8,0.012,1.0,,,,,,,,,1.2,,0.182,0.008,
3,VTV,1,2022,18.6,0.7,13.4,,0.038,0.017,31,31,14.0,1.5,495,13370,,,,,,0.45,,,0.8,1.5,1.1,0.102,1378.0,0.096,0.01,0.005,1.0,0.4,8.0,,2.2,219,0.009,0.021,48.0,11.9,-0.005,2.6,0.7,0.01,0.6,,,,,,,,,1.2,,0.028,0.008,
4,VTV,4,2021,21.1,0.7,10.6,,0.034,0.015,36,44,32.0,4.3,449,13260,,,,,,0.437,,,0.8,1.4,1.0,6.922,1339.0,0.107,0.017,0.012,0.6,0.3,7.2,,2.3,213,0.247,0.454,48.0,10.2,-0.004,2.1,0.8,0.017,0.8,,,,,,,,,1.3,,0.149,0.022,
5,VTV,3,2021,135.6,0.6,12.9,,0.004,0.002,43,52,25.0,1.2,56,12972,,,,,,0.501,,,1.0,1.5,1.2,0.328,1166.0,0.1,0.009,0.004,0.6,0.3,9.1,,2.0,194,0.064,0.104,69.0,8.5,0.043,1.8,0.8,0.009,0.5,,,,,,,,,1.0,,-0.091,0.004,
6,VTV,2,2021,156.7,0.5,14.1,,0.003,0.001,45,61,34.0,1.4,42,12919,,,,,,0.454,,,0.8,1.4,1.0,-0.52,1283.0,0.099,0.013,0.003,0.7,0.3,8.8,,2.2,189,0.014,0.02,73.0,8.1,-0.005,1.6,0.5,0.013,0.5,,,,,,,,,1.2,,-0.09,-0.002,
7,VTV,1,2021,69.6,0.5,10.7,,0.007,0.003,45,68,29.0,1.4,89,12940,,,,,,0.45,,,0.8,1.4,0.9,0.373,1410.0,0.104,0.018,0.006,0.7,0.3,8.2,6489.0,2.2,187,0.008,0.018,85.0,8.0,-0.006,1.6,0.8,0.018,0.4,,,,,,,,,1.2,,-0.047,0.005,
8,VTV,4,2020,80.2,0.4,13.2,,0.005,0.002,45,83,20.0,1.2,64,12875,,,,,,0.427,,,0.7,1.4,0.9,0.761,1479.0,0.114,0.022,,0.9,0.4,10.4,8126.3,2.3,182,0.011,0.022,108.0,8.1,-0.054,1.4,,0.022,0.2,,,,,,,,,1.3,,0.073,-0.017,
9,VTV,3,2020,149.0,0.4,14.0,,0.003,0.001,45,98,31.0,1.2,36,13091,,,,,,0.406,,,0.7,1.3,0.8,-0.824,1379.0,0.097,0.022,0.003,1.0,0.4,12.2,1361.9,2.5,186,0.046,0.092,112.0,8.1,-2.326,1.3,0.8,0.022,0.2,,,,,,,,,1.5,,-0.208,0.003,
10,VTV,2,2020,30.8,0.5,10.0,,0.016,0.005,40,101,32.0,1.3,209,13052,,,,,,0.402,,,0.7,1.3,0.8,-0.374,1741.0,0.102,0.022,0.006,1.0,0.4,12.1,1346.7,2.5,183,0.098,0.234,109.0,9.2,-1.303,1.3,0.8,0.022,0.4,,,,,,,,,1.5,,-0.205,-0.021,
11,VTV,1,2020,18.1,0.5,8.6,,0.024,0.008,39,113,41.0,1.2,333,13337,,,,,,0.419,,,0.7,1.4,0.8,-0.193,2191.0,0.111,0.025,0.004,1.0,0.4,10.2,766.9,2.4,191,0.12,0.25,111.0,9.4,-1.154,1.4,0.8,0.025,0.2,,,,,,,,,1.4,,-0.067,0.003,
12,VTV,4,2019,21.7,0.7,11.1,,0.03,0.01,86,75,15.0,0.5,413,13297,,,,,,0.366,,,0.6,1.3,0.7,-0.43,2347.0,0.128,0.015,-0.012,1.5,0.5,9.5,1061.1,2.7,187,0.099,0.215,147.0,4.2,-2.171,1.7,1.2,0.015,-0.9,,,,,,,,,1.7,,-0.31,-0.01,
13,VTV,3,2019,10.6,0.6,8.3,,0.053,0.018,75,56,14.0,1.6,726,13430,,,,,,0.326,,,0.5,1.2,0.7,0.008,3403.0,0.117,0.037,0.013,1.5,0.5,5.7,761.3,3.1,182,0.028,0.046,117.0,4.9,-0.839,2.1,1.2,0.037,0.4,,,,,,,,,2.1,,-0.103,0.022,
14,VTV,2,2019,10.1,0.6,9.7,,0.053,0.014,72,73,13.0,1.4,720,13146,,,,,,0.267,,,0.4,1.2,0.7,-0.153,3793.0,0.114,0.036,0.01,2.2,0.6,7.2,1086.9,3.7,175,0.078,0.118,131.0,5.1,-0.946,1.9,1.3,0.036,0.4,,,,,,,,,2.7,,-0.064,-0.074,
15,VTV,1,2019,8.9,0.5,9.4,,0.057,0.016,68,67,17.0,1.2,851,14191,,,,,,0.262,,,0.4,1.2,0.6,-0.149,4051.0,0.117,0.022,0.006,2.2,0.6,7.6,877.0,3.8,207,0.07,0.119,118.0,5.3,-2.143,1.9,1.2,0.022,0.3,,,,,,,,,2.8,,-0.007,0.009,
16,VTV,4,2018,8.8,0.6,6.5,,0.068,0.02,64,44,13.0,3.4,1000,14071,,,,,,0.307,,,0.4,1.2,0.8,0.357,4080.0,0.114,0.047,0.007,1.8,0.6,6.7,719.7,3.3,205,0.062,0.098,94.0,5.7,-2.14,2.2,2.2,0.047,0.3,,,,,,,,,2.3,,0.709,0.013,
17,VTV,3,2018,12.3,0.7,11.8,,0.049,0.015,79,30,13.0,2.9,737,13892,,,,,,0.351,,,0.5,1.3,0.9,-0.634,2388.0,0.108,0.036,0.008,1.3,0.5,10.7,12.3,2.9,241,0.05,0.066,96.0,4.6,-3.609,2.3,1.8,0.036,0.4,,,,,,,,,1.9,,0.402,-0.021,
18,VTV,2,2018,4.9,0.7,12.6,,0.138,0.038,65,52,16.0,2.0,2015,14186,,,,,,0.28,,,0.4,1.2,0.7,-0.167,1704.0,0.102,0.036,0.012,1.8,0.5,15.9,14.3,3.6,254,0.291,0.432,101.0,5.6,-2.639,2.2,1.5,0.036,0.5,,,,,,,,,2.6,,0.049,-0.099,
19,VTV,1,2018,4.4,0.7,25.2,,0.156,0.042,70,42,18.0,1.2,2420,15749,,,,,,0.289,,,0.4,1.0,0.7,-0.326,1624.0,0.093,0.019,0.01,2.0,0.6,20.2,16.8,3.5,2,0.143,0.187,95.0,5.2,-8.108,2.1,1.3,0.019,0.6,,,,,,,,,2.5,,-0.087,0.022,
20,VTV,4,2017,3.2,0.7,25.4,,0.246,0.068,57,41,26.0,-4.3,3594,15404,,,,,,0.289,,,0.4,1.0,0.7,-0.125,1778.0,0.065,-0.014,-0.003,1.9,0.5,14.6,15.8,3.5,-27,0.223,0.235,72.0,6.4,-7.64,2.4,1.2,-0.014,0.3,,,,,,,,,2.5,,-0.392,-0.066,
21,VTV,3,2017,3.2,0.8,15.8,,0.269,0.078,76,28,28.0,0.9,4107,16488,,,,,,0.278,,,0.4,1.1,0.9,0.364,2926.0,0.078,0.013,0.046,2.0,0.6,8.3,9.5,3.6,99,0.138,0.145,76.0,4.8,-7.393,2.3,1.3,0.013,4.6,,,,,,,,,2.6,,-0.142,0.099,
22,VTV,2,2017,5.6,1.1,13.3,,0.21,0.058,74,36,29.0,2.0,3010,15004,,,,,,0.268,,,0.4,1.1,0.7,0.038,3410.0,0.089,0.029,0.021,1.9,0.5,6.8,10.1,3.7,96,0.076,0.064,82.0,4.9,-26.549,2.4,1.3,0.029,0.9,,,,,,,,,2.7,,0.098,-0.018,
23,VTV,1,2017,4.2,0.8,17.1,,0.2,0.056,80,42,31.0,1.9,2899,15273,,,,,,0.249,,,0.3,1.1,0.8,0.571,3106.0,0.103,0.025,0.051,2.3,0.6,8.1,7.5,4.0,175,0.083,0.063,92.0,4.6,-48.351,2.1,1.3,0.025,2.6,,,,,,,,,3.0,,0.02,0.104,
