,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,WSB,4,2022,9.2,0.9,4.4,,0.102,0.084,92,41,7,,4957,49477,,,,,,0.846,,,5.5,2.9,2.2,-0.265,9038,0.07,0.049,0.066,0.0,0.0,0.0,,1.2,239,0.1,0.109,126,4.0,-0.035,0.9,0.9,0.049,1.5,,,,,,,,,0.2,,-0.162,0.017,
1,WSB,3,2022,7.3,1.0,3.6,,0.141,0.113,84,38,11,,6741,48630,,,,,,0.818,,,4.5,2.4,1.9,-0.026,10789,,,,0.0,0.0,0.0,,1.2,207,0.126,0.136,110,4.4,-0.055,0.9,,,0.6,,,,,,,,,0.2,,-0.026,-0.045,
2,WSB,2,2022,6.8,0.9,3.6,,0.141,0.116,91,47,9,33687893250.0,6919,50929,,,,,,0.841,,,5.3,2.8,2.1,0.067,11079,0.189,0.165,0.179,0.0,0.0,0.0,,1.2,233,0.109,0.123,130,4.0,-0.061,0.9,0.9,0.165,1.2,,,,,,,,,0.2,,0.138,0.028,
3,WSB,1,2022,7.8,1.0,4.6,,0.134,0.11,77,42,9,168.5,6487,49524,,,,,,0.837,,,5.1,2.5,1.9,-0.037,9738,0.153,0.127,0.128,0.0,0.0,0.0,,1.2,201,0.115,0.114,110,4.7,-0.049,0.9,0.9,0.127,1.1,,,,,,,,,0.2,,0.11,0.032,
4,WSB,4,2021,7.0,1.0,5.1,,0.143,0.115,55,32,8,,6734,47983,,,,,,0.81,,,4.3,1.9,1.5,0.007,8774,0.162,0.147,0.164,0.0,0.0,0.0,,1.2,137,0.129,0.119,79,6.7,-0.037,0.9,0.9,0.147,1.2,,,,,,,,,0.2,,0.099,0.021,
5,WSB,3,2021,7.9,1.1,5.8,,0.145,0.117,48,38,13,,6687,46983,,,,,,0.791,,,3.8,1.9,1.5,-0.185,7981,0.019,,,0.0,0.0,0.1,,1.3,147,0.144,0.127,72,7.7,-0.016,1.0,,,0.5,,,,,,,,,0.3,,-0.034,-0.004,
6,WSB,2,2021,5.8,1.0,6.4,,0.179,0.142,37,37,15,579.7,8208,47184,,,,,,0.801,,,4.0,1.8,1.4,0.037,8265,0.163,0.139,0.132,0.0,0.0,0.1,,1.2,138,0.099,0.082,59,10.0,-0.014,1.1,0.9,0.139,1.0,,,,,,,,,0.2,,0.023,0.002,
7,WSB,1,2021,6.1,1.0,5.4,,0.176,0.128,29,38,10,221.5,7916,47082,,,,,,0.805,,,4.1,1.8,1.3,0.004,8079,0.164,0.136,0.138,0.0,0.0,0.6,,1.2,124,0.102,0.099,57,12.6,-0.02,0.9,0.9,0.136,1.1,,,,,,,,,0.2,,-0.119,0.015,
8,WSB,4,2020,5.9,1.0,5.2,,0.174,0.129,23,39,9,524.7,7884,46375,,,,,,0.803,,,4.1,1.6,1.2,0.01,9171,0.18,0.159,0.15,0.0,0.0,0.5,,1.2,97,0.096,0.085,53,15.6,-0.021,0.9,0.9,0.159,1.0,,,,,,,,,0.2,,-0.112,0.031,
9,WSB,3,2020,4.7,0.8,4.2,,0.18,0.137,5,39,8,149.2,7805,44982,,,,,,0.812,,,4.3,1.4,0.9,-0.132,10332,0.134,0.1,0.112,0.0,0.0,0.3,,1.2,61,0.125,0.118,37,69.1,-0.04,1.0,0.9,0.1,1.2,,,,,,,,,0.2,,-0.207,0.007,
