,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,XHC,4,2022,20.6,2.5,53.8,,0.13,0.06,60,118,58,5.0,1605,13125,,,,,,0.448,,,0.8,1.3,0.8,0.259,789,0.192,0.095,0.074,0.8,0.3,11.0,30.8,2.2,101,0.058,0.023,119,6.1,-0.303,1.0,0.9,0.095,0.9,,,,,,,,,1.2,,0.621,0.058,
1,XHC,3,2022,28.2,2.9,83.1,,0.108,0.051,53,137,38,1.4,1274,12401,,,,,,0.47,,,0.9,1.3,0.7,-0.468,487,0.153,0.023,0.204,0.8,0.4,18.9,23.1,2.1,85,0.027,0.011,152,6.9,-0.295,1.0,1.0,0.023,8.7,,,,,,,,,1.1,,-0.029,0.126,
2,XHC,2,2022,13.2,2.9,88.9,,0.227,0.105,36,143,34,-2.2,2394,11016,,,,,,0.497,,,1.0,1.2,0.5,-0.171,501,0.172,,,0.7,0.4,17.6,15.8,2.0,51,0.014,0.004,146,10.0,-0.206,1.1,,,1.5,,,,,,,,,1.0,,-0.505,-0.035,
3,XHC,1,2022,7.1,1.8,38.9,,0.269,0.128,37,122,48,-0.3,2887,11413,,,,,,0.486,,,0.9,1.3,0.6,-0.045,1013,0.179,,,0.7,0.3,7.6,20.4,2.1,64,0.053,0.019,111,9.9,-0.047,1.1,,,4.1,,,,,,,,,1.1,,-0.106,-0.011,
4,XHC,4,2021,8.6,2.3,25.0,,0.257,0.127,56,100,53,5.4,3025,11541,,,,,,0.484,,,0.9,1.3,0.8,-0.111,1133,0.181,0.067,0.043,0.6,0.3,5.8,14.5,2.1,80,0.059,0.034,103,6.5,-0.008,1.1,0.8,0.067,0.8,,,,,,,,,1.1,,-0.281,0.035,
5,XHC,3,2021,7.3,2.2,21.6,,0.304,0.15,43,119,39,1.4,3405,11148,,,,,,0.468,,,0.9,1.3,0.6,0.62,1575,0.158,0.03,0.429,0.8,0.4,4.6,12.7,2.1,72,0.052,0.022,123,8.5,-0.055,1.2,1.0,0.03,14.3,,,,,,,,,1.1,,-0.106,0.102,
6,XHC,2,2021,11.2,2.3,19.5,,0.209,0.098,37,116,31,2.0,2102,10116,,,,,,0.432,,,0.8,1.2,0.5,0.044,1761,0.198,0.042,0.016,0.9,0.4,4.3,10.9,2.3,52,0.057,0.022,123,9.8,-0.346,1.3,0.8,0.042,0.5,,,,,,,,,1.3,,0.092,0.008,
7,XHC,1,2021,11.2,2.2,19.2,,0.192,0.097,40,105,39,1.2,2014,10035,,,,,,0.461,,,0.9,1.2,0.6,0.028,1613,0.204,0.02,0.001,0.7,0.3,3.9,10.3,2.2,43,0.049,0.02,106,9.0,-0.354,1.3,0.8,0.02,0.1,,,,,,,,,1.2,,0.06,-0.166,
8,XHC,4,2020,11.6,1.9,19.1,,0.171,0.09,55,76,50,12.8,1960,12034,,,,,,0.507,,,1.0,1.4,0.9,0.078,1522,0.195,0.091,0.066,0.5,0.2,3.4,5.9,2.0,85,0.092,0.046,81,6.6,-0.383,1.3,0.8,0.091,0.9,,,,,,,,,1.0,,0.157,0.069,
9,XHC,3,2020,11.8,1.9,23.7,,0.168,0.085,45,110,50,4.7,1817,11261,,,,,,0.518,,,1.1,1.3,0.7,1.514,1316,0.186,0.057,0.194,0.5,0.3,4.5,5.1,1.9,67,0.069,0.03,105,8.0,-0.374,1.2,1.0,0.057,3.5,,,,,,,,,0.9,,0.112,0.123,
10,XHC,2,2020,26.7,1.9,24.0,,0.062,0.036,67,105,33,1.3,723,10032,,,,,,0.511,,,1.0,1.4,0.7,-0.794,1184,0.166,0.023,0.002,0.6,0.3,3.7,4.5,2.0,70,0.025,0.011,138,5.5,-0.181,1.3,0.4,0.023,0.2,,,,,,,,,1.0,,0.016,-0.087,
11,XHC,1,2020,5.8,1.9,22.3,,0.327,0.183,54,93,33,-0.1,3515,10986,,,,,,0.558,,,1.3,1.5,0.7,-0.067,1165,0.194,,,0.5,0.3,3.7,9.8,1.8,82,0.115,0.057,114,6.7,-0.376,1.4,,,19.4,,,,,,,,,0.8,,-0.191,0.013,
12,XHC,4,2019,4.5,1.5,20.7,,0.348,0.198,67,78,40,14.3,3767,10847,,,,,,0.548,,,1.2,1.5,1.0,0.119,1441,0.202,0.083,0.061,0.4,0.2,2.4,3.8,1.8,90,0.053,0.021,105,5.5,-0.403,1.4,1.3,0.083,0.9,,,,,,,,,0.8,,0.664,0.041,
