,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,YBM,4,2022,6.6,0.5,6.1,,0.067,0.028,5,68,41,2.4,833,12174,,,,,,0.425,,,0.7,1.1,0.7,-0.224,3183,0.321,0.083,0.039,1.1,0.5,4.5,3.7,2.4,11,0.112,0.247,32,78.1,-0.016,1.0,0.8,0.083,0.6,,,,,,,,,1.4,,0.017,0.01,
1,YBM,3,2022,6.5,0.6,6.3,,0.087,0.037,7,75,37,1.6,1073,12059,,,,,,0.413,,,0.7,1.0,0.6,-0.105,3128,0.321,0.058,0.021,1.2,0.5,4.5,3.6,2.4,8,0.04,0.083,45,55.3,-0.017,1.1,0.8,0.058,0.5,,,,,,,,,1.4,,-0.048,0.01,
2,YBM,2,2022,6.0,0.6,5.6,,0.099,0.041,2,65,40,1.9,1199,11937,,,,,,0.407,,,0.7,1.0,0.6,0.04,3284,0.334,0.058,0.025,1.1,0.4,4.1,3.8,2.5,-5,0.03,0.06,26,236.8,-0.017,1.2,0.8,0.058,0.5,,,,,,,,,1.5,,0.013,-0.063,
3,YBM,1,2022,8.4,0.8,7.2,,0.093,0.037,8,40,44,2.0,1153,12738,,,,,,0.396,,,0.7,1.0,0.9,0.005,3242,0.335,0.058,0.026,1.2,0.5,4.7,4.1,2.5,9,0.044,0.071,4,45.5,-0.012,1.1,0.8,0.058,0.6,,,,,,,,,1.5,,0.006,0.016,
4,YBM,4,2021,7.3,0.7,6.9,,0.093,0.038,5,42,36,3.7,1147,12533,,,,,,0.411,,,0.7,1.0,0.9,0.695,3222,0.256,0.094,0.056,1.2,0.5,4.6,3.4,2.4,0,0.041,0.055,11,74.1,-0.022,1.2,0.9,0.094,0.7,,,,,,,,,1.4,,-0.036,-0.005,
5,YBM,3,2021,10.7,0.6,6.8,,0.055,0.023,6,51,37,2.2,677,12598,,,,,,0.432,,,0.8,1.0,0.8,-0.231,3343,0.247,0.063,0.03,1.1,0.5,4.3,6.0,2.3,8,0.068,0.086,20,56.8,-0.024,1.1,0.9,0.063,0.5,,,,,,,,,1.3,,-0.096,0.02,
6,YBM,2,2021,6.9,0.5,6.0,,0.074,0.031,4,60,37,1.8,880,12352,,,,,,0.423,,,0.7,1.0,0.8,-0.039,3696,0.254,0.056,0.019,1.1,0.5,3.8,4.5,2.4,9,0.078,0.103,27,98.2,-0.037,1.2,0.9,0.056,0.4,,,,,,,,,1.4,,-0.053,0.013,
7,YBM,1,2021,7.0,0.5,5.2,,0.078,0.031,5,67,50,1.9,916,12199,,,,,,0.413,,,0.7,1.1,0.9,-0.027,3905,0.223,0.055,0.023,1.2,0.5,3.7,3.5,2.4,12,0.083,0.147,21,76.4,-0.037,1.1,0.9,0.055,0.5,,,,,,,,,1.4,,0.001,0.015,
8,YBM,4,2020,6.3,0.5,5.3,,0.079,0.031,14,75,45,2.9,941,12016,,,,,,0.41,,,0.7,1.1,0.8,-0.062,3903,0.293,0.095,0.01,1.2,0.5,4.0,3.2,2.4,13,0.105,0.185,43,26.8,-0.027,1.0,0.9,0.095,0.1,,,,,,,,,1.4,,0.133,0.007,
9,YBM,3,2020,3.6,0.3,6.1,,0.085,0.033,9,87,64,3.3,1004,11935,,,,,,0.408,,,0.7,1.0,0.8,0.679,3445,0.298,0.101,0.052,1.2,0.5,4.5,3.1,2.4,9,0.057,0.111,32,39.8,-0.025,0.9,0.9,0.101,0.6,,,,,,,,,1.4,,0.1,0.039,
