,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,YEG,2,2022,3.2,0.8,-7.2,,0.281,0.183,215,26,65,-4.7,7044,28410,,,,,,0.752,,,2.9,2.4,2.3,2.488,-1450,0.399,0.154,0.087,0.1,0.1,-3.7,93.5,1.3,397,0.036,0.119,176,1.7,-2.68,0.5,0.8,0.154,0.7,,,,,,,,,0.3,,-0.767,0.004,
1,YEG,1,2022,13.8,1.0,-4.3,,0.074,0.05,214,36,54,-2.4,2019,28295,,,,,,0.733,,,2.7,2.8,2.7,2.781,-6224,0.175,,0.013,0.1,0.1,-0.7,88.9,1.4,548,0.008,0.009,196,1.7,-0.192,0.7,1.0,,-0.1,,,,,,,,,0.4,,-0.124,0.004,
2,YEG,4,2021,47.7,0.9,-1.6,,0.019,0.012,201,21,48,-15.3,534,28168,,,,,,0.638,,,1.7,2.6,2.6,-1.047,-7105,0.194,,1.113,0.2,0.1,-0.9,1.7,1.6,699,0.005,0.014,174,1.8,-0.417,0.8,0.8,,-68.5,,,,,,,,,0.6,,-0.26,0.427,
3,YEG,3,2021,-1.3,0.8,-3.0,,-0.435,-0.277,147,14,34,-10.8,-11299,19744,,,,,,0.492,,,1.0,1.6,1.6,0.267,-9603,0.019,,,0.4,0.2,-0.5,2.9,2.0,340,0.051,0.051,128,2.5,-0.451,1.0,,,1.1,,,,,,,,,1.0,,0.269,-0.091,
4,YEG,2,2021,-2.3,0.9,-3.1,,-0.333,-0.228,133,25,28,-30.0,-8918,21726,,,,,,0.556,,,1.3,1.8,1.7,1.133,-7569,,,,0.3,0.2,-0.5,2.4,1.8,380,0.033,0.046,131,2.7,-4.491,1.1,,,0.9,,,,,,,,,0.8,,0.404,-0.172,
5,YEG,1,2021,-9.3,1.5,-4.0,,-0.144,-0.102,169,38,37,-10.2,-4181,26233,,,,,,0.619,,,1.7,2.2,1.9,0.602,-5389,0.131,,,0.2,0.1,-0.6,1.8,1.6,510,0.027,0.044,170,2.2,-4.538,1.0,,,1.2,,,,,,,,,0.6,,0.355,-0.083,
6,YEG,4,2020,-17.7,1.6,-5.4,,-0.086,-0.054,186,39,53,-37.7,-2610,28618,,,,,,0.62,,,1.7,2.2,1.9,-0.437,-3977,0.129,,,0.2,0.1,-1.7,1.8,1.6,542,0.042,0.056,171,2.0,-4.369,0.8,,,0.8,,,,,,,,,0.6,,-0.352,-0.111,
7,YEG,3,2020,-10.1,1.5,-6.3,,-0.133,-0.096,215,33,30,11.5,-4638,32178,,,,,,0.777,,,4.0,3.5,3.2,-0.477,-6138,0.168,0.034,0.029,0.0,0.0,-0.8,,1.3,650,0.051,0.043,218,1.7,-4.374,0.9,0.8,0.034,1.0,,,,,,,,,0.3,,-0.429,0.012,
8,YEG,2,2020,-5.8,1.6,-4.1,,-0.236,-0.177,265,42,30,2928.9,-8874,31804,,,,,,0.815,,,5.1,4.2,3.5,-0.26,-10746,0.03,,,0.0,0.0,-0.4,,1.2,630,0.063,0.046,277,1.4,0.001,0.7,,,-0.1,,,,,,,,,0.2,,-0.133,-0.007,
9,YEG,1,2020,-4.0,1.5,-4.1,,-0.292,-0.224,274,44,31,2.4,-12000,32017,,,,,,0.815,,,5.1,4.2,3.8,0.01,-12388,0.233,0.014,0.014,0.0,0.0,-0.4,,1.2,647,0.157,0.094,287,1.3,-0.021,0.8,0.5,0.014,2.1,,,,,,,,,0.2,,-0.027,-0.01,
10,YEG,4,2019,-3.1,1.1,-5.1,,-0.291,-0.212,69,35,33,-47.0,-11885,32355,,,,,,0.65,,,2.0,2.3,2.1,1.175,-12736,0.172,-0.358,-0.365,0.2,0.1,-0.4,,1.5,696,0.426,0.243,71,5.3,-0.436,0.8,1.0,-0.358,1.0,,,,,,,,,0.5,,1.106,-0.135,
11,YEG,3,2019,-11.0,1.6,-6.9,,-0.127,-0.092,58,34,31,-26.8,-5464,37413,,,,,,0.683,,,2.2,2.6,2.4,10.659,-6048,-0.006,-0.467,-0.438,0.2,0.2,-1.2,,1.5,884,0.07,0.075,61,6.2,-0.517,0.9,1.1,-0.467,1.0,,,,,,,,,0.5,,9.146,-0.139,
12,YEG,2,2019,-156.8,1.7,-99.1,,-0.017,-0.01,61,27,31,-20.9,-468,43459,,,,,,0.709,,,2.5,2.9,2.7,-1.114,-596,0.041,-0.357,-0.289,0.2,0.1,-13.7,,1.4,1032,0.152,0.127,57,6.0,-1.205,1.2,1.1,-0.357,0.9,,,,,,,,,0.4,,-1.089,-0.132,
13,YEG,1,2019,24.4,2.0,12.7,,0.137,0.088,49,39,26,-2.3,4105,50059,,,,,,0.739,,,2.8,3.4,3.0,-0.19,6694,0.126,-0.03,0.018,0.2,0.1,1.2,,1.4,1322,0.085,0.061,62,7.5,-1.337,1.2,1.4,-0.03,-0.9,,,,,,,,,0.4,,-0.236,0.013,
