,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,EVE,581,13850,-1,6.1,0.1,0.6,4.4,0.0,0.097,0.07,9.6,,,,3.4,2.2,0.369,,0.095,0.3,1.4,0.126,0.005,-0.36,0.074,-0.147,0.06,51.0,67.0
1,VGT,5645,11290,1,8.7,-0.4,0.8,9.7,0.0,0.082,0.032,-2.4,,,,1.3,0.8,0.047,,,0.7,5.1,0.109,0.01,,-0.096,-0.077,-0.08,42.5,36.0
2,TCM,4212,51400,1,15.1,0.2,2.1,10.2,0.0,0.152,0.079,6.6,,,,1.7,0.7,0.163,,0.064,0.5,2.0,0.078,0.062,-0.352,-0.238,-0.207,-0.14,50.5,71.0
3,MSH,2494,33250,2,7.1,-0.3,1.6,6.4,0.0,0.234,0.109,6.1,,,,1.9,1.4,0.149,,0.048,0.4,1.4,0.11,0.11,-0.507,-0.305,0.086,-0.12,47.9,43.0
4,STK,2164,26450,-1,9.0,-0.7,1.4,5.0,0.0,0.172,0.117,11.9,,,,2.0,1.2,0.149,,0.1,0.2,0.8,0.193,0.012,-0.145,-0.166,0.019,-0.04,35.5,26.0
5,TNG,1892,18000,2,6.5,0.3,1.1,7.1,0.044,0.179,0.059,2.7,,,,0.9,0.5,0.156,,0.04,1.5,4.3,0.205,0.222,-0.432,-0.25,-0.357,-0.13,58.6,61.0
6,PPH,1692,22666,0,3.5,0.2,0.9,27.9,0.0,0.255,0.133,0.8,,,,1.6,1.0,0.213,,0.229,0.5,11.7,0.207,-0.104,0.593,0.028,0.209,0.15,49.5,48.0
7,VGG,1501,34044,-1,8.7,0.1,0.8,6.6,0.0,0.095,0.034,,,,,1.2,0.7,0.111,,0.014,0.0,0.3,-0.145,0.0,-0.363,0.374,0.917,0.1,44.7,38.0
8,SGI,1453,19252,2,4.7,0.0,0.7,30.5,0.0,0.155,0.075,0.3,,,,3.3,3.1,0.224,,0.027,0.4,10.9,,,-0.749,-0.233,-0.256,0.05,49.4,38.0
9,GIL,1379,19700,2,3.8,0.4,0.6,5.9,0.0,0.182,0.093,2.0,,,,2.6,1.7,0.161,,0.039,0.3,3.3,0.203,0.079,-0.921,0.229,-0.619,-0.22,49.1,36.0
10,HTG,1018,33916,2,3.9,0.1,1.2,4.1,0.0,0.363,0.111,7.7,,,,1.3,0.5,0.117,,0.05,0.9,1.9,0.27,0.058,-0.176,-0.159,0.565,0.3,52.4,64.0
11,BDG,756,30500,1,3.4,0.0,1.5,3.5,0.0,0.544,0.246,21.2,,,,2.0,1.4,0.197,,0.185,0.5,0.8,0.248,0.061,0.606,-0.073,-0.098,0.05,56.1,74.0
12,M10,559,18500,-1,5.5,0.1,1.3,9.6,0.0,0.245,0.048,5.1,,,,1.1,0.6,0.087,,0.018,1.8,6.9,0.189,0.085,0.954,-0.215,-0.416,0.006,45.0,64.0
13,ADS,530,12100,2,7.8,-0.4,0.9,9.4,0.0,0.119,0.032,,,,,1.2,0.9,0.045,,0.009,1.3,6.0,0.012,0.024,-0.803,-0.237,0.188,-0.05,65.8,23.0
14,AAT,332,5200,1,3.7,0.0,0.4,4.0,0.0,0.128,0.089,1.3,,,,3.3,3.2,0.057,,0.005,0.3,1.7,1.265,0.515,1.242,1.273,0.01,0.1,49.5,32.0
15,GMC,317,9610,-2,-4.8,0.0,0.7,-0.9,0.0,-0.112,-0.095,,,,,6.5,4.6,,,,0.1,-0.2,,-0.289,,0.54,-0.13,0.05,38.6,64.0
16,TDT,189,7900,1,10.2,-7.6,0.7,11.8,0.0,0.074,0.037,3.6,,,,1.4,0.3,0.357,,0.022,0.7,7.4,0.084,0.133,-0.879,-0.357,,,52.7,
17,KMR,172,3030,-1,10.2,-1.4,0.3,4.7,0.0,0.027,0.017,4.7,,,,2.3,0.7,0.189,,0.065,0.2,2.6,0.163,0.095,7.65,-0.036,-0.609,0.1,48.2,33.0
18,SVD,83,3000,2,-35.1,0.3,0.3,5.1,0.0,-0.011,-0.006,0.6,,,,2.7,1.3,,,,0.5,4.2,,,,0.162,,,50.5,
19,FTM,75,1499,0,-0.4,0.0,-0.7,12.5,0.0,15.773,-0.154,-0.2,,,,0.6,0.5,0.017,,,-6.8,11.3,,-0.311,,-0.03,-0.675,-0.05,38.2,
