,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,NAF,528,10450,1,6.6,-2.0,0.6,6.8,0.0,0.092,0.047,1.8,,,,1.5,1.3,0.225,,0.012,0.7,3.9,0.076,0.277,-0.859,-0.23,0.083,0.1,50.9,31.0
1,VCF,6911,260000,0,18.5,-1.4,4.2,13.9,0.0,0.255,0.184,65.7,,,,4.0,3.2,0.188,,0.151,0.2,0.6,-0.03,-0.074,0.434,0.3,-0.071,0.2,66.7,72.0
2,IFS,1656,19000,0,10.6,0.4,1.4,3.7,0.0,0.137,0.114,,,,,5.5,4.4,0.341,,0.111,0.0,0.0,0.06,0.038,0.685,0.154,-0.358,-0.15,45.5,53.0
3,SKH,809,24500,0,8.6,0.3,1.9,5.2,0.0,0.23,0.126,53.3,,,,1.6,0.3,0.245,,0.057,0.1,0.4,0.042,0.046,0.221,0.095,0.573,0.056,50.8,58.0
4,SKV,649,28200,0,6.3,0.2,1.7,4.1,0.0,0.288,0.143,40.8,,,,1.7,0.4,0.189,,0.053,0.2,0.6,0.095,0.159,-0.186,-0.273,0.087,0.08,52.3,73.0
5,CFV,372,29400,9,309.6,-3.9,2.8,-105.5,0.0,0.009,0.006,-2.8,,,,1.9,1.1,0.115,,0.008,0.4,-10.3,-0.34,0.154,-0.891,-0.616,0.141,0.055,77.1,96.0
6,CPA,265,11200,0,-12.6,-0.3,3.5,-526.2,0.0,-0.248,-0.149,-6.0,,,,1.1,0.5,,,,0.6,-75.3,,-0.191,,-0.748,,,99.1,
7,FGL,183,12500,0,-7.1,0.0,2.6,-21.9,0.0,-0.304,-0.144,-4.5,,,,0.6,0.6,,,,0.9,-4.6,,-0.433,,335.645,,,0.0,
8,SCD,145,17100,0,-3.0,-0.1,1.3,-17.4,0.0,-0.369,-0.101,-2.2,,,,0.5,0.4,0.157,,,3.5,-10.4,,-0.124,,1.136,-9.083,-0.25,56.3,47.0
9,CTP,42,3500,0,-19.9,0.1,0.3,5.4,0.0,-0.014,-0.012,,,,,6.5,5.2,0.024,,0.012,0.0,0.0,-0.535,-0.316,2.213,0.019,0.379,0.3,44.8,
10,HKT,42,6800,-1,52.6,-1.5,0.6,97.4,0.0,0.011,0.007,0.0,,,,1.6,1.3,0.004,,0.001,0.2,20.7,-0.032,0.639,1.412,1.445,,,40.5,
11,PCF,9,2900,0,-3.9,0.0,0.4,-10.2,0.0,-0.1,-0.039,-10.0,,,,1.2,0.5,0.044,,,1.1,-28.4,,-0.103,,0.455,,,49.5,
