,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,PPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GAS,201156,105100,1,13.6,0.2,3.4,9.6,0.0,0.267,0.183,40.0,,,,4.5,4.1,0.221,,0.147,0.1,0.3,0.088,0.093,0.073,-0.094,0.147,0.15,46.7,48.0
2,PGD,2907,32300,2,7.0,0.1,1.9,2.1,0.0,0.281,0.119,,,,,1.6,1.5,0.121,,0.061,0.0,0.0,0.146,0.107,0.524,-0.116,0.204,0.2,67.9,79.0
3,DDG,2543,42500,2,56.1,5.9,3.3,17.8,0.0,0.062,0.027,1.2,,,,1.2,1.1,0.158,,0.005,1.2,4.3,0.369,0.349,-0.894,0.044,-0.02,0.15,60.6,74.0
4,PEG,1817,7300,0,622.1,-8.0,2.7,68.3,0.0,0.004,0.002,-40.6,,,,0.7,0.6,0.055,,,0.0,0.9,,0.141,,-0.078,29.113,-0.3,57.0,62.0
5,TLP,1609,6800,-1,-91.3,0.8,0.7,8.5,0.0,-0.007,-0.002,-4.2,,,,1.0,0.6,,,,0.5,11.6,-0.105,0.094,,0.18,-2.934,-0.18,36.0,22.0
6,PGS,1335,26700,0,13.6,0.6,1.3,6.0,0.0,0.097,0.041,3.5,,,,1.0,0.9,0.14,,0.005,0.3,0.8,-0.022,0.023,-0.619,0.002,0.275,0.2,54.2,64.0
7,PGC,974,16150,1,8.0,7.3,1.2,12.9,0.074,0.147,0.049,2.0,,,,1.2,1.1,0.178,,0.032,1.3,5.7,-0.031,0.063,0.091,0.039,0.207,0.15,53.5,56.0
8,PSH,859,6810,1,-4.3,0.0,0.6,37.0,0.0,-0.122,-0.02,1.3,,,,1.0,0.1,0.082,,0.019,2.6,27.5,,0.01,6.073,1.09,-1.591,0.1,59.1,48.0
9,CNG,778,28800,2,6.1,0.1,1.3,1.8,0.0,0.231,0.106,29.1,,,,1.6,1.5,0.093,,0.038,0.1,0.2,0.03,0.261,0.985,-0.128,0.145,0.15,66.7,80.0
10,PMG,496,10700,-1,55.1,-0.4,1.4,38.9,0.0,0.024,0.005,0.3,,,,0.7,0.5,0.134,,0.002,0.9,18.1,-0.287,0.181,,0.031,-0.749,0.02,54.0,66.0
11,CCI,493,28100,0,19.8,-0.8,1.9,18.0,0.043,0.091,0.034,,,,,15.6,15.4,0.192,,0.125,0.0,0.0,-0.028,0.072,2.091,-0.078,0.0,0.05,59.0,86.0
12,PVG,292,8000,1,17.9,1.0,0.6,-3.5,0.0,0.033,0.01,64.5,,,,1.1,1.1,0.111,,0.005,0.0,0.0,0.043,0.053,0.211,0.026,0.769,0.2,52.9,30.0
13,HTC,267,16200,0,7.3,1.2,0.9,7.9,0.037,0.127,0.061,36.1,,,,1.1,1.0,0.095,,0.046,0.1,0.8,-0.001,-0.026,1.433,0.069,0.05,0.03,56.7,78.0
14,ASP,205,5500,2,132.2,-1.4,0.4,27.2,0.0,0.003,0.001,1.8,,,,0.8,0.7,0.109,,0.042,1.5,22.5,-0.488,0.164,,0.055,-0.705,0.2,48.4,37.0
15,SFC,172,15350,-1,9.9,-0.6,1.1,3.6,0.104,0.106,0.069,14.5,,,,2.1,1.8,0.046,,0.007,0.1,1.2,-0.113,0.05,,0.032,0.1,0.07,28.0,67.0
16,TMC,136,11000,0,30.6,-0.5,0.7,3.0,0.0,0.023,0.012,,,,,1.2,0.7,0.034,,0.0,0.0,0.0,-0.278,0.06,,-0.101,,,45.6,88.0
17,POV,116,9300,0,6.2,-0.3,0.7,3.8,0.0,0.105,0.054,12.3,,,,0.9,0.6,0.037,,0.004,0.1,0.4,0.208,0.147,,-0.155,,,54.2,78.0
18,PCG,111,5900,0,1146.1,-11.8,0.7,-112.2,0.0,0.001,0.0,6.3,,,,2.1,2.0,0.072,,0.024,0.1,-19.4,-0.48,0.057,5.945,-0.123,-0.944,0.03,42.0,19.0
19,TDG,63,3780,0,5.8,-0.1,0.3,7.8,0.0,0.05,0.019,,,,,1.1,0.7,0.032,,0.005,1.2,6.4,-0.172,0.341,0.547,0.866,,,52.2,
