,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,SHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MVN,17048,14200,0,8.5,3.3,1.7,5.9,0.0,0.229,0.075,3.1,,,,1.6,1.5,0.217,,0.055,0.3,1.2,,,-0.687,-0.13,-0.389,-0.12,41.8,17.0
2,PVT,6700,20700,2,8.0,0.3,1.1,4.6,0.0,0.15,0.063,3.8,,,,2.1,2.0,0.18,,0.085,0.5,1.5,0.139,0.08,-0.236,0.046,0.325,0.23,56.1,66.0
3,VFC,1366,40400,0,9.4,0.0,2.0,6.1,0.0,0.241,0.139,29.1,,,,2.4,2.4,0.154,,0.07,0.1,0.4,,0.104,-0.249,-0.029,-0.664,0.09,34.2,28.0
4,VOS,1351,9650,1,2.8,-10.5,0.9,1.6,0.0,0.385,0.18,4.2,,,,1.9,1.7,0.146,,0.029,0.0,0.4,1.145,0.085,-0.882,-0.134,0.0,0.1,46.6,41.0
5,SWC,1274,18988,1,5.9,0.4,0.9,4.6,0.0,0.157,0.131,19.2,,,,2.9,2.9,0.174,,0.171,0.1,0.5,-0.157,0.386,-0.231,0.02,0.247,0.26,33.7,33.0
6,SFI,784,35500,-2,3.6,0.1,1.0,3.7,0.113,0.311,0.219,,,,,2.5,2.4,0.14,,0.057,0.0,0.0,0.408,0.2,-0.415,0.463,-0.029,0.05,45.4,54.0
7,VIP,743,10850,2,3.0,0.0,0.6,3.2,0.0,0.207,0.168,65.6,,,,6.9,6.4,0.434,,1.121,0.0,0.5,0.256,0.038,5.022,0.107,-0.36,0.15,60.9,90.0
8,VTO,691,8650,1,8.3,-0.2,0.6,1.8,0.0,0.073,0.048,8.1,,,,2.9,2.5,0.238,,0.161,0.3,1.0,-0.055,-0.013,1.309,0.076,-0.412,0.05,66.6,78.0
9,GSP,642,11500,3,7.8,0.2,0.9,5.7,0.0,0.117,0.059,3.3,,,,1.6,1.5,0.133,,0.065,0.7,2.3,0.093,0.074,0.413,-0.13,0.437,0.11,66.5,84.0
10,VNA,518,25900,1,2.1,0.0,1.0,1.2,0.0,0.683,0.347,-1.2,,,,2.0,1.8,0.088,,0.146,0.1,0.4,,0.135,-0.495,-0.198,0.164,0.5,41.9,68.0
11,PDV,446,14324,1,5.8,0.0,1.0,3.9,0.0,0.194,0.086,10.2,,,,1.7,1.6,0.256,,0.162,0.6,2.1,0.531,0.065,4.068,-0.091,8.911,0.06,69.3,
12,PNP,298,18500,0,6.2,0.3,1.4,5.8,0.0,0.225,0.132,10.0,,,,3.3,3.3,0.316,,0.189,0.5,1.7,0.063,0.093,0.533,0.08,0.404,0.2,64.0,
13,VST,194,2900,0,0.9,0.0,-0.1,3.1,0.0,-0.133,0.353,-0.4,,,,0.1,0.1,0.143,,1.433,-0.5,2.8,,0.056,,-0.276,,,41.7,82.0
14,PJT,189,8190,-1,8.2,1.5,0.6,3.0,0.0,0.076,0.045,1.9,,,,1.0,0.5,0.078,,0.059,0.4,1.5,-0.074,0.078,0.384,-0.102,0.227,0.4,29.5,49.0
15,SGS,180,12500,0,4.0,0.1,0.8,2.7,0.0,0.21,0.17,213.3,,,,5.8,5.8,0.2,,0.112,0.0,0.0,0.01,0.211,-0.437,-0.088,-0.209,-0.03,30.7,74.0
16,HTV,138,10550,1,7.8,2.1,0.4,7.3,0.0,0.053,0.041,,,,,3.8,3.8,0.084,,0.027,0.0,0.0,-0.036,0.142,-0.623,0.004,0.075,0.1,49.0,37.0
17,VFR,104,6900,0,4.6,0.0,0.5,7.7,0.0,0.119,0.069,-2.1,,,,1.0,1.0,0.085,,,0.3,3.7,-0.093,-0.121,,-0.005,-0.466,-0.1,44.4,59.0
18,VPA,42,2800,-1,-0.9,0.0,10.9,-109.0,0.0,-1.708,-0.141,-2.6,,,,0.5,0.2,,,,70.5,-92.7,,-0.035,,0.629,,,47.7,
19,DDM,27,2200,0,0.5,0.0,0.0,3.5,0.0,-0.076,0.094,-0.8,,,,1.7,1.6,0.041,,,-0.6,3.5,,0.093,,-0.267,,,29.9,
20,NOS,20,1000,0,-0.1,0.0,0.0,61.9,0.0,0.055,-0.342,-1.6,,,,0.0,0.0,,,,-0.7,61.6,,0.218,,0.263,,,19.1,60.0
