,ticker,marcap,price,numberOfDays,priceToEarning,peg,priceToBook,valueBeforeEbitda,dividend,roe,roa,ebitOnInterest,bookValuePerShare,interestMargin,badDebtPercentage,currentPayment,quickPayment,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnEbitda,income5year,sale5year,income1quarter,sale1quarter,nextIncome,nextSale,rsi,rs
0,THI,1220,25000,-1,27.3,-0.4,0.9,15.3,0.0,0.034,0.013,1.1,,,,1.7,0.9,0.148,,0.044,1.0,10.7,-0.327,-0.093,-0.063,-0.139,-0.355,0.05,56.6,81.0
1,GEX,10005,11750,1,26.3,-0.4,0.8,4.7,0.0,0.031,0.007,1.8,,,,1.1,0.6,0.178,,0.011,0.8,2.8,-0.098,0.218,4.788,0.05,0.623,0.2,35.8,10.0
2,GEE,7645,25482,2,8.7,0.0,1.4,8.6,0.0,0.102,0.022,1.8,,,,1.3,0.6,0.13,,0.107,1.4,7.8,,,7.908,0.098,,,48.3,48.0
3,TBD,1880,58000,2,45.6,-0.7,3.2,25.8,0.0,0.067,0.027,3.4,,,,1.5,0.8,0.114,,0.029,1.0,6.0,-0.169,-0.077,4.425,0.639,0.098,-0.12,44.3,16.0
4,HEM,1242,32100,0,29.2,0.0,2.0,45.8,0.0,0.068,0.049,2.8,,,,1.8,1.3,0.14,,0.117,0.2,3.8,-0.119,-0.008,0.937,1.278,-0.043,0.05,47.6,79.0
5,AME,698,10700,-1,33.3,-20.4,0.9,14.8,0.0,0.038,0.009,1.4,,,,1.5,0.9,0.064,,0.011,0.7,7.8,0.117,0.238,0.524,0.921,-0.238,0.05,50.1,58.0
6,BTH,440,17600,0,250.6,-2.9,1.6,-503.3,0.0,0.006,0.003,-0.2,,,,0.7,0.7,1.0,,2.194,0.6,-70.9,,-0.427,3.508,0.392,0.179,0.03,37.7,
7,EMC,153,9980,0,249.8,-3.1,0.9,18.7,0.0,0.004,0.001,0.3,,,,1.1,0.6,0.042,,,1.2,9.7,-0.126,0.24,,1.422,,,39.9,71.0
8,CJC,120,30000,0,65.7,-0.4,2.8,35.0,0.0,0.044,0.011,1.0,,,,1.2,0.7,0.069,,0.004,2.2,13.5,-0.193,0.077,0.137,2.414,,,99.8,
9,DHP,103,10900,0,7.4,0.6,0.6,5.6,0.046,0.083,0.062,-1.2,,,,2.6,0.6,0.062,,0.028,0.2,1.4,0.028,-0.002,-0.76,-0.443,,,26.3,
10,KIP,98,12600,0,11.5,0.6,1.0,,0.0,0.097,0.057,8.5,,,,1.6,0.7,0.195,,0.047,0.4,2.7,-0.093,0.013,-0.436,-0.22,0.285,0.05,57.4,
