,Open,High,Low,Close,Volume,TradingDate
0,16900.0,16900.0,16900.0,16900.0,0,2022-10-20
1,16900.0,16900.0,16900.0,16900.0,0,2022-10-21
2,16900.0,16900.0,16900.0,16900.0,0,2022-10-24
3,16900.0,16900.0,16900.0,16900.0,0,2022-10-25
4,16900.0,16900.0,16900.0,16900.0,0,2022-10-26
5,16900.0,16900.0,16900.0,16900.0,0,2022-10-27
6,16900.0,16900.0,16900.0,16900.0,0,2022-10-28
7,16900.0,16900.0,16900.0,16900.0,0,2022-10-31
8,16900.0,16900.0,16900.0,16900.0,0,2022-11-01
9,16900.0,16900.0,16900.0,16900.0,0,2022-11-02
10,16900.0,16900.0,16900.0,16900.0,0,2022-11-03
11,16900.0,16900.0,16900.0,16900.0,0,2022-11-04
12,16900.0,16900.0,16900.0,16900.0,0,2022-11-07
13,16900.0,16900.0,16900.0,16900.0,0,2022-11-08
14,16900.0,16900.0,16900.0,16900.0,0,2022-11-09
15,16900.0,16900.0,16900.0,16900.0,0,2022-11-10
16,16900.0,16900.0,16900.0,16900.0,0,2022-11-11
17,16900.0,16900.0,16900.0,16900.0,0,2022-11-14
18,16900.0,16900.0,16900.0,16900.0,0,2022-11-15
19,16900.0,16900.0,16900.0,16900.0,0,2022-11-16
20,16900.0,16900.0,16900.0,16900.0,0,2022-11-17
21,16900.0,16900.0,16900.0,16900.0,0,2022-11-18
22,16900.0,16900.0,16900.0,16900.0,0,2022-11-21
23,16900.0,16900.0,16900.0,16900.0,0,2022-11-22
24,16900.0,16900.0,16900.0,16900.0,0,2022-11-23
25,16900.0,16900.0,16900.0,16900.0,0,2022-11-24
26,16900.0,16900.0,16900.0,16900.0,0,2022-11-25
27,16900.0,16900.0,16900.0,16900.0,0,2022-11-28
28,16900.0,16900.0,16900.0,16900.0,0,2022-11-29
29,16900.0,16900.0,16900.0,16900.0,0,2022-11-30
30,16900.0,16900.0,16900.0,16900.0,0,2022-12-01
31,16900.0,16900.0,16900.0,16900.0,0,2022-12-02
32,16900.0,16900.0,16900.0,16900.0,0,2022-12-05
33,16900.0,16900.0,16900.0,16900.0,0,2022-12-06
34,16900.0,16900.0,16900.0,16900.0,0,2022-12-07
35,16900.0,16900.0,16900.0,16900.0,0,2022-12-08
36,16900.0,16900.0,16900.0,16900.0,0,2022-12-09
37,16900.0,16900.0,16900.0,16900.0,0,2022-12-12
38,16900.0,16900.0,16900.0,16900.0,0,2022-12-13
39,16900.0,16900.0,16900.0,16900.0,0,2022-12-14
40,16900.0,16900.0,16900.0,16900.0,0,2022-12-15
41,16900.0,16900.0,16900.0,16900.0,0,2022-12-16
42,16900.0,16900.0,16900.0,16900.0,0,2022-12-19
43,16900.0,16900.0,16900.0,16900.0,0,2022-12-20
44,16900.0,16900.0,16900.0,16900.0,0,2022-12-21
45,16900.0,16900.0,16900.0,16900.0,0,2022-12-22
46,16900.0,16900.0,16900.0,16900.0,0,2022-12-23
47,16900.0,16900.0,16900.0,16900.0,0,2022-12-26
48,16900.0,16900.0,16900.0,16900.0,0,2022-12-27
49,16900.0,16900.0,16900.0,16900.0,0,2022-12-28
50,16900.0,16900.0,16900.0,16900.0,0,2022-12-29
51,16900.0,16900.0,16900.0,16900.0,0,2022-12-30
52,16900.0,16900.0,16900.0,16900.0,0,2023-01-03
53,16900.0,16900.0,16900.0,16900.0,0,2023-01-04
54,16900.0,16900.0,16900.0,16900.0,0,2023-01-05
55,16900.0,16900.0,16900.0,16900.0,0,2023-01-06
56,16900.0,16900.0,16900.0,16900.0,0,2023-01-09
57,16900.0,16900.0,16900.0,16900.0,0,2023-01-10
58,16900.0,16900.0,16900.0,16900.0,0,2023-01-11
59,16900.0,16900.0,16900.0,16900.0,0,2023-01-12
60,16900.0,16900.0,16900.0,16900.0,0,2023-01-13
61,16900.0,16900.0,16900.0,16900.0,0,2023-01-16
62,16900.0,16900.0,16900.0,16900.0,0,2023-01-17
63,16900.0,16900.0,16900.0,16900.0,0,2023-01-18
64,16900.0,16900.0,16900.0,16900.0,0,2023-01-19
65,16900.0,16900.0,16900.0,16900.0,0,2023-01-27
66,16900.0,16900.0,16900.0,16900.0,0,2023-01-30
67,16900.0,16900.0,16900.0,16900.0,0,2023-01-31
68,16900.0,16900.0,16900.0,16900.0,0,2023-02-01
69,16900.0,16900.0,16900.0,16900.0,0,2023-02-02
70,16900.0,16900.0,16900.0,16900.0,0,2023-02-03
71,16900.0,16900.0,16900.0,16900.0,0,2023-02-06
72,16900.0,16900.0,16900.0,16900.0,0,2023-02-07
73,16900.0,16900.0,16900.0,16900.0,0,2023-02-08
74,16900.0,16900.0,16900.0,16900.0,0,2023-02-09
75,16900.0,16900.0,16900.0,16900.0,0,2023-02-10
76,16900.0,16900.0,16900.0,16900.0,0,2023-02-13
77,16900.0,16900.0,16900.0,16900.0,0,2023-02-14
78,16900.0,16900.0,16900.0,16900.0,0,2023-02-15
79,16900.0,16900.0,16900.0,16900.0,0,2023-02-16
80,16900.0,16900.0,16900.0,16900.0,0,2023-02-17
81,16900.0,16900.0,16900.0,16900.0,0,2023-02-20
82,16900.0,16900.0,16900.0,16900.0,0,2023-02-21
83,16900.0,16900.0,16900.0,16900.0,0,2023-02-22
84,16900.0,16900.0,16900.0,16900.0,0,2023-02-23
85,16900.0,16900.0,16900.0,16900.0,0,2023-02-24
86,16900.0,16900.0,16900.0,16900.0,0,2023-02-27
87,16900.0,16900.0,16900.0,16900.0,0,2023-02-28
