,Open,High,Low,Close,Volume,TradingDate
0,9100.0,9100.0,9100.0,9100.0,0,2022-10-14
1,9100.0,9100.0,9100.0,9100.0,0,2022-10-17
2,9100.0,9100.0,9100.0,9100.0,0,2022-10-18
3,12700.0,12700.0,12700.0,12700.0,9000,2022-10-19
4,14600.0,14600.0,14600.0,14600.0,7600,2022-10-20
5,14400.0,16400.0,12500.0,13100.0,1501,2022-10-21
6,14300.0,14300.0,14300.0,14300.0,100,2022-10-24
7,15800.0,15800.0,12200.0,14000.0,200,2022-10-25
8,14000.0,14000.0,14000.0,14000.0,0,2022-10-26
9,14000.0,14000.0,14000.0,14000.0,0,2022-10-27
10,11900.0,11900.0,11900.0,11900.0,100,2022-10-28
11,11900.0,11900.0,11900.0,11900.0,0,2022-10-31
12,11900.0,11900.0,11900.0,11900.0,0,2022-11-01
13,13600.0,13600.0,10200.0,11300.0,300,2022-11-02
14,9700.0,9700.0,9700.0,9700.0,1300,2022-11-03
15,8300.0,8300.0,8300.0,8300.0,2700,2022-11-04
16,7100.0,7100.0,7100.0,7100.0,100,2022-11-07
17,6100.0,6100.0,6100.0,6100.0,600,2022-11-08
18,5500.0,7000.0,5200.0,5500.0,5600,2022-11-09
19,4900.0,6000.0,4700.0,4800.0,1600,2022-11-10
20,5500.0,5500.0,5500.0,5500.0,100,2022-11-11
21,6300.0,6300.0,6300.0,6300.0,200,2022-11-14
22,7100.0,7200.0,7100.0,7100.0,500,2022-11-15
23,8000.0,8100.0,7900.0,8000.0,1400,2022-11-16
24,9000.0,9000.0,9000.0,9000.0,100,2022-11-17
25,9000.0,9000.0,9000.0,9000.0,0,2022-11-18
26,9900.0,9900.0,9900.0,9900.0,100,2022-11-21
27,10900.0,10900.0,10900.0,10900.0,100,2022-11-22
28,10900.0,10900.0,10900.0,10900.0,0,2022-11-23
29,10900.0,10900.0,10900.0,10900.0,0,2022-11-24
30,10900.0,10900.0,10900.0,10900.0,0,2022-11-25
31,10900.0,10900.0,10900.0,10900.0,0,2022-11-28
32,10900.0,10900.0,10900.0,10900.0,0,2022-11-29
33,9300.0,9300.0,9300.0,9300.0,100,2022-11-30
34,9300.0,9300.0,9300.0,9300.0,0,2022-12-01
35,8000.0,9000.0,8000.0,8800.0,1100,2022-12-02
36,7500.0,7500.0,7500.0,7500.0,3100,2022-12-05
37,6400.0,7400.0,6400.0,6500.0,1800,2022-12-06
38,7300.0,7300.0,7300.0,7300.0,100,2022-12-07
39,7800.0,7800.0,7800.0,7800.0,100,2022-12-08
40,8400.0,8400.0,8400.0,8400.0,100,2022-12-09
41,8800.0,8800.0,7200.0,8000.0,200,2022-12-12
42,6800.0,6800.0,6800.0,6800.0,500,2022-12-13
43,7700.0,7700.0,7700.0,7700.0,100,2022-12-14
44,7700.0,7700.0,7700.0,7700.0,0,2022-12-15
45,6600.0,6600.0,6600.0,6600.0,1300,2022-12-16
46,6900.0,6900.0,5800.0,5800.0,5500,2022-12-19
47,5800.0,5800.0,5800.0,5800.0,0,2022-12-20
48,5000.0,5000.0,5000.0,5000.0,200,2022-12-21
49,5700.0,5700.0,5700.0,5700.0,100,2022-12-22
50,6500.0,6500.0,6500.0,6500.0,100,2022-12-23
51,6100.0,6100.0,5900.0,6100.0,400,2022-12-26
52,6000.0,6000.0,5300.0,5600.0,500,2022-12-27
53,5500.0,5500.0,5500.0,5500.0,100,2022-12-28
54,5400.0,5400.0,5300.0,5400.0,248,2022-12-29
55,4700.0,4700.0,4700.0,4700.0,100,2022-12-30
56,4700.0,4700.0,4500.0,4600.0,900,2023-01-03
57,4600.0,4600.0,4600.0,4600.0,0,2023-01-04
58,4600.0,4600.0,4600.0,4600.0,0,2023-01-05
59,5200.0,5200.0,5200.0,5200.0,100,2023-01-06
60,5200.0,5200.0,5200.0,5200.0,0,2023-01-09
61,5800.0,5800.0,5800.0,5800.0,100,2023-01-10
62,6200.0,6200.0,6200.0,6200.0,100,2023-01-11
63,6800.0,6800.0,6800.0,6800.0,100,2023-01-12
64,6800.0,6800.0,6800.0,6800.0,0,2023-01-13
65,6800.0,6800.0,6800.0,6800.0,0,2023-01-16
66,6800.0,6800.0,6800.0,6800.0,0,2023-01-17
67,6800.0,6800.0,6800.0,6800.0,0,2023-01-18
68,6800.0,6800.0,6800.0,6800.0,0,2023-01-19
69,6800.0,6800.0,6800.0,6800.0,0,2023-01-27
70,6800.0,6800.0,6800.0,6800.0,0,2023-01-30
71,7500.0,7500.0,7500.0,7500.0,100,2023-01-31
72,7500.0,7500.0,7500.0,7500.0,0,2023-02-01
73,8600.0,8600.0,8600.0,8600.0,100,2023-02-02
74,8600.0,8600.0,8600.0,8600.0,0,2023-02-03
75,8600.0,8600.0,8600.0,8600.0,0,2023-02-06
76,8600.0,8600.0,8600.0,8600.0,0,2023-02-07
77,8600.0,8600.0,8600.0,8600.0,0,2023-02-08
78,8600.0,8600.0,8600.0,8600.0,0,2023-02-09
79,8600.0,8600.0,8600.0,8600.0,0,2023-02-10
80,8600.0,8600.0,8600.0,8600.0,0,2023-02-13
81,8600.0,8600.0,8600.0,8600.0,0,2023-02-14
82,8600.0,8600.0,8600.0,8600.0,0,2023-02-15
83,8600.0,8600.0,8600.0,8600.0,0,2023-02-16
84,8600.0,8600.0,8600.0,8600.0,0,2023-02-17
85,8600.0,8600.0,8600.0,8600.0,0,2023-02-20
86,8600.0,8600.0,8600.0,8600.0,0,2023-02-21
87,8600.0,8600.0,8600.0,8600.0,0,2023-02-22
88,8600.0,8600.0,8600.0,8600.0,0,2023-02-23
89,8600.0,8600.0,8600.0,8600.0,0,2023-02-24
90,8600.0,8600.0,8600.0,8600.0,0,2023-02-27
91,8600.0,8600.0,8600.0,8600.0,0,2023-02-28
