,Open,High,Low,Close,Volume,TradingDate
0,17000.0,17000.0,16100.0,16800.0,400,2022-12-01
1,19300.0,19300.0,19300.0,19300.0,200,2022-12-02
2,22100.0,22100.0,22100.0,22100.0,100,2022-12-05
3,22100.0,22100.0,22100.0,22100.0,0,2022-12-06
4,22100.0,22100.0,22100.0,22100.0,0,2022-12-07
5,22100.0,22100.0,22100.0,22100.0,0,2022-12-08
6,22100.0,22100.0,22100.0,22100.0,0,2022-12-09
7,22100.0,22100.0,22100.0,22100.0,0,2022-12-12
8,22100.0,22100.0,22100.0,22100.0,0,2022-12-13
9,22100.0,22100.0,22100.0,22100.0,0,2022-12-14
10,22100.0,22100.0,22100.0,22100.0,0,2022-12-15
11,22100.0,22100.0,22100.0,22100.0,0,2022-12-16
12,22100.0,22100.0,22100.0,22100.0,0,2022-12-19
13,18800.0,18800.0,18800.0,18800.0,100,2022-12-20
14,16000.0,16000.0,16000.0,16000.0,300,2022-12-21
15,15000.0,15000.0,13600.0,13700.0,3000,2022-12-22
16,13800.0,13800.0,13800.0,13800.0,100,2022-12-23
17,13800.0,13800.0,13800.0,13800.0,0,2022-12-26
18,13600.0,13600.0,13600.0,13600.0,100,2022-12-27
19,13600.0,13600.0,13600.0,13600.0,0,2022-12-28
20,13600.0,13600.0,13600.0,13600.0,0,2022-12-29
21,13600.0,13600.0,13600.0,13600.0,0,2022-12-30
22,13600.0,13600.0,13600.0,13600.0,0,2023-01-03
23,13600.0,13600.0,13600.0,13600.0,0,2023-01-04
24,13600.0,13600.0,13600.0,13600.0,0,2023-01-05
25,13600.0,13600.0,13600.0,13600.0,0,2023-01-06
26,13600.0,13600.0,13600.0,13600.0,0,2023-01-09
27,13600.0,13600.0,13600.0,13600.0,0,2023-01-10
28,13600.0,13600.0,13600.0,13600.0,0,2023-01-11
29,13600.0,13600.0,13600.0,13600.0,0,2023-01-12
30,13600.0,13600.0,13600.0,13600.0,0,2023-01-13
31,13600.0,13600.0,13600.0,13600.0,0,2023-01-16
32,13600.0,13600.0,13600.0,13600.0,0,2023-01-17
33,15600.0,15600.0,15600.0,15600.0,100,2023-01-18
34,15800.0,15800.0,15800.0,15800.0,100,2023-01-19
35,15800.0,15800.0,15800.0,15800.0,0,2023-01-27
36,15800.0,15800.0,15800.0,15800.0,0,2023-01-30
37,15800.0,15800.0,15800.0,15800.0,0,2023-01-31
38,15800.0,15800.0,15800.0,15800.0,0,2023-02-01
39,15800.0,15800.0,15800.0,15800.0,0,2023-02-02
40,15800.0,15800.0,15800.0,15800.0,0,2023-02-03
41,15800.0,15800.0,15800.0,15800.0,0,2023-02-06
42,15800.0,15800.0,15800.0,15800.0,0,2023-02-07
43,15800.0,15800.0,15800.0,15800.0,0,2023-02-08
44,15800.0,15800.0,15800.0,15800.0,0,2023-02-09
45,15800.0,15800.0,15800.0,15800.0,0,2023-02-10
46,15800.0,15800.0,15800.0,15800.0,0,2023-02-13
47,15800.0,15800.0,15800.0,15800.0,0,2023-02-14
48,15800.0,15800.0,15800.0,15800.0,0,2023-02-15
49,15800.0,15800.0,15800.0,15800.0,0,2023-02-16
50,15800.0,15800.0,15800.0,15800.0,0,2023-02-17
51,15800.0,15800.0,15800.0,15800.0,0,2023-02-20
52,15800.0,15800.0,15800.0,15800.0,0,2023-02-21
53,15800.0,15800.0,15800.0,15800.0,0,2023-02-22
54,13500.0,13500.0,13500.0,13500.0,100,2023-02-23
55,13500.0,13500.0,13500.0,13500.0,0,2023-02-24
56,13500.0,13500.0,13500.0,13500.0,0,2023-02-27
57,13500.0,13500.0,13500.0,13500.0,0,2023-02-28
